kv_type,layer,kv_head,record_count,task_coverage,truncated_files
k,0,0,4023,6,3787
k,0,1,4023,6,3787
k,0,2,4023,6,3787
k,0,3,4023,6,3787
k,0,4,4023,6,3787
k,0,5,4023,6,3787
k,0,6,4023,6,3787
k,0,7,4023,6,3787
k,1,0,3463,6,3283
k,1,1,3463,6,3283
k,1,2,3463,6,3283
k,1,3,3463,6,3283
k,1,4,3463,6,3283
k,1,5,3463,6,3283
k,1,6,3463,6,3283
k,1,7,3463,6,3283
k,2,0,3463,6,3283
k,2,1,3463,6,3283
k,2,2,3463,6,3283
k,2,3,3463,6,3283
k,2,4,3463,6,3283
k,2,5,3463,6,3283
k,2,6,3463,6,3283
k,2,7,3463,6,3283
k,3,0,3463,6,3283
k,3,1,3463,6,3283
k,3,2,3463,6,3283
k,3,3,3463,6,3283
k,3,4,3463,6,3283
k,3,5,3463,6,3283
k,3,6,3463,6,3283
k,3,7,3463,6,3283
k,4,0,3463,6,3283
k,4,1,3463,6,3283
k,4,2,3463,6,3283
k,4,3,3463,6,3283
k,4,4,3463,6,3283
k,4,5,3463,6,3283
k,4,6,3463,6,3283
k,4,7,3463,6,3283
k,5,0,3463,6,3283
k,5,1,3463,6,3283
k,5,2,3463,6,3283
k,5,3,3463,6,3283
k,5,4,3463,6,3283
k,5,5,3463,6,3283
k,5,6,3463,6,3283
k,5,7,3463,6,3283
k,6,0,3463,6,3283
k,6,1,3463,6,3283
k,6,2,3463,6,3283
k,6,3,3463,6,3283
k,6,4,3463,6,3283
k,6,5,3463,6,3283
k,6,6,3463,6,3283
k,6,7,3463,6,3283
k,7,0,1393,5,1157
k,7,1,1393,5,1157
k,7,2,1393,5,1157
k,7,3,1393,5,1157
k,7,4,1335,5,1099
k,7,5,1327,4,1091
k,7,6,1263,4,1027
k,7,7,1263,4,1027
k,8,0,1012,4,832
k,8,1,974,4,794
k,8,2,961,4,781
k,8,3,953,4,773
k,8,4,863,4,683
k,8,5,831,4,651
k,8,6,797,4,617
k,8,7,721,4,541
k,9,0,721,4,541
k,9,1,721,4,541
k,9,2,721,4,541
k,9,3,721,4,541
k,9,4,721,4,541
k,9,5,721,4,541
k,9,6,721,4,541
k,9,7,721,4,541
k,10,0,681,4,501
k,10,1,681,4,501
k,10,2,681,4,501
k,10,3,681,4,501
k,10,4,651,4,471
k,10,5,643,4,463
k,10,6,586,4,406
k,10,7,532,4,352
k,11,0,352,4,172
k,11,1,338,4,158
k,11,2,317,3,137
k,11,3,317,3,137
k,11,4,291,3,111
k,11,5,283,3,103
k,11,6,283,3,103
k,11,7,283,3,103
k,12,0,283,3,103
k,12,1,283,3,103
k,12,2,283,3,103
k,12,3,283,3,103
k,12,4,283,3,103
k,12,5,283,3,103
k,12,6,283,3,103
k,12,7,283,3,103
k,13,0,283,3,103
k,13,1,283,3,103
k,13,2,283,3,103
k,13,3,283,3,103
k,13,4,283,3,103
k,13,5,283,3,103
k,13,6,283,3,103
k,13,7,283,3,103
k,14,0,283,3,103
k,14,1,283,3,103
k,14,2,283,3,103
k,14,3,283,3,103
k,14,4,283,3,103
k,14,5,283,3,103
k,14,6,283,3,103
k,14,7,283,3,103
k,15,0,355,3,119
k,15,1,355,3,119
k,15,2,355,3,119
k,15,3,355,3,119
k,15,4,355,3,119
k,15,5,355,3,119
k,15,6,355,3,119
k,15,7,355,3,119
k,16,0,259,3,79
k,16,1,259,3,79
k,16,2,259,3,79
