batch_mode,request,step,shape_equal,ref_shape,got_shape,comparable,exact,relative_l2,max_abs,mean_abs,cosine,nan,inf
B2,A,0,True,[128256],[128256],True,False,0.0009478561114519835,0.01953125,0.0029351606499403715,0.9999951720237732,False,False
B2,A,1,True,[128256],[128256],True,False,0.011877892538905144,0.28515625,0.0411367267370224,0.999923586845398,False,False
B2,A,2,True,[128256],[128256],True,False,0.019905196502804756,0.41796875,0.06291504949331284,0.9997972846031189,False,False
B2,A,16,True,[128256],[128256],True,False,0.01652769185602665,0.3465576171875,0.052517663687467575,0.9998604655265808,False,False
B2,A,127,True,[128256],[128256],True,False,0.011494360864162445,0.26953125,0.039185043424367905,0.9999294281005859,False,False
B2,A,128,True,[128256],[128256],True,False,0.017533104866743088,0.357421875,0.05600050091743469,0.9998443126678467,False,False
B2,A,129,True,[128256],[128256],True,False,0.05434681102633476,1.328125,0.18184687197208405,0.9988362789154053,False,False
B2,A,255,True,[128256],[128256],True,False,0.06365784257650375,1.2890625,0.1901567131280899,0.9981335997581482,False,False
B2,A,256,True,[128256],[128256],True,False,0.011333207599818707,0.2408447265625,0.03604518622159958,0.999930202960968,False,False
B2,A,257,True,[128256],[128256],True,False,0.010412674397230148,0.4873046875,0.04048752412199974,0.9999409914016724,False,False
B2,B,0,True,[128256],[128256],True,False,0.001111311954446137,0.021484375,0.0037526250816881657,0.9999938607215881,False,False
B2,B,1,True,[128256],[128256],True,False,0.031763240694999695,0.853515625,0.09047366678714752,0.9994899034500122,False,False
B2,B,2,True,[128256],[128256],True,False,0.013093696907162666,0.2685546875,0.044259101152420044,0.9999086260795593,False,False
B2,B,16,True,[128256],[128256],True,False,0.037020888179540634,0.814453125,0.10820040851831436,0.9993280172348022,False,False
B2,B,127,True,[128256],[128256],True,False,0.01556493528187275,0.3037109375,0.045785777270793915,0.9998746514320374,False,False
B2,B,128,True,[128256],[128256],True,False,0.013881023973226547,0.2509765625,0.041688188910484314,0.9999027252197266,False,False
B2,B,129,True,[128256],[128256],True,False,0.015448657795786858,0.1591796875,0.022862203419208527,0.9998787045478821,False,False
B2,B,255,True,[128256],[128256],True,False,0.005859458353370428,0.26171875,0.017005203291773796,0.9999787211418152,False,False
B2,B,256,True,[128256],[128256],True,False,0.004972114693373442,0.1171875,0.014957953244447708,0.9999822974205017,False,False
B2,B,257,True,[128256],[128256],True,False,0.009416862390935421,0.2421875,0.027654727920889854,0.999951183795929,False,False
B4,A,0,True,[128256],[128256],True,False,0.0008368911221623421,0.016357421875,0.002564531983807683,0.9999950528144836,False,False
B4,A,1,True,[128256],[128256],True,False,0.011110536754131317,0.255859375,0.0385684072971344,0.9999369978904724,False,False
B4,A,2,True,[128256],[128256],True,False,0.022762708365917206,0.4775390625,0.07342370599508286,0.999824583530426,False,False
B4,A,16,True,[128256],[128256],True,False,0.023143019527196884,0.5703125,0.07499407231807709,0.9998173117637634,False,False
B4,A,127,True,[128256],[128256],True,False,0.010218709707260132,0.234375,0.03489896282553673,0.9999454617500305,False,False
B4,A,128,True,[128256],[128256],True,False,0.019035469740629196,0.5810546875,0.061108946800231934,0.9998626112937927,False,False
B4,A,129,True,[128256],[128256],True,False,0.01820322871208191,0.4375,0.060147725045681,0.9998293519020081,False,False
B4,A,255,True,[128256],[128256],True,False,0.0725238025188446,1.41796875,0.21466514468193054,0.9975138902664185,False,False
B4,A,256,True,[128256],[128256],True,False,0.011401169933378696,0.220703125,0.0364990197122097,0.9999365210533142,False,False
B4,A,257,True,[128256],[128256],True,False,0.012392031960189342,0.447265625,0.04876801744103432,0.9999266266822815,False,False
B4,B,0,True,[128256],[128256],True,False,0.0013228857424110174,0.02734375,0.004594822879880667,0.9999927878379822,False,False
B4,B,1,True,[128256],[128256],True,False,0.03496437519788742,0.96630859375,0.09897234290838242,0.9993875026702881,False,False
B4,B,2,True,[128256],[128256],True,False,0.015568656846880913,0.390625,0.05325528234243393,0.9998998641967773,False,False
B4,B,16,True,[128256],[128256],True,False,0.034523189067840576,0.9276123046875,0.10023617744445801,0.9994142055511475,False,False
B4,B,127,True,[128256],[128256],True,False,0.014795494265854359,0.298828125,0.043593280017375946,0.9998864531517029,False,False
B4,B,128,True,[128256],[128256],True,False,0.018226897343993187,0.314453125,0.054805297404527664,0.999832808971405,False,False
B4,B,129,True,[128256],[128256],True,False,0.017209136858582497,0.21484375,0.025402000173926353,0.9998459815979004,False,False
B4,B,255,True,[128256],[128256],True,False,0.005808016750961542,0.138671875,0.016916776075959206,0.9999766945838928,False,False
B4,B,256,True,[128256],[128256],True,False,0.005615306552499533,0.1328125,0.016874561086297035,0.9999790787696838,False,False
B4,B,257,True,[128256],[128256],True,False,0.012065216898918152,0.33203125,0.03535883128643036,0.9999219179153442,False,False
B4,C,0,True,[128256],[128256],True,False,0.0017153670778498054,0.0185546875,0.0026757032610476017,0.9999929070472717,False,False
B4,C,1,True,[128256],[128256],True,False,0.03791140764951706,0.6796875,0.10220533609390259,0.9995019435882568,False,False
B4,C,2,True,[128256],[128256],True,False,0.027813928201794624,1.0390625,0.09426715224981308,0.9996211528778076,False,False
B4,C,16,True,[128256],[128256],True,False,0.03975141420960426,0.4375,0.06254532188177109,0.9992082118988037,False,False
B4,C,127,True,[128256],[128256],True,False,0.02245991863310337,1.876953125,0.07696805894374847,0.9997586011886597,False,False
B4,C,128,True,[128256],[128256],True,False,0.03857874125242233,0.4375,0.06020313873887062,0.9992551207542419,False,False
B4,C,129,True,[128256],[128256],True,False,0.0275083240121603,0.55078125,0.07580743730068207,0.9996659159660339,False,False
B4,C,255,True,[128256],[128256],True,False,0.02008434385061264,1.6796875,0.0690377801656723,0.9997928142547607,False,False
