request,batch_mode,step,layer,total_tokens,sink_tokens,recent_tokens,pending_tokens,packed_k_tokens,packed_v_tokens,packed_v4_tokens,k_centroid_count,v_centroid_count,k_update_count,v_update_count,last_flush_pos,page_count,last_page_valid_tokens,slot_id,slot_valid,page_ownership_valid,logical_counts_valid,k_assignment_indices_valid,v_assignment_indices_valid,v4_budget_valid
A,B1,0,0,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,1,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,2,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,3,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,4,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,5,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,6,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,7,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,8,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,9,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,10,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,11,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,12,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,13,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,14,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,15,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,16,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,17,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,18,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,19,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,20,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,21,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,22,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,23,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,24,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,25,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,26,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,27,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,28,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,29,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,30,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,0,31,512,16,128,112,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,0,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,1,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,2,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,3,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,4,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,5,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,6,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,7,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,8,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,9,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,10,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,11,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,12,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,13,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,14,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,15,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,16,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,17,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,18,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,19,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,20,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,21,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,22,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,23,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,24,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,25,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,26,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,27,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
A,B1,1,28,513,16,128,113,256,256,64,32,32,0,0,0,2,128,0,True,True,True,True,True,True
