config,seed,records,correct,accuracy,parser_failures,length_truncations,runtime_errors,mean_generated_tokens
fp16,42,30,13,0.43333333333333335,0,1,0,14109.466666666667
fp16,43,30,11,0.36666666666666664,2,3,0,16211.033333333333
fp16,44,30,12,0.4,0,0,0,14015.666666666666
patternkv_paper,42,30,6,0.2,5,8,0,17564.566666666666
patternkv_paper,43,30,9,0.3,3,4,0,13760.8
patternkv_paper,44,30,6,0.2,1,6,0,16112.4
pattern_rolling_s0_r128,42,30,9,0.3,1,3,0,14248.233333333334
pattern_rolling_s0_r128,43,30,8,0.26666666666666666,1,6,0,16675.733333333334
pattern_rolling_s0_r128,44,30,9,0.3,0,1,0,12205
pattern_rolling_s16_r128,42,30,11,0.36666666666666664,0,0,0,12791.366666666667
pattern_rolling_s16_r128,43,30,14,0.4666666666666667,0,0,0,11951.966666666667
pattern_rolling_s16_r128,44,30,16,0.5333333333333333,0,0,0,12413.1
kivi_paper,42,30,4,0.13333333333333333,3,4,0,15216.8
kivi_paper,43,30,6,0.2,6,6,0,17783
kivi_paper,44,30,6,0.2,2,5,0,15829.4
kivi_rolling_s0_r128,42,30,4,0.13333333333333333,3,4,0,15216.8
kivi_rolling_s0_r128,43,30,6,0.2,6,6,0,17783
kivi_rolling_s0_r128,44,30,6,0.2,2,5,0,15829.4
kivi_rolling_s16_r128,42,30,14,0.4666666666666667,0,0,0,13005.466666666667
kivi_rolling_s16_r128,43,30,12,0.4,0,2,0,13105.7
kivi_rolling_s16_r128,44,30,14,0.4666666666666667,0,1,0,13344.1
