config,problem_id,seed,generated_tokens,stop_reason,length_truncated
fp16,0,42,3691,eos,False
fp16,0,43,11346,eos,False
fp16,0,44,2569,eos,False
fp16,1,42,22940,eos,False
fp16,1,43,18663,eos,False
fp16,1,44,24636,eos,False
fp16,2,42,19432,eos,False
fp16,2,43,19382,eos,False
fp16,2,44,19948,eos,False
fp16,3,42,11951,eos,False
fp16,3,43,32768,length,True
fp16,3,44,13280,eos,False
fp16,4,42,20980,eos,False
fp16,4,43,6160,eos,False
fp16,4,44,6527,eos,False
fp16,5,42,13290,eos,False
fp16,5,43,13927,eos,False
fp16,5,44,10141,eos,False
fp16,6,42,12276,eos,False
fp16,6,43,7636,eos,False
fp16,6,44,15200,eos,False
fp16,7,42,17213,eos,False
fp16,7,43,17843,eos,False
fp16,7,44,6954,eos,False
fp16,8,42,3184,eos,False
fp16,8,43,3364,eos,False
fp16,8,44,3878,eos,False
fp16,9,42,3312,eos,False
fp16,9,43,4063,eos,False
fp16,9,44,5909,eos,False
fp16,10,42,23347,eos,False
fp16,10,43,17561,eos,False
fp16,10,44,18654,eos,False
fp16,11,42,5338,eos,False
fp16,11,43,12721,eos,False
fp16,11,44,12012,eos,False
fp16,12,42,11736,eos,False
fp16,12,43,6237,eos,False
fp16,12,44,2887,eos,False
fp16,13,42,18233,eos,False
fp16,13,43,32768,length,True
fp16,13,44,21109,eos,False
fp16,14,42,14341,eos,False
fp16,14,43,21603,eos,False
fp16,14,44,23944,eos,False
fp16,15,42,15112,eos,False
fp16,15,43,18497,eos,False
fp16,15,44,16125,eos,False
fp16,16,42,22975,eos,False
fp16,16,43,21835,eos,False
fp16,16,44,19905,eos,False
fp16,17,42,12229,eos,False
fp16,17,43,19101,eos,False
fp16,17,44,11002,eos,False
fp16,18,42,15834,eos,False
fp16,18,43,18347,eos,False
fp16,18,44,10238,eos,False
fp16,19,42,4324,eos,False
fp16,19,43,6302,eos,False
fp16,19,44,5081,eos,False
fp16,20,42,20569,eos,False
fp16,20,43,13669,eos,False
fp16,20,44,19907,eos,False
fp16,21,42,32768,length,True
fp16,21,43,32768,length,True
fp16,21,44,14165,eos,False
fp16,22,42,10572,eos,False
fp16,22,43,16078,eos,False
fp16,22,44,16628,eos,False
