request_row,kv_head,token_index,b2_assignment,b1_assignment
0,0,39,29,1
0,0,53,29,18
0,0,77,24,1
0,0,108,24,1
0,0,109,24,18
0,0,178,18,1
0,0,227,0,19
0,0,291,27,21
0,0,367,4,21
0,0,378,4,0
0,0,381,31,0
0,0,392,4,0
0,0,406,31,0
0,0,409,4,6
0,0,411,21,31
0,0,423,4,21
0,0,426,30,31
0,0,433,30,2
0,0,437,31,10
0,0,438,31,10
0,0,443,31,13
0,0,444,31,10
0,0,449,31,13
0,0,451,31,2
0,0,455,10,16
0,3,60,13,0
0,3,61,13,0
0,3,69,13,31
0,3,110,23,26
0,3,111,9,26
0,3,271,11,10
0,3,272,18,10
0,3,292,10,1
0,3,299,9,0
0,3,305,10,0
0,3,382,0,14
0,3,405,15,18
0,5,15,13,6
0,5,30,17,7
0,7,15,16,10
0,7,35,16,28
0,7,53,16,20
0,7,104,26,28
0,7,105,10,28
0,7,109,16,12
0,7,111,27,16
0,7,124,10,5
0,7,149,5,16
0,7,161,26,16
0,7,165,16,12
0,7,180,10,16
0,7,217,6,16
0,7,222,16,8
0,7,223,16,10
0,7,236,10,16
0,7,237,10,16
0,7,298,16,10
0,7,326,17,27
0,7,329,17,26
0,7,333,8,1
0,7,412,10,26
0,7,427,1,14
0,7,487,7,10
1,4,360,0,5
1,4,365,0,5
1,4,367,0,5
1,4,368,0,5
1,4,371,0,5
1,4,408,17,0
1,6,228,19,10
1,6,256,25,19
1,6,271,25,19
1,6,301,25,19
1,6,302,20,26
1,6,303,20,19
1,6,336,26,20
1,7,132,19,21
1,7,343,10,9
1,7,344,21,9
