lane,local_t,logical_k_channel,packed_token_index,tight_word_offset,strided_word_offset,strided_minus_tight
0,0,0,0,0,0,0
0,1,1,0,1,2048,2047
0,2,2,0,2,4096,4094
0,3,3,0,3,6144,6141
1,0,4,0,4,8192,8188
1,1,5,0,5,10240,10235
1,2,6,0,6,12288,12282
1,3,7,0,7,14336,14329
2,0,8,0,8,16384,16376
2,1,9,0,9,18432,18423
2,2,10,0,10,20480,20470
2,3,11,0,11,22528,22517
3,0,12,0,12,24576,24564
3,1,13,0,13,26624,26611
3,2,14,0,14,28672,28658
3,3,15,0,15,30720,30705
4,0,16,0,16,32768,32752
4,1,17,0,17,34816,34799
4,2,18,0,18,36864,36846
4,3,19,0,19,38912,38893
5,0,20,0,20,40960,40940
5,1,21,0,21,43008,42987
5,2,22,0,22,45056,45034
5,3,23,0,23,47104,47081
6,0,24,0,24,49152,49128
6,1,25,0,25,51200,51175
6,2,26,0,26,53248,53222
6,3,27,0,27,55296,55269
7,0,28,0,28,57344,57316
7,1,29,0,29,59392,59363
7,2,30,0,30,61440,61410
7,3,31,0,31,63488,63457
