checkpoint,config,error_type,median,method_group,metric_name,mode,n,object_type,q1,q3,region,statistic
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,0.06778734549880028,kivi,abs_log_norm_ratio,pseudo,60,hidden,0.04621029272675514,0.13893143832683563,all_tokens,max
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,0.008146037300568319,kivi,abs_log_norm_ratio,pseudo,60,hidden,0.006609704473645627,0.010604427821823324,all_tokens,mean
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,0.005747125833295286,kivi,abs_log_norm_ratio,pseudo,60,hidden,0.004360747698228806,0.007323407800868154,all_tokens,p50
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,0.01980031961575151,kivi,abs_log_norm_ratio,pseudo,60,hidden,0.01592048746533692,0.025842715986073017,all_tokens,p90
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,0.02544276937842369,kivi,abs_log_norm_ratio,pseudo,60,hidden,0.019982364540919652,0.032757431780919416,all_tokens,p95
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,0.03882294258102774,kivi,abs_log_norm_ratio,pseudo,60,hidden,0.029658384458161872,0.05149797422811381,all_tokens,p99
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,0.479458749294281,kivi,direction_error,pseudo,60,hidden,0.35928788781166077,0.7264642119407654,all_tokens,max
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,0.07479658578528031,kivi,direction_error,pseudo,60,hidden,0.062047480876485,0.09356349535836625,all_tokens,mean
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,0.07312022149562836,kivi,direction_error,pseudo,60,hidden,0.06110987067222595,0.09761671721935272,all_tokens,p50
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,0.13176137208938604,kivi,direction_error,pseudo,60,hidden,0.10982629656791698,0.16790640801191328,all_tokens,p90
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,0.16621149629354476,kivi,direction_error,pseudo,60,hidden,0.13216583877801877,0.20530224144458759,all_tokens,p95
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,0.30816903769969944,kivi,direction_error,pseudo,60,hidden,0.19729633122682572,0.46031815305352175,all_tokens,p99
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,1.068718671798706,kivi,norm_ratio,pseudo,60,hidden,1.043350338935852,1.119861364364624,all_tokens,max
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,1.001788443533513,kivi,norm_ratio,pseudo,60,hidden,1.0,1.0050067541135035,all_tokens,mean
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,1.0000528395175934,kivi,norm_ratio,pseudo,60,hidden,1.0,1.0021671205759048,all_tokens,p50
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,1.0161237716674805,kivi,norm_ratio,pseudo,60,hidden,1.0123893857002257,1.021410071849823,all_tokens,p90
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,1.0226181030273438,kivi,norm_ratio,pseudo,60,hidden,1.0172460496425628,1.0288242384791375,all_tokens,p95
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,1.0375779509544372,kivi,norm_ratio,pseudo,60,hidden,1.0288944685459136,1.0506491568684577,all_tokens,p99
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,0.9680029451847076,kivi,relative_L2,pseudo,60,hidden,0.8504819571971893,1.2475445866584778,all_tokens,max
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,0.33190160006420044,kivi,relative_L2,pseudo,60,hidden,0.3032179472217513,0.37533296665260274,all_tokens,mean
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,0.38467179238796234,kivi,relative_L2,pseudo,60,hidden,0.3503030687570572,0.4439029395580292,all_tokens,p50
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,0.5148751676082611,kivi,relative_L2,pseudo,60,hidden,0.46941825523972514,0.5807669296860695,all_tokens,p90
1024,kivi_rolling_k2v2_s0_r128,source_state_norm_drift,0.5778670713305473,kivi,relative_L2,pseudo,60,hidden,0.5146698676049707,0.637774495780468,all_tokens,p95
