absolute_nll_difference,backend,decode_position,logits_cosine,logits_max_abs_error,logits_relative_mse,problem_id,sample_id,task_key,teacher_target_nll_legacy,teacher_target_nll_segmented,teacher_target_token,top1_agreement,top1_legacy,top1_segmented,top5_overlap
0.0,production,128,0.9999936819076538,0.0,0.0,12,0,aime24:p12:s0:seed12042,1.5616295058862306e-05,1.5616295058862306e-05,1144,True,1144,1144,5
0.0,production,256,0.9999948740005493,0.0,0.0,12,0,aime24:p12:s0:seed12042,0.7487460970878601,0.7487460970878601,1205,True,1205,1205,5
0.0,production,512,0.9999951720237732,0.0,0.0,12,0,aime24:p12:s0:seed12042,0.2695615291595459,0.2695615291595459,779,True,779,779,5
0.0,production,1024,0.9999958872795105,0.0,0.0,12,0,aime24:p12:s0:seed12042,0.0040281834080815315,0.0040281834080815315,8,True,8,8,5
0.0,production,2048,0.9999940991401672,0.0,0.0,12,0,aime24:p12:s0:seed12042,0.021450312808156013,0.021450312808156013,3677,True,3677,3677,5
,production,4096,0.9999939203262329,0.0,0.0,12,0,aime24:p12:s0:seed12042,,,,True,489,489,5
0.0,production,128,0.9999962449073792,0.0,0.0,14,0,aime24:p14:s0:seed14042,0.00863177701830864,0.00863177701830864,374,True,374,374,5
0.0,production,256,0.9999946355819702,0.0,0.0,14,0,aime24:p14:s0:seed14042,0.04253321513533592,0.04253321513533592,3424,True,3424,3424,5
0.0,production,512,0.9999939203262329,0.0,0.0,14,0,aime24:p14:s0:seed14042,0.22663019597530365,0.22663019597530365,2100,True,2100,2100,5
0.0,production,1024,0.9999947547912598,0.0,0.0,14,0,aime24:p14:s0:seed14042,4.887569048150908e-06,4.887569048150908e-06,17,True,17,17,5
0.0,production,2048,0.9999945163726807,0.0,0.0,14,0,aime24:p14:s0:seed14042,0.2775503993034363,0.2775503993034363,13605,True,13605,13605,5
,production,4096,0.999994695186615,0.0,0.0,14,0,aime24:p14:s0:seed14042,,,,True,20,20,5
