base_median_auc,bootstrap_ci_high,bootstrap_ci_low,median_delta,method,method_median_auc,metric,tasks_compared,tasks_improved
0.5139649547636509,-0.008454572409391403,-0.008454572409391403,-0.008454572409391403,RANDOM_V4,0.5055103823542595,stored_v,1,1
0.28950556728523225,0.006064374465495348,-0.0239643189124763,-0.010933624347671866,RANDOM_V4,0.2857940450194292,value_only,6,5
0.294276682427153,0.02757312497124076,-0.021131923887878656,-0.009147235192358494,RANDOM_V4,0.3032775733154267,attention_output,6,4
0.5516381371417083,-0.0039901891723275185,-0.04494251124560833,-0.019834572449326515,RANDOM_V4,0.5228992379852571,hidden,6,6
0.07337281958848507,-0.0003369497717358172,-0.014230796019546688,-0.005800982849905267,RANDOM_V4,0.059142023568938384,future_v_source,6,5
0.5139649547636509,-0.01735163852572441,-0.01735163852572441,-0.01735163852572441,CAUSAL_V4,0.4966133162379265,stored_v,1,1
0.28950556728523225,0.009934037923812866,-0.029467393178492785,-0.01257657678797841,CAUSAL_V4,0.2825453949626535,value_only,6,5
0.294276682427153,0.009838024154305458,-0.034865334164351225,-0.03045786079019308,CAUSAL_V4,0.2885930936317891,attention_output,6,4
0.5516381371417083,0.0008714068681001663,-0.07041352242231369,-0.0545777902007103,CAUSAL_V4,0.5045470592158381,hidden,6,5
0.07337281958848507,-0.00043450354132801294,-0.022437275561969727,-0.01041804943815805,CAUSAL_V4,0.058150106644689004,future_v_source,6,5
0.5139649547636509,-0.017569467425346375,-0.017569467425346375,-0.017569467425346375,ORACLE_V4,0.4963954873383045,stored_v,1,1
0.28950556728523225,0.010809669271111488,-0.017417004564777017,-0.0026881741359829903,ORACLE_V4,0.28980480518657714,value_only,6,4
0.294276682427153,-0.00029064249247312546,-0.021461363416165113,-0.01347749587148428,ORACLE_V4,0.29398603993467987,attention_output,6,5
0.5516381371417083,-0.009148355573415756,-0.04133759904652834,-0.026973793283104897,ORACLE_V4,0.5298416899167933,hidden,6,6
0.07337281958848507,0.0016401211032643914,-0.019332209427375346,-0.008913411729736254,ORACLE_V4,0.0571933015128252,future_v_source,6,5
