hardware,kv_head,true_positive,true_negative,false_positive,false_negative,total,candidate_count,accepted_count,positive_support,negative_support,micro_fpr,micro_fnr,precision_micro,recall_micro,acceptance_micro
v100,0,12125,3495,37,2263,17920,17920,12162,14388,3532,0.010475651189127973,0.15728384765082012,0.9969577372142739,0.8427161523491798,0.6786830357142857
v100,1,12078,3478,72,2292,17920,17920,12150,14370,3550,0.02028169014084507,0.15949895615866388,0.9940740740740741,0.8405010438413362,0.6780133928571429
v100,2,13186,2993,30,1711,17920,17920,13216,14897,3023,0.00992391663910023,0.11485534000134255,0.9977300242130751,0.8851446599986574,0.7375
v100,3,12223,3505,77,2115,17920,17920,12300,14338,3582,0.021496370742601897,0.14751011298646952,0.993739837398374,0.8524898870135305,0.6863839285714286
v100,4,12821,3205,22,1872,17920,17920,12843,14693,3227,0.006817477533312674,0.1274076090655414,0.9982870045939423,0.8725923909344586,0.7166852678571428
v100,5,11540,3744,43,2593,17920,17920,11583,14133,3787,0.011354634275151836,0.18347130828557276,0.9962876629543296,0.8165286917144272,0.6463727678571428
v100,6,12186,3433,123,2178,17920,17920,12309,14364,3556,0.03458942632170978,0.15162907268170425,0.9900073117231294,0.8483709273182958,0.6868861607142858
v100,7,12484,3415,19,2002,17920,17920,12503,14486,3434,0.00553290623179965,0.1382024023194809,0.998480364712469,0.8617975976805191,0.6977120535714286
gpu4090,0,12148,3485,46,2241,17920,17920,12194,14389,3531,0.013027470971396206,0.15574397108902635,0.9962276529440709,0.8442560289109736,0.68046875
gpu4090,1,12090,3497,62,2271,17920,17920,12152,14361,3559,0.017420623770722114,0.15813662001253395,0.9948979591836735,0.8418633799874661,0.678125
gpu4090,2,13196,2967,18,1739,17920,17920,13214,14935,2985,0.006030150753768844,0.11643789755607634,0.9986378083850461,0.8835621024439236,0.7373883928571429
gpu4090,3,12333,3451,65,2071,17920,17920,12398,14404,3516,0.018486916951080772,0.1437795056928631,0.9947572189062752,0.8562204943071369,0.6918526785714286
gpu4090,4,12820,3184,17,1899,17920,17920,12837,14719,3201,0.005310840362386754,0.1290169169101162,0.998675703045883,0.8709830830898838,0.7163504464285714
gpu4090,5,11472,3768,56,2624,17920,17920,11528,14096,3824,0.014644351464435146,0.18615209988649262,0.9951422623178349,0.8138479001135074,0.6433035714285714
gpu4090,6,12237,3392,122,2169,17920,17920,12359,14406,3514,0.03471826977803073,0.15056226572261558,0.990128651185371,0.8494377342773844,0.6896763392857143
gpu4090,7,12491,3378,18,2033,17920,17920,12509,14524,3396,0.00530035335689046,0.13997521343982375,0.9985610360540411,0.8600247865601762,0.698046875
