hardware,scope,true_positive,true_negative,false_positive,false_negative,total,candidate_count,accepted_count,positive_support,negative_support,micro_fpr,micro_fnr,precision_micro,recall_micro,acceptance_micro,task_macro_fpr,task_macro_fnr,task_macro_acceptance,task_macro_fpr_bootstrap_mean,task_macro_fpr_bootstrap_ci_low,task_macro_fpr_bootstrap_ci_high,task_macro_fnr_bootstrap_mean,task_macro_fnr_bootstrap_ci_low,task_macro_fnr_bootstrap_ci_high,fpr_bootstrap_mean,fpr_bootstrap_ci_low,fpr_bootstrap_ci_high,fnr_bootstrap_mean,fnr_bootstrap_ci_low,fnr_bootstrap_ci_high,support
v100,global,98643,27268,423,17026,143360,143360,99066,115669,27691,0.01527572135350836,0.14719587789295316,0.9957301193143965,0.8528041221070468,0.6910295758928572,,,,,,,,,,0.015316369526709879,0.012532411408815903,0.01861739997152214,0.14720552599526154,0.14316930414047258,0.15132707509029628,4608
v100,task_macro,,,,,,,,,,,,,,,0.015061069352236498,0.14566660065001022,0.6937282986111111,0.015047839192357765,0.01346000943731101,0.016369215976694874,0.1455176480057567,0.11215901922604186,0.16966341591846637,,,,,,,6
v100,positive_tasks,49214,14596,233,9685,73728,73728,49447,58899,14829,0.015712455324027243,0.16443403113804989,0.9952878839970069,0.8355659688619501,0.6706678602430556,0.015707945773737932,0.16453246853875148,0.6706678602430555,,,,,,,,,,,,,3
v100,negative_tasks,33324,9516,153,6159,49152,49152,33477,39483,9669,0.015823766677008997,0.1559911860800851,0.9954296980016131,0.8440088139199149,0.68109130859375,0.015827365186894954,0.1560135593721343,0.68109130859375,,,,,,,,,,,,,2
v100,gsm8k_tasks,16105,3156,37,1182,20480,20480,16142,17287,3193,0.011587848418415283,0.06837507953953838,0.997707842894313,0.9316249204604616,0.78818359375,0.011587848418415283,0.06837507953953838,0.78818359375,,,,,,,,,,,,,1
gpu4090,global,98787,27122,404,17047,143360,143360,99191,115834,27526,0.014677032623701227,0.14716749831655646,0.9959270498331502,0.8528325016834436,0.6919015066964286,,,,,,,,,,0.014720339748293062,0.011854670520654201,0.01791359325605901,0.14721706643926305,0.1431778647997875,0.1515247995043541,4608
gpu4090,task_macro,,,,,,,,,,,,,,,0.014516975384224398,0.14562068281698004,0.6945746527777779,0.014501315142094724,0.013014980816182091,0.01595011599403266,0.14545856943977395,0.11271021790620563,0.1693286327572138,,,,,,,6
gpu4090,positive_tasks,49184,14502,224,9818,73728,73728,49408,59002,14726,0.015211191090588076,0.16640113894444256,0.9954663212435233,0.8335988610555575,0.6701388888888888,0.015177527694138533,0.16647390259206285,0.670138888888889,,,,,,,,,,,,,3
gpu4090,negative_tasks,33501,9472,141,6038,49152,49152,33642,39539,9613,0.014667637574118382,0.1527099825488758,0.995808810415552,0.8472900174511242,0.6844482421875,0.014666027771176723,0.15271529564420827,0.6844482421875,,,,,,,,,,,,,2
gpu4090,gsm8k_tasks,16102,3148,39,1191,20480,20480,16141,17293,3187,0.012237213680577345,0.06887179783727519,0.9975837928257233,0.9311282021627248,0.788134765625,0.012237213680577345,0.06887179783727519,0.788134765625,,,,,,,,,,,,,1
