hardware,layer,kv_head,true_positive,true_negative,false_positive,false_negative,total,candidate_count,accepted_count,positive_support,negative_support,micro_fpr,micro_fnr,precision_micro,recall_micro,acceptance_micro
v100,0,0,444,57,12,47,560,560,456,491,69,0.17391304347826086,0.09572301425661914,0.9736842105263158,0.9042769857433809,0.8142857142857143
v100,0,1,247,122,3,188,560,560,250,435,125,0.024,0.432183908045977,0.988,0.5678160919540229,0.44642857142857145
v100,0,2,355,103,3,99,560,560,358,454,106,0.02830188679245283,0.21806167400881057,0.9916201117318436,0.7819383259911894,0.6392857142857142
v100,0,3,217,177,2,164,560,560,219,381,179,0.0111731843575419,0.4304461942257218,0.9908675799086758,0.5695538057742782,0.39107142857142857
v100,0,4,266,169,0,125,560,560,266,391,169,0.0,0.319693094629156,1.0,0.680306905370844,0.475
v100,0,5,544,6,2,8,560,560,546,552,8,0.25,0.014492753623188406,0.9963369963369964,0.9855072463768116,0.975
v100,0,6,483,40,0,37,560,560,483,520,40,0.0,0.07115384615384615,1.0,0.9288461538461539,0.8625
v100,0,7,527,31,0,2,560,560,527,529,31,0.0,0.003780718336483932,1.0,0.996219281663516,0.9410714285714286
v100,1,0,442,83,0,35,560,560,442,477,83,0.0,0.07337526205450734,1.0,0.9266247379454927,0.7892857142857143
v100,1,1,312,146,1,101,560,560,313,413,147,0.006802721088435374,0.24455205811138014,0.9968051118210862,0.7554479418886199,0.5589285714285714
v100,1,2,467,75,4,14,560,560,471,481,79,0.05063291139240506,0.029106029106029108,0.9915074309978769,0.9708939708939709,0.8410714285714286
v100,1,3,260,155,3,142,560,560,263,402,158,0.0189873417721519,0.35323383084577115,0.9885931558935361,0.6467661691542289,0.46964285714285714
v100,1,4,474,66,2,18,560,560,476,492,68,0.029411764705882353,0.036585365853658534,0.9957983193277311,0.9634146341463414,0.85
v100,1,5,438,85,8,29,560,560,446,467,93,0.08602150537634409,0.06209850107066381,0.9820627802690582,0.9379014989293362,0.7964285714285714
v100,1,6,391,104,0,65,560,560,391,456,104,0.0,0.1425438596491228,1.0,0.8574561403508771,0.6982142857142857
v100,1,7,331,127,1,101,560,560,332,432,128,0.0078125,0.2337962962962963,0.9969879518072289,0.7662037037037037,0.5928571428571429
v100,10,0,466,77,0,17,560,560,466,483,77,0.0,0.035196687370600416,1.0,0.9648033126293996,0.8321428571428572
v100,10,1,366,116,2,76,560,560,368,442,118,0.01694915254237288,0.17194570135746606,0.9945652173913043,0.8280542986425339,0.6571428571428571
v100,10,2,412,104,2,42,560,560,414,454,106,0.018867924528301886,0.09251101321585903,0.9951690821256038,0.9074889867841409,0.7392857142857143
v100,10,3,424,96,0,40,560,560,424,464,96,0.0,0.08620689655172414,1.0,0.9137931034482759,0.7571428571428571
v100,10,4,404,96,1,59,560,560,405,463,97,0.010309278350515464,0.12742980561555076,0.9975308641975309,0.8725701943844493,0.7232142857142857
v100,10,5,383,85,0,92,560,560,383,475,85,0.0,0.1936842105263158,1.0,0.8063157894736842,0.6839285714285714
v100,10,6,409,107,0,44,560,560,409,453,107,0.0,0.09713024282560706,1.0,0.9028697571743929,0.7303571428571428
