task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,min,max,std
dureader,decode,v,0,0,bucketfirst,candidate_gate_accepted_fraction,11,0.029829545454545456,0.0078125,0.0546875,0.014829980836520667
dureader,decode,v,0,1,bucketfirst,candidate_gate_accepted_fraction,11,0.08877840909090909,0.046875,0.125,0.023619728903857815
dureader,decode,v,0,2,bucketfirst,candidate_gate_accepted_fraction,11,0.029829545454545456,0.0,0.0625,0.019656750714627906
dureader,decode,v,0,3,bucketfirst,candidate_gate_accepted_fraction,11,0.078125,0.0078125,0.140625,0.04555431167847891
dureader,decode,v,0,4,bucketfirst,candidate_gate_accepted_fraction,11,0.04261363636363636,0.0234375,0.0625,0.01217786093713228
dureader,decode,v,0,5,bucketfirst,candidate_gate_accepted_fraction,11,0.02556818181818182,0.0078125,0.0546875,0.01600770975793273
dureader,decode,v,0,6,bucketfirst,candidate_gate_accepted_fraction,11,0.13139204545454544,0.078125,0.21875,0.04077471617729356
dureader,decode,v,0,7,bucketfirst,candidate_gate_accepted_fraction,11,0.007102272727272727,0.0,0.0234375,0.00909534692817166
dureader,decode,v,1,0,bucketfirst,candidate_gate_accepted_fraction,11,0.009943181818181818,0.0,0.0234375,0.006737807514563309
dureader,decode,v,1,1,bucketfirst,candidate_gate_accepted_fraction,11,0.06463068181818182,0.015625,0.1328125,0.03072913018861353
dureader,decode,v,1,2,bucketfirst,candidate_gate_accepted_fraction,11,0.016335227272727272,0.0,0.0390625,0.014310683011086567
dureader,decode,v,1,3,bucketfirst,candidate_gate_accepted_fraction,11,0.08167613636363637,0.0390625,0.2109375,0.04750565769372342
dureader,decode,v,1,4,bucketfirst,candidate_gate_accepted_fraction,11,0.0234375,0.0078125,0.0390625,0.010534372850988159
dureader,decode,v,1,5,bucketfirst,candidate_gate_accepted_fraction,11,0.027698863636363636,0.0,0.0703125,0.01981012170593942
dureader,decode,v,1,6,bucketfirst,candidate_gate_accepted_fraction,11,0.049005681818181816,0.015625,0.09375,0.026669010448179813
dureader,decode,v,1,7,bucketfirst,candidate_gate_accepted_fraction,11,0.08096590909090909,0.03125,0.15625,0.03268589062217004
dureader,decode,v,2,0,bucketfirst,candidate_gate_accepted_fraction,11,0.05397727272727273,0.03125,0.078125,0.011756353236680998
dureader,decode,v,2,1,bucketfirst,candidate_gate_accepted_fraction,11,0.029829545454545456,0.015625,0.0546875,0.014829980836520667
dureader,decode,v,2,2,bucketfirst,candidate_gate_accepted_fraction,11,0.06321022727272728,0.0390625,0.078125,0.01266516654838563
dureader,decode,v,2,3,bucketfirst,candidate_gate_accepted_fraction,11,0.05823863636363636,0.0234375,0.0859375,0.02116429605930589
dureader,decode,v,2,4,bucketfirst,candidate_gate_accepted_fraction,11,0.0546875,0.03125,0.109375,0.021589039990867417
dureader,decode,v,2,5,bucketfirst,candidate_gate_accepted_fraction,11,0.048295454545454544,0.0234375,0.0703125,0.017251360513481712
dureader,decode,v,2,6,bucketfirst,candidate_gate_accepted_fraction,11,0.03835227272727273,0.0234375,0.0625,0.012665166548385657
dureader,decode,v,2,7,bucketfirst,candidate_gate_accepted_fraction,11,0.022727272727272728,0.0078125,0.0390625,0.010771129892118678
dureader,decode,v,3,0,bucketfirst,candidate_gate_accepted_fraction,11,0.07173295454545454,0.0390625,0.1328125,0.027433533971346548
dureader,decode,v,3,1,bucketfirst,candidate_gate_accepted_fraction,11,0.060369318181818184,0.0234375,0.1015625,0.02186761977037024
dureader,decode,v,3,2,bucketfirst,candidate_gate_accepted_fraction,11,0.03196022727272727,0.0078125,0.0625,0.016473598728328414
dureader,decode,v,3,3,bucketfirst,candidate_gate_accepted_fraction,11,0.024147727272727272,0.0,0.046875,0.014693296069301993
dureader,decode,v,3,4,bucketfirst,candidate_gate_accepted_fraction,11,0.040482954545454544,0.0,0.0859375,0.024888374244226186
dureader,decode,v,3,5,bucketfirst,candidate_gate_accepted_fraction,11,0.06747159090909091,0.03125,0.125,0.031120599858248065
dureader,decode,v,3,6,bucketfirst,candidate_gate_accepted_fraction,11,0.08522727272727272,0.046875,0.1328125,0.028159414206816787
dureader,decode,v,3,7,bucketfirst,candidate_gate_accepted_fraction,11,0.04261363636363636,0.015625,0.078125,0.020362601117658318
dureader,decode,v,4,0,bucketfirst,candidate_gate_accepted_fraction,11,0.05397727272727273,0.015625,0.09375,0.0206577266651264
dureader,decode,v,4,1,bucketfirst,candidate_gate_accepted_fraction,11,0.08806818181818182,0.0390625,0.1328125,0.02943804229554361
dureader,decode,v,4,2,bucketfirst,candidate_gate_accepted_fraction,11,0.05965909090909091,0.0078125,0.1328125,0.03021597640082761
dureader,decode,v,4,3,bucketfirst,candidate_gate_accepted_fraction,11,0.03125,0.0,0.0625,0.018844459036110223
dureader,decode,v,4,4,bucketfirst,candidate_gate_accepted_fraction,11,0.049005681818181816,0.0234375,0.09375,0.02055982219620757
dureader,decode,v,4,5,bucketfirst,candidate_gate_accepted_fraction,11,0.06463068181818182,0.015625,0.109375,0.030182570114880354
dureader,decode,v,4,6,bucketfirst,candidate_gate_accepted_fraction,11,0.03125,0.0078125,0.0625,0.01698616582826903
dureader,decode,v,4,7,bucketfirst,candidate_gate_accepted_fraction,11,0.061079545454545456,0.03125,0.09375,0.017570052381893447
dureader,decode,v,5,0,bucketfirst,candidate_gate_accepted_fraction,11,0.04403409090909091,0.0078125,0.0859375,0.025862416840956137
dureader,decode,v,5,1,bucketfirst,candidate_gate_accepted_fraction,11,0.052556818181818184,0.015625,0.09375,0.02828452805644869
dureader,decode,v,5,2,bucketfirst,candidate_gate_accepted_fraction,11,0.053267045454545456,0.0,0.0859375,0.026612207379538625
dureader,decode,v,5,3,bucketfirst,candidate_gate_accepted_fraction,11,0.022017045454545456,0.0078125,0.0390625,0.00989232121959099
dureader,decode,v,5,4,bucketfirst,candidate_gate_accepted_fraction,11,0.056107954545454544,0.015625,0.125,0.03706814872357923
dureader,decode,v,5,5,bucketfirst,candidate_gate_accepted_fraction,11,0.0390625,0.015625,0.078125,0.01942442376587691
dureader,decode,v,5,6,bucketfirst,candidate_gate_accepted_fraction,11,0.060369318181818184,0.0390625,0.0859375,0.015657249776312922
dureader,decode,v,5,7,bucketfirst,candidate_gate_accepted_fraction,11,0.019886363636363636,0.0,0.0546875,0.015032677903776083
dureader,decode,v,6,0,bucketfirst,candidate_gate_accepted_fraction,11,0.04616477272727273,0.0078125,0.1015625,0.026951230058253235
dureader,decode,v,6,1,bucketfirst,candidate_gate_accepted_fraction,11,0.07173295454545454,0.0390625,0.1171875,0.025979177781494146
dureader,decode,v,6,2,bucketfirst,candidate_gate_accepted_fraction,11,0.030539772727272728,0.015625,0.0703125,0.015430085925000309
dureader,decode,v,6,3,bucketfirst,candidate_gate_accepted_fraction,11,0.05113636363636364,0.03125,0.078125,0.013881264407451735
dureader,decode,v,6,4,bucketfirst,candidate_gate_accepted_fraction,11,0.033380681818181816,0.0078125,0.0625,0.014931673325020347
dureader,decode,v,6,5,bucketfirst,candidate_gate_accepted_fraction,11,0.07954545454545454,0.0234375,0.125,0.03157118007229101
dureader,decode,v,6,6,bucketfirst,candidate_gate_accepted_fraction,11,0.0703125,0.0234375,0.125,0.03125
dureader,decode,v,6,7,bucketfirst,candidate_gate_accepted_fraction,11,0.06178977272727273,0.0234375,0.140625,0.028936859073101357
dureader,decode,v,7,0,bucketfirst,candidate_gate_accepted_fraction,11,0.05113636363636364,0.015625,0.109375,0.03320644808966181
dureader,decode,v,7,1,bucketfirst,candidate_gate_accepted_fraction,11,0.020596590909090908,0.0,0.0390625,0.014240012539604704
dureader,decode,v,7,2,bucketfirst,candidate_gate_accepted_fraction,11,0.0390625,0.0,0.0859375,0.0280697057462635
dureader,decode,v,7,3,bucketfirst,candidate_gate_accepted_fraction,11,0.09517045454545454,0.0546875,0.15625,0.03121770024976694
dureader,decode,v,7,4,bucketfirst,candidate_gate_accepted_fraction,11,0.05752840909090909,0.03125,0.1015625,0.021140448957581277
dureader,decode,v,7,5,bucketfirst,candidate_gate_accepted_fraction,11,0.09872159090909091,0.046875,0.171875,0.03683608659059641
dureader,decode,v,7,6,bucketfirst,candidate_gate_accepted_fraction,11,0.05539772727272727,0.0078125,0.1171875,0.036863463841934604
dureader,decode,v,7,7,bucketfirst,candidate_gate_accepted_fraction,11,0.03977272727272727,0.015625,0.0703125,0.017769880686359096
dureader,decode,v,8,0,bucketfirst,candidate_gate_accepted_fraction,11,0.08451704545454546,0.03125,0.1796875,0.03853596581321175
dureader,decode,v,8,1,bucketfirst,candidate_gate_accepted_fraction,11,0.08806818181818182,0.03125,0.171875,0.038575214812500765
dureader,decode,v,8,2,bucketfirst,candidate_gate_accepted_fraction,11,0.12926136363636365,0.0390625,0.203125,0.04486253323111861
dureader,decode,v,8,3,bucketfirst,candidate_gate_accepted_fraction,11,0.05042613636363636,0.0078125,0.1015625,0.026932507423094526
dureader,decode,v,8,4,bucketfirst,candidate_gate_accepted_fraction,11,0.0703125,0.046875,0.1484375,0.027671533719855337
dureader,decode,v,8,5,bucketfirst,candidate_gate_accepted_fraction,11,0.11292613636363637,0.046875,0.1875,0.045962186611827924
dureader,decode,v,8,6,bucketfirst,candidate_gate_accepted_fraction,11,0.10369318181818182,0.0390625,0.1640625,0.03316084525547939
dureader,decode,v,8,7,bucketfirst,candidate_gate_accepted_fraction,11,0.05539772727272727,0.015625,0.09375,0.023426736509191252
dureader,decode,v,9,0,bucketfirst,candidate_gate_accepted_fraction,11,0.06960227272727272,0.015625,0.1015625,0.02931785147805441
dureader,decode,v,9,1,bucketfirst,candidate_gate_accepted_fraction,11,0.06889204545454546,0.03125,0.1015625,0.02303590161964042
dureader,decode,v,9,2,bucketfirst,candidate_gate_accepted_fraction,11,0.053267045454545456,0.0234375,0.0859375,0.017251360513481702
dureader,decode,v,9,3,bucketfirst,candidate_gate_accepted_fraction,11,0.11363636363636363,0.03125,0.203125,0.05132344251460133
dureader,decode,v,9,4,bucketfirst,candidate_gate_accepted_fraction,11,0.09588068181818182,0.015625,0.203125,0.05535218116022361
dureader,decode,v,9,5,bucketfirst,candidate_gate_accepted_fraction,11,0.0625,0.03125,0.1171875,0.026017981653429268
dureader,decode,v,9,6,bucketfirst,candidate_gate_accepted_fraction,11,0.07599431818181818,0.0234375,0.125,0.029998170570941594
dureader,decode,v,9,7,bucketfirst,candidate_gate_accepted_fraction,11,0.09019886363636363,0.0625,0.1328125,0.02008826082916328
dureader,decode,v,10,0,bucketfirst,candidate_gate_accepted_fraction,11,0.13352272727272727,0.0546875,0.2421875,0.05812593030002877
dureader,decode,v,10,1,bucketfirst,candidate_gate_accepted_fraction,11,0.12357954545454546,0.0625,0.1640625,0.030315974389791223
dureader,decode,v,10,2,bucketfirst,candidate_gate_accepted_fraction,11,0.06178977272727273,0.0234375,0.1328125,0.030974378533176875
dureader,decode,v,10,3,bucketfirst,candidate_gate_accepted_fraction,11,0.05752840909090909,0.03125,0.09375,0.01832881804057378
dureader,decode,v,10,4,bucketfirst,candidate_gate_accepted_fraction,11,0.09943181818181818,0.03125,0.171875,0.04067562802067146
dureader,decode,v,10,5,bucketfirst,candidate_gate_accepted_fraction,11,0.06747159090909091,0.015625,0.140625,0.032685890622170026
dureader,decode,v,10,6,bucketfirst,candidate_gate_accepted_fraction,11,0.09019886363636363,0.0,0.171875,0.044489942509562
dureader,decode,v,10,7,bucketfirst,candidate_gate_accepted_fraction,11,0.06818181818181818,0.0390625,0.1171875,0.023101499953537788
dureader,decode,v,11,0,bucketfirst,candidate_gate_accepted_fraction,11,0.056818181818181816,0.015625,0.0859375,0.023811157122500305
dureader,decode,v,11,1,bucketfirst,candidate_gate_accepted_fraction,11,0.07244318181818182,0.0390625,0.1328125,0.027286040784514975
