sample_key,v100_generated_tokens,gpu4090_generated_tokens,token_count_delta,v100_stop_reason,gpu4090_stop_reason,v100_token_hash,gpu4090_token_hash,token_hash_equal,v100_output_hash,gpu4090_output_hash,output_hash_equal,v100_update_boundary_count,gpu4090_update_boundary_count,boundary_count_delta,data_status
passage_retrieval_zh:114315020a2a44a7503087b56a7040a457d2c96a3d9e540b,,4,,,eos,,db7ca20ce8e4aa8c356fa2161179f27731e39324fce5a38f5fb95c486fc7f102,,,c17f39e893f8106cd9a9e8a763f662ffebbc134f2e7315a107e71871d2b23877,,,0,,v100_generation_missing
passage_retrieval_zh:153beb8e45d7a30432f5ec9cf2748d9ad97c133075b4125f,,5,,,eos,,970bd32209937ffe62b24cf54590cc70cad5a546d9f4f280b72d0fcb4611f71c,,,2950c6b04ba6d5cfbf448b65d7d5c1425d9632c39a00f4380721ea78e40128a0,,,0,,v100_generation_missing
passage_retrieval_zh:2387f3120c972a57d5a45118ddb95d1de25d098604720765,,5,,,eos,,a532dfd657f38c075026c2cdcaad6716aabd8962859ed68b3851a6b3f16e2c88,,,d9c0b19ffbe573f1bd63a0aced3ccf8a9a6d0c2d585960354f97f697894b373d,,,0,,v100_generation_missing
passage_retrieval_zh:23e5fbf90931855dcb0e340f64de8a0a9b0d891b23b797cd,,32,,,length,,a90091b97e0971ba38fb0ed1484d62c192c5c31130409f3c9b9af5f32f4562f8,,,2c404458529414c46400ba5baa3655bf252c61e41bf93c7b5dc347a38a89e3b5,,,0,,v100_generation_missing
passage_retrieval_zh:3317076f4a4d262e5932c1b82d1a50e838cba63950dcb90d,,4,,,eos,,db7ca20ce8e4aa8c356fa2161179f27731e39324fce5a38f5fb95c486fc7f102,,,c17f39e893f8106cd9a9e8a763f662ffebbc134f2e7315a107e71871d2b23877,,,0,,v100_generation_missing
passage_retrieval_zh:55e72fe3ff225f1486f8c6f2d69b47670ea1983b5a858f50,,5,,,eos,,daa4ce7b1d9f5eb04a8d4586eacdfc1835c1aededdef06ccdd7ade72ceed7e3f,,,2d59f0881633237ce7cf4e8a93c8db73b6c96b01c1a501a52c3ea74664712b57,,,0,,v100_generation_missing
passage_retrieval_zh:73c56375df099b59d8d399c9db244304e05ebf90d81b0ec4,,32,,,length,,e2aefae2092cd8515c9f66bf9b969d6a6f09bd6fe4490dee42969758f6769e40,,,2774e55cbb6ed6654ccb160015479efc5ad999e9bd4d31a0e826e54010af17c4,,,0,,v100_generation_missing
passage_retrieval_zh:8f226ecb3869196fc82b2291e0ce45f9b3b4a42ea7eb0966,,32,,,length,,a276e88cc6d2d06caa4c1dbb759e435c9b4059d7d475e35379099d735ae9a8d4,,,043b9406068f483ad13329b9e589ac38740cf363adf628dc279c1407002bbd60,,,0,,v100_generation_missing
passage_retrieval_zh:93f8a1d426e90ac53e9d4598145b6db4cc810edcda8da1f3,,5,,,eos,,0993c9063c6f15d0a8e131cc21c53f8450756cba8a4a1cebf950cf13f9a0b91e,,,842564c8d70282a43aaa1b2281da7c06083e2c7273f95c273a4726ac092f31a5,,,0,,v100_generation_missing
passage_retrieval_zh:abe474c9df9c801cf7ec3a5a66dc0551e23ed4ea83137550,,32,,,length,,c6d7d6363ea2a9dc48d9db70428e794031645ddf38bde994f36c22f31baf1305,,,00454a95f8efdf1ec5a31a18cba09df9cecd0f9f11544a051fd591536913edaa,,,0,,v100_generation_missing
passage_retrieval_zh:b7c499d1d0cc76480991ff87a23ed8e356cb5cb93479426c,,5,,,eos,,806dbad70752025d058b91e47b637b10d47c5f0de2f9106f4f586a405887b410,,,edfca9933e3ba294b62357994959e9dacedddee303f42cea882215ab005e32e0,,,0,,v100_generation_missing
passage_retrieval_zh:def74c0a4002099b5713c50a5c9f3d497712f27458a59b37,,32,,,length,,e27a156b3e3012d54b5e9d4380c000d397d33431dde5975c3cd0df7380766ccc,,,147ca2ea43dd5b945733841926e54e1ff675f72b19afce7871c042b64d82c6c3,,,1,,v100_generation_missing
