acc_auc,config,layer,metric_family,metric_name,n_available,object_type,region,statistic,task_key
0.04598775506019592,pattern_rolling_k2v2_s16_r128,0,attention_routing,abs_mass_delta,5,attention_mass,E128,global,aime24:p0:s0:seed42
0.0002089366316795349,pattern_rolling_k2v2_s16_r128,0,attention_routing,fp_mass,5,attention_mass,E128,global,aime24:p0:s0:seed42
-0.03973722457885742,pattern_rolling_k2v2_s16_r128,0,attention_routing,mass_delta,5,attention_mass,E128,global,aime24:p0:s0:seed42
-0.03952828794717789,pattern_rolling_k2v2_s16_r128,0,attention_routing,quant_mass,5,attention_mass,E128,global,aime24:p0:s0:seed42
0.042767882347106934,pattern_rolling_k2v2_s16_r128,0,attention_routing,abs_mass_delta,5,attention_mass,E16,global,aime24:p0:s0:seed42
0.00021523982286453247,pattern_rolling_k2v2_s16_r128,0,attention_routing,fp_mass,5,attention_mass,E16,global,aime24:p0:s0:seed42
-0.042767882347106934,pattern_rolling_k2v2_s16_r128,0,attention_routing,mass_delta,5,attention_mass,E16,global,aime24:p0:s0:seed42
-0.0425526425242424,pattern_rolling_k2v2_s16_r128,0,attention_routing,quant_mass,5,attention_mass,E16,global,aime24:p0:s0:seed42
0.041283056139945984,pattern_rolling_k2v2_s16_r128,0,attention_routing,abs_mass_delta,5,attention_mass,E32,global,aime24:p0:s0:seed42
0.00021398067474365234,pattern_rolling_k2v2_s16_r128,0,attention_routing,fp_mass,5,attention_mass,E32,global,aime24:p0:s0:seed42
-0.041283056139945984,pattern_rolling_k2v2_s16_r128,0,attention_routing,mass_delta,5,attention_mass,E32,global,aime24:p0:s0:seed42
-0.04106907546520233,pattern_rolling_k2v2_s16_r128,0,attention_routing,quant_mass,5,attention_mass,E32,global,aime24:p0:s0:seed42
0.04086483269929886,pattern_rolling_k2v2_s16_r128,0,attention_routing,abs_mass_delta,5,attention_mass,E64,global,aime24:p0:s0:seed42
0.0002133399248123169,pattern_rolling_k2v2_s16_r128,0,attention_routing,fp_mass,5,attention_mass,E64,global,aime24:p0:s0:seed42
