late_to_early_ratio,layer,median_acc_auc,metric_family,metric_name,n_tasks,object_type,positive_tasks,region,statistic
0.7337375333696429,0,1.3552636206150055,qk_logit,p99_abs_diff,6,qk_logits,6,current_history,global
4.483733327081767,0,0.06413060240447521,oracle_output,value_only_relative_L2,6,attention_output,6,current_history,global
-352972.5576368405,0,-2.4586967128925608e-08,direction,direction_error,6,q_source,2,current_token,p95
0.8539518149431782,0,0.07533172192052007,attention_routing,tv,6,attention_probs,6,current_history,mean
2.1781473432776317,0,0.1344325803220272,oracle_output,actual_relative_L2,6,attention_output,6,current_history,global
0.5896351218748849,0,0.014617047912906855,attention_routing,js,6,attention_probs,6,current_history,mean
0.5250206435554408,0,0.09449725784361362,qk_logit,relative_L2,6,qk_logits,6,current_history,global
1230970.9904988478,0,5.960464477539063e-08,direction,direction_error,6,v_source,4,current_token,p95
1.620737901099765,0,0.07167862681671977,oracle_output,routing_only_relative_L2,6,attention_output,6,current_history,global
0.9951150867230784,0,0.7657507807016373,qk_logit,p95_abs_diff,6,qk_logits,6,current_history,global
298836.5482923423,0,2.9802322387695312e-08,direction,direction_error,6,k_source,3,current_token,p95
0.6842701725321177,0,0.028529541522676283,v_direction,weighted_direction_error_fp,6,v_stored,6,current_history,mean
0.7337375333696429,7,0.9495113636367023,qk_logit,p99_abs_diff,6,qk_logits,6,current_history,global
4.483733327081767,7,0.3242994751490187,oracle_output,value_only_relative_L2,6,attention_output,6,current_history,global
-352972.5576368405,7,0.019629381189929518,direction,direction_error,6,q_source,6,current_token,p95
0.8539518149431782,7,0.08627327099384274,attention_routing,tv,6,attention_probs,6,current_history,mean
2.1781473432776317,7,0.3052105880342424,oracle_output,actual_relative_L2,6,attention_output,5,current_history,global
0.5896351218748849,7,0.007405308903258856,attention_routing,js,6,attention_probs,6,current_history,mean
0.5250206435554408,7,0.046922271692892537,qk_logit,relative_L2,6,qk_logits,6,current_history,global
1230970.9904988478,7,0.06855080160300986,direction,direction_error,6,v_source,6,current_token,p95
1.620737901099765,7,0.1351087543880567,oracle_output,routing_only_relative_L2,6,attention_output,5,current_history,global
0.9951150867230784,7,0.7439345424063504,qk_logit,p95_abs_diff,6,qk_logits,6,current_history,global
298836.5482923423,7,0.009341904814917257,direction,direction_error,6,k_source,6,current_token,p95
0.6842701725321177,7,0.01871121032462497,v_direction,weighted_direction_error_fp,6,v_stored,6,current_history,mean
0.7337375333696429,15,1.4868002091534436,qk_logit,p99_abs_diff,6,qk_logits,6,current_history,global
4.483733327081767,15,0.3413142586941831,oracle_output,value_only_relative_L2,6,attention_output,6,current_history,global
-352972.5576368405,15,0.02464511845346351,direction,direction_error,6,q_source,6,current_token,p95
0.8539518149431782,15,0.13655673267203383,attention_routing,tv,6,attention_probs,6,current_history,mean
2.1781473432776317,15,0.32104692835127935,oracle_output,actual_relative_L2,6,attention_output,5,current_history,global
0.5896351218748849,15,0.019905476132137778,attention_routing,js,6,attention_probs,6,current_history,mean
0.5250206435554408,15,0.07358669085078873,qk_logit,relative_L2,6,qk_logits,6,current_history,global
1230970.9904988478,15,0.1088219743683112,direction,direction_error,6,v_source,6,current_token,p95
1.620737901099765,15,0.15903461119160056,oracle_output,routing_only_relative_L2,6,attention_output,5,current_history,global
0.9951150867230784,15,1.076943558640778,qk_logit,p95_abs_diff,6,qk_logits,6,current_history,global
298836.5482923423,15,0.01847447854520823,direction,direction_error,6,k_source,6,current_token,p95
0.6842701725321177,15,0.03899642645745871,v_direction,weighted_direction_error_fp,6,v_stored,6,current_history,mean
0.7337375333696429,23,1.518578015267849,qk_logit,p99_abs_diff,6,qk_logits,6,current_history,global
4.483733327081767,23,0.24653182714246213,oracle_output,value_only_relative_L2,6,attention_output,6,current_history,global
-352972.5576368405,23,0.019387323249418387,direction,direction_error,6,q_source,6,current_token,p95
0.8539518149431782,23,0.03823518920398783,attention_routing,tv,6,attention_probs,6,current_history,mean
2.1781473432776317,23,0.28026347525883466,oracle_output,actual_relative_L2,6,attention_output,6,current_history,global
0.5896351218748849,23,0.006861850417863025,attention_routing,js,6,attention_probs,6,current_history,mean
0.5250206435554408,23,0.06471209347364493,qk_logit,relative_L2,6,qk_logits,6,current_history,global
1230970.9904988478,23,0.07969805309534195,direction,direction_error,6,v_source,6,current_token,p95
1.620737901099765,23,0.23810397239867598,oracle_output,routing_only_relative_L2,6,attention_output,6,current_history,global
0.9951150867230784,23,0.9988879926968366,qk_logit,p95_abs_diff,6,qk_logits,6,current_history,global
298836.5482923423,23,0.011473181049247216,direction,direction_error,6,k_source,6,current_token,p95
0.6842701725321177,23,0.009296239436238807,v_direction,weighted_direction_error_fp,6,v_stored,6,current_history,mean
0.7337375333696429,31,0.9944077860563993,qk_logit,p99_abs_diff,6,qk_logits,6,current_history,global
4.483733327081767,31,0.28754451929125935,oracle_output,value_only_relative_L2,6,attention_output,6,current_history,global
-352972.5576368405,31,0.00867817169947216,direction,direction_error,6,q_source,6,current_token,p95
0.8539518149431782,31,0.06432966065767687,attention_routing,tv,6,attention_probs,6,current_history,mean
