label,context_tokens,bit,mode,assignment,density,round,tokens,median_us,mean_us,p90_us,round_cv,stability
baseline,8192,2,PRODUCTION,mixed25_normal,normal,0,5952,114.68800157308578,115.59936165809631,115.7120019197464,,
baseline,8192,2,PRODUCTION,mixed25_normal,normal,1,5952,114.68800157308578,115.47136168926954,115.7120019197464,,
baseline,8192,2,PRODUCTION,mixed25_normal,normal,2,5952,114.68800157308578,115.50720170140266,115.7120019197464,,
baseline,8192,2,PRODUCTION,mixed25_normal,normal,3,5952,114.68800157308578,115.46624172478914,115.7120019197464,,
baseline,8192,2,PRODUCTION,mixed25_normal,normal,4,5952,114.68800157308578,115.54816175252199,115.7120019197464,,
baseline,8192,4,PRODUCTION,mixed25_normal,normal,0,1984,93.18400174379349,93.72160091996193,102.39999741315842,,
baseline,8192,4,PRODUCTION,mixed25_normal,normal,1,1984,89.08800035715103,92.38528076559305,97.28000313043594,,
baseline,8192,4,PRODUCTION,mixed25_normal,normal,2,1984,94.2080020904541,95.0579209253192,103.42399775981903,,
baseline,8192,4,PRODUCTION,mixed25_normal,normal,3,1984,94.2080020904541,107.54560071974993,103.42399775981903,,
baseline,8192,4,PRODUCTION,mixed25_normal,normal,4,1984,91.13600105047226,93.02528094500303,98.30400347709656,,
baseline,16384,2,PRODUCTION,mixed25_normal,normal,0,12096,226.30399465560913,226.82623736560345,227.32800245285034,,
baseline,16384,2,PRODUCTION,mixed25_normal,normal,1,12096,226.30399465560913,226.84159733355045,227.32800245285034,,
baseline,16384,2,PRODUCTION,mixed25_normal,normal,2,12096,226.30399465560913,226.87743745744228,227.32800245285034,,
baseline,16384,2,PRODUCTION,mixed25_normal,normal,3,12096,226.30399465560913,226.86719797551632,227.32800245285034,,
baseline,16384,2,PRODUCTION,mixed25_normal,normal,4,12096,226.30399465560913,226.92863695323467,227.32800245285034,,
baseline,16384,4,PRODUCTION,mixed25_normal,normal,0,4032,94.2080020904541,95.56992124766111,103.42399775981903,,
baseline,16384,4,PRODUCTION,mixed25_normal,normal,1,4032,94.2080020904541,95.13472117483616,100.35199671983719,,
baseline,16384,4,PRODUCTION,mixed25_normal,normal,2,4032,95.23200243711472,96.3891214132309,105.47199845314026,,
baseline,16384,4,PRODUCTION,mixed25_normal,normal,3,4032,95.23200243711472,96.15872133523226,104.44799810647964,,
baseline,16384,4,PRODUCTION,mixed25_normal,normal,4,4032,94.2080020904541,96.33792087435722,105.47199845314026,,
baseline,32768,2,PRODUCTION,mixed25_normal,normal,0,24384,448.5119879245758,449.16735365986824,449.535995721817,,
baseline,32768,2,PRODUCTION,mixed25_normal,normal,1,24384,445.43999433517456,447.3855981230736,446.46400213241577,,
baseline,32768,2,PRODUCTION,mixed25_normal,normal,2,24384,445.43999433517456,446.21311753988266,446.46400213241577,,
baseline,32768,2,PRODUCTION,mixed25_normal,normal,3,24384,445.43999433517456,446.20287761092186,446.46400213241577,,
baseline,32768,2,PRODUCTION,mixed25_normal,normal,4,24384,445.43999433517456,446.16703778505325,446.46400213241577,,
baseline,32768,4,PRODUCTION,mixed25_normal,normal,0,8128,163.83999586105347,164.46463897824287,164.86400365829468,,
baseline,32768,4,PRODUCTION,mixed25_normal,normal,1,8128,163.83999586105347,164.30079862475395,164.86400365829468,,
baseline,32768,4,PRODUCTION,mixed25_normal,normal,2,8128,163.83999586105347,164.3929587304592,164.86400365829468,,
baseline,32768,4,PRODUCTION,mixed25_normal,normal,3,8128,163.83999586105347,164.27519917488098,164.86400365829468,,
baseline,32768,4,PRODUCTION,mixed25_normal,normal,4,8128,163.83999586105347,164.382718577981,164.86400365829468,,
baseline,8192,2,PRODUCTION,mixed25_normal,normal,summary,5952,114.68800157308578,114.68800157308578,114.68800157308578,0.0,STABLE
baseline,8192,4,PRODUCTION,mixed25_normal,normal,summary,1984,93.18400174379349,92.364801466465,94.2080020904541,0.02403491173365454,STABLE
baseline,16384,2,PRODUCTION,mixed25_normal,normal,summary,12096,226.30399465560913,226.30399465560913,226.30399465560913,0.0,STABLE
baseline,16384,4,PRODUCTION,mixed25_normal,normal,summary,4032,94.2080020904541,94.61760222911835,95.23200243711472,0.0059277351734297315,STABLE
baseline,32768,2,PRODUCTION,mixed25_normal,normal,summary,24384,445.43999433517456,446.0543930530548,448.5119879245758,0.003079977060792101,STABLE
baseline,32768,4,PRODUCTION,mixed25_normal,normal,summary,8128,163.83999586105347,163.83999586105347,163.83999586105347,0.0,STABLE
