context_length,decode_length,batch_size,peer,causal_vs_peer_tpot_ratio,causal_vs_peer_throughput_ratio,throughput_ratio
2048,8,1,KIVI_PAPER_G128_FULL_MODEL,2.92685254718991,0.3416791861873736,
2048,8,1,PATTERNKV_PAPER_FULL_MODEL,1.0788716689848223,0.9268994866967245,
2048,8,1,PATTERNKV_PAPER_FULL_MODEL/KIVI_PAPER_G128_FULL_MODEL,,,0.36862593095724605
2048,8,2,KIVI_PAPER_G128_FULL_MODEL,2.669642746454088,0.3745960687998633,
2048,8,2,PATTERNKV_PAPER_FULL_MODEL,1.0141956782310824,0.9860122804549275,
2048,8,2,PATTERNKV_PAPER_FULL_MODEL/KIVI_PAPER_G128_FULL_MODEL,,,0.37991014536556456
2048,8,4,KIVI_PAPER_G128_FULL_MODEL,2.6586702659963617,0.3761463783273416,
2048,8,4,PATTERNKV_PAPER_FULL_MODEL,1.0426748706458304,0.959073117296467,
2048,8,4,PATTERNKV_PAPER_FULL_MODEL/KIVI_PAPER_G128_FULL_MODEL,,,0.39219781218314337
2048,8,8,KIVI_PAPER_G128_FULL_MODEL,2.6372027115235053,0.37921724764892034,
2048,8,8,PATTERNKV_PAPER_FULL_MODEL,1.0109707914356383,0.9891507166815185,
2048,8,8,PATTERNKV_PAPER_FULL_MODEL/KIVI_PAPER_G128_FULL_MODEL,,,0.38337660909871096
2048,8,1,KIVI_PAPER_G128_FULL_MODEL,2.80558227338137,0.3564450045685977,
2048,8,1,PATTERNKV_PAPER_FULL_MODEL,1.0341700447681594,0.9669558613062922,
2048,8,1,PATTERNKV_PAPER_FULL_MODEL/KIVI_PAPER_G128_FULL_MODEL,,,0.36862593095724605
4096,8,1,KIVI_PAPER_G128_FULL_MODEL,2.783286822570878,0.3593001756840775,
4096,8,1,PATTERNKV_PAPER_FULL_MODEL,1.0152051625556717,0.9850226040157335,
4096,8,1,PATTERNKV_PAPER_FULL_MODEL/KIVI_PAPER_G128_FULL_MODEL,,,0.36476338128616037
8192,8,1,KIVI_PAPER_G128_FULL_MODEL,2.7743759595721373,0.36046394124544984,
8192,8,1,PATTERNKV_PAPER_FULL_MODEL,1.025037765673955,0.9755748333930938,
8192,8,1,PATTERNKV_PAPER_FULL_MODEL/KIVI_PAPER_G128_FULL_MODEL,,,0.36948876591223634
4096,256,1,KIVI_PAPER_G128_FULL_MODEL,2.807071513267757,0.35624376778927686,
4096,256,1,PATTERNKV_PAPER_FULL_MODEL,1.0315824507332612,0.9693844264338162,
4096,256,1,PATTERNKV_PAPER_FULL_MODEL/KIVI_PAPER_G128_FULL_MODEL,,,0.3674948328805229
