context_tokens,component,us_per_token,share_percent,timer_type,inclusive_or_exclusive,calls_per_token,profile_total_us,profile_tokens_recorded
8192,qkv_projection,0.0,0.0,cuda_event,exclusive_group_from_selected_leaf_ranges,0.0,0.0,0.0
8192,rope,7317.247987026349,4.814783750004127,cuda_event,exclusive_group_from_selected_leaf_ranges,32.0,936607.7423393726,0.0
8192,QK,17808.550283138175,11.718110233029105,cuda_event,exclusive_group_from_selected_leaf_ranges,159.75,2279494.4362416863,34668544.0
8192,softmax,1549.5120181003585,1.0195862294695306,cuda_event,exclusive_group_from_selected_leaf_ranges,32.0,198337.5383168459,33818624.0
8192,importance_update,4826.360024744645,3.175767701191942,cuda_event,exclusive_group_from_selected_leaf_ranges,32.0,617774.0831673145,33818624.0
8192,mixed_v,34661.0959386453,22.807164903884036,cuda_event,exclusive_group_from_selected_leaf_ranges,32.0,4436620.280146599,0.0
8192,selector,1276.6639962792397,0.8400509418840444,cuda_event,exclusive_group_from_selected_leaf_ranges,0.25,163412.99152374268,4096.0
8192,packing,2109.79200899601,1.388253110843484,cuda_event,exclusive_group_from_selected_leaf_ranges,0.25,270053.37715148926,4096.0
8192,cache_mutation,24717.9890046973,16.264553559426698,cuda_event,exclusive_group_from_selected_leaf_ranges,161.25,3163902.5926012546,0.0
8192,output_projection,3234.615939145442,2.128392571758513,cuda_event,exclusive_group_from_selected_leaf_ranges,32.0,414030.8402106166,0.0
8192,lm_head,1193.8800308853388,0.7855787014944661,cuda_event,exclusive_group_from_selected_leaf_ranges,1.0,152816.64395332336,0.0
8192,other,53278.88533483201,35.057758297014054,derived,exclusive_residual_wall_time_minus_selected_groups,0.0,6819697.3228584975,0.0
16384,qkv_projection,0.0,0.0,cuda_event,exclusive_group_from_selected_leaf_ranges,0.0,0.0,0.0
16384,rope,7590.072008431889,4.853090732994342,cuda_event,exclusive_group_from_selected_leaf_ranges,32.0,971529.2170792818,0.0
16384,QK,18862.19197738683,12.060482296837709,cuda_event,exclusive_group_from_selected_leaf_ranges,159.75,2414360.573105514,68222976.0
16384,softmax,1512.232017092174,0.9669208908867267,cuda_event,exclusive_group_from_selected_leaf_ranges,32.0,193565.69818779826,67373056.0
16384,importance_update,4859.704032540321,3.1072939201652248,cuda_event,exclusive_group_from_selected_leaf_ranges,32.0,622042.1161651611,67373056.0
16384,mixed_v,37170.74398789555,23.766967294349854,cuda_event,exclusive_group_from_selected_leaf_ranges,32.0,4757855.23045063,0.0
16384,selector,1277.247991412878,0.8166721453993303,cuda_event,exclusive_group_from_selected_leaf_ranges,0.25,163487.7429008484,4096.0
16384,packing,2114.919990301132,1.3522794770000386,cuda_event,exclusive_group_from_selected_leaf_ranges,0.25,270709.7587585449,4096.0
16384,cache_mutation,25485.498515321524,16.295423354751673,cuda_event,exclusive_group_from_selected_leaf_ranges,161.25,3262143.809961155,0.0
16384,output_projection,3232.4239297304302,2.066811303115014,cuda_event,exclusive_group_from_selected_leaf_ranges,32.0,413750.2630054951,0.0
16384,lm_head,1193.8080294057727,0.7633206480843866,cuda_event,exclusive_group_from_selected_leaf_ranges,1.0,152807.4277639389,0.0
16384,other,53097.821543880855,33.9507379364157,derived,exclusive_residual_wall_time_minus_selected_groups,0.0,6796521.157616749,0.0
32768,qkv_projection,0.0,0.0,cuda_event,exclusive_group_from_selected_leaf_ranges,0.0,0.0,0.0
32768,rope,8384.268749156035,5.296386459381181,cuda_event,exclusive_group_from_selected_leaf_ranges,32.0,1073186.3998919725,0.0
32768,QK,18886.7655060385,11.930868639886942,cuda_event,exclusive_group_from_selected_leaf_ranges,159.75,2417505.984772928,135331840.0
32768,softmax,1577.632019034354,0.9965984051192108,cuda_event,exclusive_group_from_selected_leaf_ranges,32.0,201936.8984363973,134481920.0
32768,importance_update,4863.1360296858475,3.0720684878272295,cuda_event,exclusive_group_from_selected_leaf_ranges,32.0,622481.4117997885,134481920.0
32768,mixed_v,41119.91200502962,25.975663670884483,cuda_event,exclusive_group_from_selected_leaf_ranges,32.0,5263348.736643791,0.0
32768,selector,1296.575989574194,0.8190538400180419,cuda_event,exclusive_group_from_selected_leaf_ranges,0.25,165961.72666549683,4096.0
32768,packing,2149.224005639553,1.357676055266256,cuda_event,exclusive_group_from_selected_leaf_ranges,0.25,275100.6727218628,4096.0
32768,cache_mutation,24893.034295659163,15.725060076313982,cuda_event,exclusive_group_from_selected_leaf_ranges,161.25,3186308.389844373,0.0
32768,output_projection,3207.3999657586683,2.0261313486848636,cuda_event,exclusive_group_from_selected_leaf_ranges,32.0,410547.19561710954,0.0
32768,lm_head,1192.4640191718936,0.7532857633024972,cuda_event,exclusive_group_from_selected_leaf_ranges,1.0,152635.39445400238,0.0
32768,other,50731.267503295385,32.04720725331531,derived,exclusive_residual_wall_time_minus_selected_groups,0.0,6493602.240421809,0.0
