component,8k_us,16k_us,32k_us,8_to_16_ratio,16_to_32_ratio,classification
QK,17808.550283138175,18862.19197738683,18886.7655060385,1.0591649335570164,1.0013027928398317,CONSTANT_LIKE
cache_mutation,24717.9890046973,25485.498515321524,24893.034295659163,1.0310506453610917,0.9767528887337174,CONSTANT_LIKE
importance_update,4826.360024744645,4859.704032540321,4863.1360296858475,1.0069087278248459,1.0007062152597248,CONSTANT_LIKE
lm_head,1193.8800308853388,1193.8080294057727,1192.4640191718936,0.9999396911936682,0.9988741822799198,CONSTANT_LIKE
mixed_v,34661.0959386453,37170.74398789555,41119.91200502962,1.0724053288358986,1.1062439863571225,CONSTANT_LIKE
other,53278.88533483201,53097.821543880855,50731.267503295385,0.9966015844773543,0.9554302987999289,CONSTANT_LIKE
output_projection,3234.615939145442,3232.4239297304302,3207.3999657586683,0.9993223277643308,0.9922584523206865,CONSTANT_LIKE
packing,2109.79200899601,2114.919990301132,2149.224005639553,1.0024305624835326,1.0162200061920719,CONSTANT_LIKE
qkv_projection,0.0,0.0,0.0,,,INSUFFICIENT_DATA
rope,7317.247987026349,7590.072008431889,8384.268749156035,1.0372850587938613,1.1046362590291456,CONSTANT_LIKE
selector,1276.6639962792397,1277.247991412878,1296.575989574194,1.0004574383983103,1.015132533612314,CONSTANT_LIKE
softmax,1549.5120181003585,1512.232017092174,1577.632019034354,0.97594081196357,1.0432473332153989,CONSTANT_LIKE
