context_tokens,bit,mode,round,tokens,median_us,mean_us,p90_us
8192,2,FULL,0,5952,114.68800157308578,115.48160165548325,115.7120019197464
8192,2,FULL,1,5952,114.68800157308578,115.36896165460348,115.7120019197464
8192,2,FULL,2,5952,114.68800157308578,115.50720155239105,115.7120019197464
8192,2,FULL,3,5952,114.68800157308578,115.43040167540312,115.7120019197464
8192,2,FULL,4,5952,114.68800157308578,115.27168165892363,115.7120019197464
8192,2,RESIDUAL_ONLY,0,5952,105.47199845314026,108.98943908512592,115.7120019197464
8192,2,RESIDUAL_ONLY,1,5952,105.47199845314026,109.89055905491114,113.66400122642517
8192,2,RESIDUAL_ONLY,2,5952,100.35199671983719,106.53183866292238,113.66400122642517
8192,2,RESIDUAL_ONLY,3,5952,99.32799637317657,103.7209602817893,112.64000087976456
8192,2,RESIDUAL_ONLY,4,5952,97.28000313043594,116.7360008880496,111.61600053310394
8192,2,NO_CENTROID_HISTOGRAM,0,5952,97.28000313043594,101.8060814589262,107.51999914646149
8192,2,NO_CENTROID_HISTOGRAM,1,5952,100.35199671983719,105.20063877105713,112.64000087976456
8192,2,NO_CENTROID_HISTOGRAM,2,5952,99.32799637317657,103.06047927588224,107.51999914646149
8192,2,NO_CENTROID_HISTOGRAM,3,5952,97.28000313043594,102.55872085690498,110.59200018644333
8192,2,NO_CENTROID_HISTOGRAM,4,5952,97.28000313043594,101.4784013107419,107.51999914646149
8192,2,CENTROID_ONLY,0,5952,97.28000313043594,105.9430418536067,129.02399897575378
8192,2,CENTROID_ONLY,1,5952,97.28000313043594,101.99552193284035,106.49599879980087
8192,2,CENTROID_ONLY,2,5952,97.28000313043594,102.35392194241285,106.49599879980087
8192,2,CENTROID_ONLY,3,5952,97.28000313043594,103.69536157697439,106.49599879980087
8192,2,CENTROID_ONLY,4,5952,97.28000313043594,102.17472206801176,106.49599879980087
8192,4,FULL,0,1984,96.25600278377533,100.11648159474134,103.42399775981903
8192,4,FULL,1,1984,96.25600278377533,99.83488168567419,104.44799810647964
8192,4,FULL,2,1984,96.25600278377533,100.42368184775114,104.44799810647964
8192,4,FULL,3,1984,98.81599992513657,101.91872041672468,109.56799983978271
8192,4,FULL,4,1984,97.28000313043594,101.0124809667468,106.49599879980087
8192,4,RESIDUAL_ONLY,0,1984,87.0399996638298,91.12063977867365,97.28000313043594
8192,4,RESIDUAL_ONLY,1,1984,87.0399996638298,90.27071990072727,95.23200243711472
8192,4,RESIDUAL_ONLY,2,1984,87.0399996638298,91.61215979605913,96.25600278377533
8192,4,RESIDUAL_ONLY,3,1984,87.0399996638298,90.27583982795477,95.23200243711472
8192,4,RESIDUAL_ONLY,4,1984,87.0399996638298,91.66335992515087,96.25600278377533
8192,4,NO_CENTROID_HISTOGRAM,0,1984,88.06400001049042,90.57280007749796,96.25600278377533
8192,4,NO_CENTROID_HISTOGRAM,1,1984,87.0399996638298,90.46015996485949,95.23200243711472
8192,4,NO_CENTROID_HISTOGRAM,2,1984,87.55199983716011,91.12575989216566,98.30400347709656
8192,4,NO_CENTROID_HISTOGRAM,3,1984,87.0399996638298,89.91232007741928,96.25600278377533
8192,4,NO_CENTROID_HISTOGRAM,4,1984,87.0399996638298,90.1324800029397,95.23200243711472
8192,4,CENTROID_ONLY,0,1984,91.13600105047226,94.46912109851837,98.30400347709656
8192,4,CENTROID_ONLY,1,1984,91.13600105047226,94.64832089841366,99.32799637317657
8192,4,CENTROID_ONLY,2,1984,91.13600105047226,93.10208089649677,95.23200243711472
8192,4,CENTROID_ONLY,3,1984,91.13600105047226,93.37344076484442,99.32799637317657
8192,4,CENTROID_ONLY,4,1984,91.13600105047226,94.53056089580059,98.30400347709656
16384,2,FULL,0,12096,223.23200106620789,223.9692784100771,224.2559939622879
16384,2,FULL,1,12096,223.23200106620789,224.1791981458664,224.2559939622879
16384,2,FULL,2,12096,223.23200106620789,224.29695814847946,225.2800017595291
16384,2,FULL,3,12096,223.23200106620789,224.14847806096077,225.2800017595291
16384,2,FULL,4,12096,224.2559939622879,224.27647776901722,225.2800017595291
16384,2,RESIDUAL_ONLY,0,12096,102.39999741315842,102.73791737854481,103.42399775981903
16384,2,RESIDUAL_ONLY,1,12096,102.39999741315842,102.39999733865261,102.39999741315842
16384,2,RESIDUAL_ONLY,2,12096,101.3759970664978,105.43103747069836,103.42399775981903
16384,2,RESIDUAL_ONLY,3,12096,101.3759970664978,102.34367728233337,102.39999741315842
16384,2,RESIDUAL_ONLY,4,12096,102.39999741315842,103.11679758131504,103.42399775981903
16384,2,NO_CENTROID_HISTOGRAM,0,12096,102.39999741315842,103.14239758998156,103.42399775981903
16384,2,NO_CENTROID_HISTOGRAM,1,12096,102.39999741315842,103.35231758654118,103.42399775981903
16384,2,NO_CENTROID_HISTOGRAM,2,12096,102.39999741315842,102.92735747992992,103.42399775981903
16384,2,NO_CENTROID_HISTOGRAM,3,12096,102.39999741315842,102.81983748078346,103.42399775981903
16384,2,NO_CENTROID_HISTOGRAM,4,12096,102.39999741315842,102.85055749118328,103.42399775981903
16384,2,CENTROID_ONLY,0,12096,171.00800573825836,172.02688299119473,173.0560064315796
16384,2,CENTROID_ONLY,1,12096,171.00800573825836,172.0217627286911,173.0560064315796
16384,2,CENTROID_ONLY,2,12096,172.03199863433838,172.11392268538475,173.0560064315796
16384,2,CENTROID_ONLY,3,12096,171.00800573825836,172.05760270357132,173.0560064315796
16384,2,CENTROID_ONLY,4,12096,171.00800573825836,171.88352301716805,172.03199863433838
16384,4,FULL,0,4032,97.28000313043594,99.69152200967073,106.49599879980087
16384,4,FULL,1,4032,97.28000313043594,99.37408223748207,106.49599879980087
16384,4,FULL,2,4032,97.28000313043594,99.04128197580576,105.47199845314026
16384,4,FULL,3,4032,97.28000313043594,100.92544201761484,106.49599879980087
16384,4,FULL,4,4032,97.28000313043594,100.50048183649778,107.51999914646149
16384,4,RESIDUAL_ONLY,0,4032,88.06400001049042,89.67680010944605,96.25600278377533
16384,4,RESIDUAL_ONLY,1,4032,88.06400001049042,89.51808001846075,94.2080020904541
16384,4,RESIDUAL_ONLY,2,4032,88.06400001049042,90.83392012864351,97.28000313043594
16384,4,RESIDUAL_ONLY,3,4032,88.06400001049042,90.64448017627001,97.28000313043594
16384,4,RESIDUAL_ONLY,4,4032,90.11200070381165,92.94848013669252,102.39999741315842
16384,4,NO_CENTROID_HISTOGRAM,0,4032,88.06400001049042,90.9824001044035,99.32799637317657
16384,4,NO_CENTROID_HISTOGRAM,1,4032,88.06400001049042,91.46367989480495,101.3759970664978
16384,4,NO_CENTROID_HISTOGRAM,2,4032,89.08800035715103,94.75584022700787,104.44799810647964
16384,4,NO_CENTROID_HISTOGRAM,3,4032,89.08800035715103,91.05920020490885,98.30400347709656
16384,4,NO_CENTROID_HISTOGRAM,4,4032,88.06400001049042,89.72288016229868,95.23200243711472
16384,4,CENTROID_ONLY,0,4032,98.30400347709656,101.4937611669302,109.56799983978271
16384,4,CENTROID_ONLY,1,4032,98.30400347709656,102.0876818522811,109.56799983978271
16384,4,CENTROID_ONLY,2,4032,97.28000313043594,102.09792204201221,110.59200018644333
16384,4,CENTROID_ONLY,3,4032,98.30400347709656,101.58080153167248,108.5439994931221
16384,4,CENTROID_ONLY,4,4032,97.79200330376625,101.74976166337729,108.5439994931221
32768,2,FULL,0,24384,441.3439929485321,442.1631960570812,442.3680007457733
32768,2,FULL,1,24384,441.3439929485321,443.19231510162354,442.3680007457733
32768,2,FULL,2,24384,441.3439929485321,442.14783549308777,442.3680007457733
32768,2,FULL,3,24384,441.3439929485321,442.183675467968,442.3680007457733
32768,2,FULL,4,24384,441.3439929485321,442.16831520199776,442.3680007457733
32768,2,RESIDUAL_ONLY,0,24384,194.5600062608719,194.93376225233078,195.5839991569519
32768,2,RESIDUAL_ONLY,1,24384,194.5600062608719,194.81600247323513,195.5839991569519
32768,2,RESIDUAL_ONLY,2,24384,194.5600062608719,194.84160281717777,195.5839991569519
32768,2,RESIDUAL_ONLY,3,24384,194.5600062608719,194.86720241606236,195.5839991569519
32768,2,RESIDUAL_ONLY,4,24384,194.5600062608719,194.580482468009,195.5839991569519
32768,2,NO_CENTROID_HISTOGRAM,0,24384,194.5600062608719,194.69824187457561,195.5839991569519
32768,2,NO_CENTROID_HISTOGRAM,1,24384,194.5600062608719,194.58048202097416,195.5839991569519
32768,2,NO_CENTROID_HISTOGRAM,2,24384,194.5600062608719,194.8006422072649,195.5839991569519
32768,2,NO_CENTROID_HISTOGRAM,3,24384,193.53599846363068,193.89952190220356,194.5600062608719
32768,2,NO_CENTROID_HISTOGRAM,4,24384,192.51200556755066,193.3414427191019,193.53599846363068
32768,2,CENTROID_ONLY,0,24384,324.6079981327057,325.55008232593536,326.6560137271881
32768,2,CENTROID_ONLY,1,24384,325.6320059299469,325.6320030987263,326.6560137271881
32768,2,CENTROID_ONLY,2,24384,324.6079981327057,325.4835216701031,325.6320059299469
32768,2,CENTROID_ONLY,3,24384,325.6320059299469,325.61152279376984,325.6320059299469
32768,2,CENTROID_ONLY,4,24384,324.6079981327057,325.5091220140457,325.6320059299469
32768,4,FULL,0,8128,161.79199516773224,162.17599853873253,162.81600296497345
32768,4,FULL,1,8128,161.79199516773224,162.21695825457573,162.81600296497345
32768,4,FULL,2,8128,161.79199516773224,170.5267183482647,162.81600296497345
32768,4,FULL,3,8128,161.79199516773224,162.28351794183254,162.81600296497345
32768,4,FULL,4,8128,161.79199516773224,162.15039804577827,162.81600296497345
32768,4,RESIDUAL_ONLY,0,8128,97.28000313043594,99.76832188665867,104.44799810647964
32768,4,RESIDUAL_ONLY,1,8128,97.28000313043594,98.73408187180758,104.44799810647964
32768,4,RESIDUAL_ONLY,2,8128,97.28000313043594,99.32800158858299,105.47199845314026
32768,4,RESIDUAL_ONLY,3,8128,97.28000313043594,98.79040200263262,103.42399775981903
32768,4,RESIDUAL_ONLY,4,8128,97.28000313043594,100.56192163378,105.47199845314026
32768,4,NO_CENTROID_HISTOGRAM,0,8128,97.28000313043594,99.44576159119606,105.47199845314026
32768,4,NO_CENTROID_HISTOGRAM,1,8128,97.28000313043594,99.22048177570105,103.42399775981903
32768,4,NO_CENTROID_HISTOGRAM,2,8128,97.28000313043594,99.00544170290232,104.44799810647964
32768,4,NO_CENTROID_HISTOGRAM,3,8128,97.28000313043594,99.1385618597269,103.42399775981903
32768,4,NO_CENTROID_HISTOGRAM,4,8128,97.28000313043594,99.05152186751366,104.44799810647964
32768,4,CENTROID_ONLY,0,8128,125.95200538635254,126.01856146007776,126.97599828243256
32768,4,CENTROID_ONLY,1,8128,125.95200538635254,126.14144138991833,126.97599828243256
32768,4,CENTROID_ONLY,2,8128,125.95200538635254,126.02368097752333,126.97599828243256
32768,4,CENTROID_ONLY,3,8128,125.95200538635254,126.01856138557196,126.97599828243256
32768,4,CENTROID_ONLY,4,8128,125.95200538635254,126.03392124176025,126.97599828243256
