max_abs,mean_abs,relative_l2,cosine,nan,inf,passed,tokens,capacity,assignment,mask_density,vq_stride,scale_stride,mask_stride,idx_stride
0.0,0.0,0.0,1.0,0,0,True,127,512,normal,0.5,"(32768, 4096, 8, 1)","(4096, 512, 1, 1)","(4096, 512, 1)","(4096, 512, 1)"
0.0,0.0,0.0,1.0,0,0,True,128,128,normal,0.5,"(8192, 1024, 8, 1)","(1024, 128, 1, 1)","(1024, 128, 1)","(1024, 128, 1)"
0.0,0.0,0.0,0.9999998807907104,0,0,True,129,512,normal,0.5,"(32768, 4096, 8, 1)","(4096, 512, 1, 1)","(4096, 512, 1)","(4096, 512, 1)"
0.0,0.0,0.0,1.0,0,0,True,255,512,normal,0.5,"(32768, 4096, 8, 1)","(4096, 512, 1, 1)","(4096, 512, 1)","(4096, 512, 1)"
0.0,0.0,0.0,1.0,0,0,True,256,512,normal,0.5,"(32768, 4096, 8, 1)","(4096, 512, 1, 1)","(4096, 512, 1)","(4096, 512, 1)"
0.0,0.0,0.0,1.0,0,0,True,257,512,normal,0.5,"(32768, 4096, 8, 1)","(4096, 512, 1, 1)","(4096, 512, 1)","(4096, 512, 1)"
0.0,0.0,0.0,1.0,0,0,True,512,643,uniform,1.0,"(41152, 5144, 8, 1)","(5144, 643, 1, 1)","(5144, 643, 1)","(5144, 643, 1)"
0.0,0.0,0.0,0.9999999403953552,0,0,True,512,643,skewed,1.0,"(41152, 5144, 8, 1)","(5144, 643, 1, 1)","(5144, 643, 1)","(5144, 643, 1)"
0.0,0.0,0.0,0.9999999403953552,0,0,True,512,643,all_same,1.0,"(41152, 5144, 8, 1)","(5144, 643, 1, 1)","(5144, 643, 1)","(5144, 643, 1)"
0.0,0.0,0.0,1.0,0,0,True,512,643,normal,0.0,"(41152, 5144, 8, 1)","(5144, 643, 1, 1)","(5144, 643, 1)","(5144, 643, 1)"
0.0,0.0,0.0,1.0,0,0,True,512,643,uniform,1.0,"(41152, 5144, 8, 1)","(5144, 643, 1, 1)","(5144, 643, 1)","(5144, 643, 1)"
0.0,0.0,0.0,0.9999998807907104,0,0,True,8192,32768,normal,0.5,"(2097152, 262144, 8, 1)","(262144, 32768, 1, 1)","(262144, 32768, 1)","(262144, 32768, 1)"
0.0,0.0,0.0,0.9999998807907104,0,0,True,16384,32768,normal,0.5,"(2097152, 262144, 8, 1)","(262144, 32768, 1, 1)","(262144, 32768, 1)","(262144, 32768, 1)"
0.0,0.0,0.0,1.0,0,0,True,32768,33792,normal,0.5,"(2162688, 270336, 8, 1)","(270336, 33792, 1, 1)","(270336, 33792, 1)","(270336, 33792, 1)"
