task_key,Pattern legacy outcome,Pattern legacy generated_tokens,Pattern legacy stop_reason,Pattern legacy parsed_answer,Pattern rolling R128 outcome,Pattern rolling R128 generated_tokens,Pattern rolling R128 stop_reason,Pattern rolling R128 parsed_answer,Pattern S64/R256 outcome,Pattern S64/R256 generated_tokens,Pattern S64/R256 stop_reason,Pattern S64/R256 parsed_answer,Pattern K4V2 outcome,Pattern K4V2 generated_tokens,Pattern K4V2 stop_reason,Pattern K4V2 parsed_answer,Pattern K2V4 outcome,Pattern K2V4 generated_tokens,Pattern K2V4 stop_reason,Pattern K2V4 parsed_answer,KIVI legacy outcome,KIVI legacy generated_tokens,KIVI legacy stop_reason,KIVI legacy parsed_answer,KIVI rolling R128 outcome,KIVI rolling R128 generated_tokens,KIVI rolling R128 stop_reason,KIVI rolling R128 parsed_answer,KIVI S64/R256 outcome,KIVI S64/R256 generated_tokens,KIVI S64/R256 stop_reason,KIVI S64/R256 parsed_answer
aime24:p12:s0:seed12042,wrong,10991,eos,828,correct,8781,eos,540,correct,8789,eos,540,correct,4030,eos,540,wrong,14680,eos,36,wrong,12103,eos,16,wrong,14719,eos,343,correct,7383,eos,540
aime24:p14:s0:seed14042,wrong,11347,eos,80,wrong,23163,eos,240,correct,9199,eos,480,wrong,10672,eos,600,wrong,18565,eos,44,wrong,19148,eos,80,wrong,13032,eos,80,wrong,5824,eos,80
aime24:p15:s1:seed15043,wrong,8261,eos,234,wrong,10492,eos,0,wrong,20151,eos,234,wrong,5438,eos,229,wrong,13729,eos,234,wrong,21705,eos,26,wrong,32768,length,234,wrong,14128,eos,226
aime24:p16:s0:seed16042,wrong,32768,length,,correct,5574,eos,468,wrong,8875,eos,52,wrong,16298,eos,612,wrong,18499,eos,156,wrong,11963,eos,384,wrong,10397,eos,156,correct,7213,eos,468
aime24:p11:s0:seed11042,correct,6353,eos,294,correct,6059,eos,294,correct,5579,eos,294,correct,6207,eos,294,correct,6586,eos,294,wrong,11825,eos,441,wrong,9903,eos,441,correct,6761,eos,294
aime24:p12:s1:seed12043,correct,5907,eos,540,correct,6798,eos,540,correct,5593,eos,540,correct,4042,eos,540,correct,5078,eos,540,correct,6568,eos,540,wrong,30129,eos,321,correct,20552,eos,540
aime24:p6:s0:seed6042,wrong,5306,eos,565,wrong,15674,eos,281,correct,6262,eos,721,correct,6222,eos,721,wrong,15472,eos,361,wrong,9801,eos,673,wrong,11669,eos,137,correct,11874,eos,721
aime24:p6:s1:seed6043,wrong,10749,eos,81,correct,9772,eos,721,correct,18079,eos,721,correct,13906,eos,721,wrong,12609,eos,723,correct,5343,eos,721,wrong,11818,eos,723,correct,10905,eos,721
aime24:p0:s0:seed42,correct,6878,eos,204,correct,3248,eos,204,correct,3163,eos,204,correct,2704,eos,204,correct,5462,eos,204,wrong,7446,eos,860,correct,4108,eos,204,correct,2669,eos,204
aime24:p11:s1:seed11043,correct,12598,eos,294,wrong,32768,length,,correct,5184,eos,294,correct,4475,eos,294,correct,4978,eos,294,wrong,32768,length,1,correct,6086,eos,294,wrong,5125,eos,147
aime24:p15:s0:seed15042,wrong,13245,eos,125,correct,7401,eos,73,wrong,16142,eos,100,wrong,16103,eos,229,wrong,13791,eos,0,wrong,13147,eos,229,wrong,22999,eos,234,wrong,15684,eos,203
aime24:p17:s0:seed17042,wrong,18616,eos,201,wrong,15262,eos,6,wrong,7924,eos,7,wrong,11770,eos,400,wrong,13050,eos,10,wrong,15997,eos,2,wrong,17189,eos,211,wrong,12059,eos,7
