config,task_key,generated_tokens,initial_k_centroid_mean,final_k_centroid_mean,initial_v_centroid_mean,final_v_centroid_mean,k_centroid_updates_total,v_centroid_updates_total,centroid_updates_per_generated_token,packed_k_tokens_mean,packed_v_tokens_mean,k_assignment_tokens_mean,v_assignment_tokens_mean,v_pattern_selected_total,v_pattern_rejected_total,v_pattern_selected_rate
pattern_legacy_chunked_k2v2_r128,aime24:p0:s0:seed42,6878,32.0,85.0,32.0,85.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,
pattern_legacy_chunked_k2v2_r128,aime24:p6:s0:seed6042,5306,32.0,74.0,32.0,74.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,
pattern_legacy_chunked_k2v2_r128,aime24:p6:s1:seed6043,10749,32.0,116.0,32.0,116.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,
pattern_legacy_chunked_k2v2_r128,aime24:p11:s0:seed11042,6353,32.0,82.0,32.0,82.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,
pattern_legacy_chunked_k2v2_r128,aime24:p11:s1:seed11043,12598,32.0,131.0,32.0,131.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,
pattern_legacy_chunked_k2v2_r128,aime24:p12:s0:seed12042,10991,32.0,118.0,32.0,118.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,
pattern_legacy_chunked_k2v2_r128,aime24:p12:s1:seed12043,5907,32.0,78.0,32.0,78.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,
pattern_legacy_chunked_k2v2_r128,aime24:p14:s0:seed14042,11347,32.0,121.0,32.0,121.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,
pattern_legacy_chunked_k2v2_r128,aime24:p15:s0:seed15042,13245,32.0,136.0,32.0,136.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,
pattern_legacy_chunked_k2v2_r128,aime24:p15:s1:seed15043,8261,32.0,97.0,32.0,97.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,
