batch,tokens,mask_mode,max_abs,relative_l2,cosine,nan,inf,pass
1,512,same,6.103515625e-05,0.0005035279900766909,0.9999999403953552,0,0,True
1,2048,same,3.0517578125e-05,0.00048257200978696346,0.9999998807907104,0,0,True
1,4096,same,3.0517578125e-05,0.0004537496715784073,0.9999998211860657,0,0,True
2,512,different,6.103515625e-05,0.0005222256877459586,1.0,0,0,True
2,2048,different,3.0517578125e-05,0.00048469917965121567,0.9999998807907104,0,0,True
2,4096,different,3.0517578125e-05,0.00045990562648512423,0.9999999403953552,0,0,True
4,512,different,6.103515625e-05,0.0005061719566583633,0.9999999403953552,0,0,True
4,2048,different,3.0517578125e-05,0.0004779947339557111,0.9999998807907104,0,0,True
4,4096,different,3.0517578125e-05,0.00045246619265526533,0.9999999403953552,0,0,True
2,530,partial_last_page,6.103515625e-05,0.0005190553492866457,0.9999999403953552,0,0,True
