backend,chunk_k_tokens_match,chunk_v_tokens_match,decode_position,k_assignment_tokens_match,k_centroid_count_match,k_centroid_max_abs_error,k_centroid_relative_l2,k_centroid_shape_legacy,k_centroid_shape_segmented,k_centroid_update_count_match,layer,legacy_cache_kind,legacy_chunk_k_tokens,legacy_chunk_v_tokens,legacy_k_assignment_tokens,legacy_k_centroid_count,legacy_k_centroid_update_count,legacy_packed_k_tokens,legacy_packed_v_tokens,legacy_pending_k_tokens,legacy_pending_v_tokens,legacy_recent_k_tokens,legacy_recent_v_tokens,legacy_sink_tokens,legacy_total_tokens,legacy_v_assignment_tokens,legacy_v_centroid_count,legacy_v_centroid_update_count,legacy_v_gate_tokens,packed_k_tokens_match,packed_v_tokens_match,pending_k_tokens_match,pending_v_tokens_match,recent_k_tokens_match,recent_v_tokens_match,segmented_cache_kind,segmented_chunk_k_tokens,segmented_chunk_v_tokens,segmented_k_assignment_tokens,segmented_k_centroid_count,segmented_k_centroid_update_count,segmented_packed_k_tokens,segmented_packed_v_tokens,segmented_pending_k_tokens,segmented_pending_v_tokens,segmented_recent_k_tokens,segmented_recent_v_tokens,segmented_sink_tokens,segmented_total_tokens,segmented_v_assignment_tokens,segmented_v_centroid_count,segmented_v_centroid_update_count,segmented_v_gate_tokens,sink_tokens_match,task_key,total_tokens_match,v_assignment_tokens_match,v_centroid_count_match,v_centroid_max_abs_error,v_centroid_relative_l2,v_centroid_shape_legacy,v_centroid_shape_segmented,v_centroid_update_count_match,v_gate_tokens_match
production,True,True,256,True,True,0.0,0.0,"[8, 34, 128]","[8, 34, 128]",True,0,legacy_tuple_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,True,True,True,True,True,segmented_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,aime24:p12:s0:seed12042,True,True,True,0.0,0.0,"[8, 34, 128]","[8, 34, 128]",True,True
production,True,True,256,True,True,0.00390625,3.256203973123206e-09,"[8, 34, 128]","[8, 34, 128]",True,1,legacy_tuple_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,True,True,True,True,True,segmented_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,aime24:p12:s0:seed12042,True,True,True,0.00048828125,1.2049965469884683e-08,"[8, 34, 128]","[8, 34, 128]",True,True
production,True,True,256,True,True,0.0078125,1.1017679213409792e-08,"[8, 34, 128]","[8, 34, 128]",True,2,legacy_tuple_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,True,True,True,True,True,segmented_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,aime24:p12:s0:seed12042,True,True,True,0.000732421875,1.9154621000438965e-08,"[8, 34, 128]","[8, 34, 128]",True,True
production,True,True,256,True,True,0.0078125,8.564626341467374e-09,"[8, 34, 128]","[8, 34, 128]",True,3,legacy_tuple_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,True,True,True,True,True,segmented_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,aime24:p12:s0:seed12042,True,True,True,0.0009765625,3.0758037894429435e-08,"[8, 34, 128]","[8, 34, 128]",True,True
production,True,True,256,True,True,0.00390625,7.1354437913839774e-09,"[8, 34, 128]","[8, 34, 128]",True,4,legacy_tuple_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,True,True,True,True,True,segmented_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,aime24:p12:s0:seed12042,True,True,True,0.0009765625,3.575699381030972e-08,"[8, 34, 128]","[8, 34, 128]",True,True
production,True,True,256,True,True,0.0078125,1.6133869351619978e-08,"[8, 34, 128]","[8, 34, 128]",True,5,legacy_tuple_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,True,True,True,True,True,segmented_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,aime24:p12:s0:seed12042,True,True,True,0.000732421875,3.742504262049806e-08,"[8, 34, 128]","[8, 34, 128]",True,True
production,True,True,256,True,True,0.005859375,1.3325641035066838e-08,"[8, 34, 128]","[8, 34, 128]",True,6,legacy_tuple_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,True,True,True,True,True,segmented_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,aime24:p12:s0:seed12042,True,True,True,0.0010986328125,5.258186419609956e-08,"[8, 34, 128]","[8, 34, 128]",True,True
production,True,True,256,True,True,0.0078125,1.3705127699381592e-08,"[8, 34, 128]","[8, 34, 128]",True,7,legacy_tuple_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,True,True,True,True,True,segmented_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,aime24:p12:s0:seed12042,True,True,True,0.001220703125,4.5351779220936805e-08,"[8, 34, 128]","[8, 34, 128]",True,True
production,True,True,256,True,True,0.0048828125,1.8438825577504758e-08,"[8, 34, 128]","[8, 34, 128]",True,8,legacy_tuple_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,True,True,True,True,True,segmented_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,aime24:p12:s0:seed12042,True,True,True,0.002197265625,6.265859298082432e-08,"[8, 34, 128]","[8, 34, 128]",True,True
production,True,True,256,True,True,0.0078125,2.6908271166803388e-08,"[8, 34, 128]","[8, 34, 128]",True,9,legacy_tuple_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,True,True,True,True,True,segmented_chunked,64,64,256,34,2,256,256,64,64,0,0,0,320,256,34,2,256,True,aime24:p12:s0:seed12042,True,True,True,0.00244140625,9.623933294733433e-08,"[8, 34, 128]","[8, 34, 128]",True,True
