branch	HEAD_SHA	last_commit	merged_into_final	branch_only_commits	recovery_command
exp/aime-pseudodecode-3090-8gpu	f7f6ca9954daa76cb702941f1b018ae294c0e378	audit: isolate canonical VarN semantics	true	0	git branch recovery/exp-aime-pseudodecode-3090-8gpu f7f6ca9954daa76cb702941f1b018ae294c0e378
exp/aime-qk-routing-vdirection-3090	0a644856f2a45569e489b91ae452253560484e23	run: complete routing-value propagation diagnostic	true	0	git branch recovery/exp-aime-qk-routing-vdirection-3090 0a644856f2a45569e489b91ae452253560484e23
exp/aime-selective-value-precision-3090	241b832aee31c0e328d13675efb7819508c29ac9	run: complete selective Value precision screen	true	0	git branch recovery/exp-aime-selective-value-precision-3090 241b832aee31c0e328d13675efb7819508c29ac9
exp/aime-value-capacity-budget-3090	83c46ed1252a32ca42dcb81e172bd3e4c0a060a0	run: complete Value capacity budget study	true	0	git branch recovery/exp-aime-value-capacity-budget-3090 83c46ed1252a32ca42dcb81e172bd3e4c0a060a0
exp/aime-value-direction-screen-3090	47cf601fcfd4b20fa3823fe540b1d48ca9920d7d	run: complete direction-aware Value mechanism screen	true	0	git branch recovery/exp-aime-value-direction-screen-3090 47cf601fcfd4b20fa3823fe540b1d48ca9920d7d
exp/aime-value-objective-screen-3090	fd6748b9f93c8b357c5643e07d8e482438bdcd45	exp: audit mechanism-guided Value objectives	true	0	git branch recovery/exp-aime-value-objective-screen-3090 fd6748b9f93c8b357c5643e07d8e482438bdcd45
exp/patternkv-insight-wave-a-4gpu	ce4ef0749680aebe016aeaa06e6e22ff9d711167	docs: publish completed AIME24 results	true	0	git branch recovery/exp-patternkv-insight-wave-a-4gpu ce4ef0749680aebe016aeaa06e6e22ff9d711167
exp/patternkv-longbench-data-parity-wave-a	0cc1a8dc838ae5c9365fea701cfcd65a9c0c0b63	Restore LongBench parity and Insight Wave A gate	true	0	git branch recovery/exp-patternkv-longbench-data-parity-wave-a 0cc1a8dc838ae5c9365fea701cfcd65a9c0c0b63
exp/patternkv-parity-microsmoke-wave-a	f1e074b8272aa80d062d6cd852ab1fe036ab2afb	exp: audit Insight parity gate execution	true	0	git branch recovery/exp-patternkv-parity-microsmoke-wave-a f1e074b8272aa80d062d6cd852ab1fe036ab2afb
insight/patternkv-diagnostics-v1	9d0afb7ef470253cb16fdb02c34d4685e44c65d2	feat: add PatternKV insight diagnostics and oracle analysis	true	0	git branch recovery/insight-patternkv-diagnostics-v1 9d0afb7ef470253cb16fdb02c34d4685e44c65d2
insight/patternkv-observer-wave-a	4b877cdf471bc749526570f325f1e1fca3666329	feat: connect PatternKV observer and run Wave A diagnostics	true	0	git branch recovery/insight-patternkv-observer-wave-a 4b877cdf471bc749526570f325f1e1fca3666329
insight/patternkv-runner-parity-wave-a	18e2f788ba47225e251a94cb2606d53e2203294a	feat: connect real insight runner and validate Wave A parity	true	0	git branch recovery/insight-patternkv-runner-parity-wave-a 18e2f788ba47225e251a94cb2606d53e2203294a
repro/patternkv-longbench-8k-single4090	2fc966681edca1a932c61ac77d956bbbda998833	Add 4090 LongBench 21x50 8K results	true	0	git branch recovery/repro-patternkv-longbench-8k-single4090 2fc966681edca1a932c61ac77d956bbbda998833
