config,gap_1024,gap_128,gap_2048,gap_4096,gap_512,growth_classification,metric,slope_vs_log2_checkpoint,task_key
kivi_paper_g128,0.5321911696810275,0.3699989141896367,0.5032897552009672,0.45399405574426055,0.27838102995883673,positive_growth,attention_output_relative_L2,0.030437235075451836,aime24:p0:s0:seed42
kivi_paper_g128,0.13740861415863037,0.0701904296875,0.1176113486289978,0.09697967767715454,0.03778564929962158,positive_growth,hidden_cosine_loss,0.010487088480511227,aime24:p0:s0:seed42
kivi_paper_g128,0.5321911696810275,0.3699989141896367,0.5032897552009672,0.45399405574426055,0.27838102995883673,positive_growth,hidden_relative_L2,0.030437235075451836,aime24:p0:s0:seed42
kivi_paper_g128,0.11935557647133521,1.0634407259665295,2.416501638435875e-05,0.001501091641262553,8.974111984727529e-05,negative_growth,next_token_KL,-0.1993583318025307,aime24:p0:s0:seed42
kivi_paper_g128,0.12467295315582305,1.926762342453003,3.4927315937238745e-05,0.0017853007884696126,0.00015410025662276894,negative_growth,target_token_NLL_delta,-0.36257795094113415,aime24:p0:s0:seed42
kivi_paper_g128,0.0,1.0,0.0,0.0,0.0,negative_growth,top1_disagreement,-0.1891891891891892,aime24:p0:s0:seed42
kivi_rolling_k2v2_s0_r128,0.5321911696810275,0.3699989141896367,0.5032897552009672,0.45399405574426055,0.27838102995883673,positive_growth,attention_output_relative_L2,0.030437235075451836,aime24:p0:s0:seed42
kivi_rolling_k2v2_s0_r128,0.13740861415863037,0.0701904296875,0.1176113486289978,0.09697967767715454,0.03778564929962158,positive_growth,hidden_cosine_loss,0.010487088480511227,aime24:p0:s0:seed42
kivi_rolling_k2v2_s0_r128,0.5321911696810275,0.3699989141896367,0.5032897552009672,0.45399405574426055,0.27838102995883673,positive_growth,hidden_relative_L2,0.030437235075451836,aime24:p0:s0:seed42
kivi_rolling_k2v2_s0_r128,0.11935557647133521,1.0634407259665295,2.416501638435875e-05,0.001501091641262553,8.974111984727529e-05,negative_growth,next_token_KL,-0.1993583318025307,aime24:p0:s0:seed42
kivi_rolling_k2v2_s0_r128,0.12467295315582305,1.926762342453003,3.4927315937238745e-05,0.0017853007884696126,0.00015410025662276894,negative_growth,target_token_NLL_delta,-0.36257795094113415,aime24:p0:s0:seed42
kivi_rolling_k2v2_s0_r128,0.0,1.0,0.0,0.0,0.0,negative_growth,top1_disagreement,-0.1891891891891892,aime24:p0:s0:seed42
