checkpoint,max,median,metric_name,n_available,p90,q1,q3
128,0.0027257332112640142,0.0020590152125805616,hidden_relative_L2,12,0.0024941115640103816,0.0017673859256319702,0.002318388840649277
128,0.9999983310699463,0.9999977946281433,hidden_cosine,12,0.9999981462955475,0.9999970495700836,0.9999980926513672
128,0.0027257332112640142,0.0020590152125805616,attention_output_relative_L2,12,0.0024941115640103816,0.0017673859256319702,0.002318388840649277
128,6.346834561554715e-05,9.85565134214994e-06,raw_next_token_KL,12,5.611639753624333e-05,1.6232233956969822e-07,1.9199947018933017e-05
128,6.346834561554715e-05,9.85565134214994e-06,clamped_next_token_KL,12,5.611639753624333e-05,1.6810689373869536e-07,1.9199947018933017e-05
128,6.346834561554715e-05,9.85565134214994e-06,next_token_KL,12,5.611639753624333e-05,1.6232233956969822e-07,1.9199947018933017e-05
128,1.596669972059317e-05,2.4620467229397036e-06,raw_next_token_JS,12,1.4025971449882493e-05,8.934295792073499e-08,4.846677938985522e-06
128,1.596669972059317e-05,2.4620467229397036e-06,clamped_next_token_JS,12,1.4025971449882493e-05,8.934295792073499e-08,4.846677938985522e-06
128,1.596669972059317e-05,2.4620467229397036e-06,next_token_JS,12,1.4025971449882493e-05,8.934295792073499e-08,4.846677938985522e-06
128,0.03125,0.01953125,logit_max_abs_diff,12,0.0275634765625,0.01690673828125,0.0244140625
128,0.0,0.0,top1_disagreement,12,0.0,0.0,0.0
512,0.0027414835058152676,0.0022946062963455915,hidden_relative_L2,12,0.0027034073835238816,0.001952398888533935,0.002525240706745535
512,0.9999982118606567,0.999997079372406,hidden_cosine,12,0.999998015165329,0.999996542930603,0.9999978095293045
512,0.0027414835058152676,0.0022946062963455915,attention_output_relative_L2,12,0.0027034073835238816,0.001952398888533935,0.002525240706745535
512,2.849797238013707e-05,1.6218278204860326e-06,raw_next_token_KL,12,2.1781398027087564e-05,1.6669100998817354e-08,7.43821976811887e-06
512,2.849797238013707e-05,1.6218278204860326e-06,clamped_next_token_KL,12,2.1781398027087564e-05,1.6669100998817354e-08,7.43821976811887e-06
512,2.849797238013707e-05,1.6218278204860326e-06,next_token_KL,12,2.1781398027087564e-05,1.6669100998817354e-08,7.43821976811887e-06
512,7.066770194796845e-06,4.016034047538142e-07,raw_next_token_JS,12,5.413677990873112e-06,1.1905297414571692e-08,1.845300005243189e-06
512,7.066770194796845e-06,4.016034047538142e-07,clamped_next_token_JS,12,5.413677990873112e-06,1.1905297414571692e-08,1.845300005243189e-06
512,7.066770194796845e-06,4.016034047538142e-07,next_token_JS,12,5.413677990873112e-06,1.1905297414571692e-08,1.845300005243189e-06
512,0.0234375,0.0205078125,logit_max_abs_diff,12,0.0234375,0.01953125,0.0234375
512,0.0,0.0,top1_disagreement,12,0.0,0.0,0.0
1024,0.0025944013614207506,0.0018882196745835245,hidden_relative_L2,12,0.0023342803586274387,0.0017955462099052966,0.002084425010252744
1024,0.9999984502792358,0.9999979138374329,hidden_cosine,12,0.9999980866909026,0.9999976456165314,0.9999979883432388
1024,0.0025944013614207506,0.0018882196745835245,attention_output_relative_L2,12,0.0023342803586274387,0.0017955462099052966,0.002084425010252744
1024,1.3939274140284397e-05,1.5269413822238675e-07,raw_next_token_KL,12,1.0806769250848448e-05,-1.6386595858008945e-08,6.758714448551473e-06
1024,1.3939274140284397e-05,1.5269413822238675e-07,clamped_next_token_KL,12,1.0806769250848448e-05,0.0,6.758714448551473e-06
1024,1.3939274140284397e-05,1.5269413822238675e-07,next_token_KL,12,1.0806769250848448e-05,-1.6386595858008945e-08,6.758714448551473e-06
1024,3.5517577998689376e-06,1.6671753533259448e-08,raw_next_token_JS,12,2.6764480935526083e-06,3.210374310141928e-10,1.6265644831037207e-06
1024,3.5517577998689376e-06,1.6671753533259448e-08,clamped_next_token_JS,12,2.6764480935526083e-06,3.210374310141928e-10,1.6265644831037207e-06
1024,3.5517577998689376e-06,1.6671753533259448e-08,next_token_JS,12,2.6764480935526083e-06,3.210374310141928e-10,1.6265644831037207e-06
1024,0.0234375,0.0166015625,logit_max_abs_diff,12,0.0212890625,0.015625,0.01953125
1024,0.0,0.0,top1_disagreement,12,0.0,0.0,0.0
2048,0.004808769561350346,0.0021554502891376615,hidden_relative_L2,12,0.0029548057587817315,0.0018846020684577525,0.0026607969193719327
2048,0.999998927116394,0.9999974071979523,hidden_cosine,12,0.9999986827373505,0.9999962449073792,0.9999977350234985
2048,0.004808769561350346,0.0021554502891376615,attention_output_relative_L2,12,0.0029548057587817315,0.0018846020684577525,0.0026607969193719327
2048,2.4296570700244047e-05,5.00247399060072e-08,raw_next_token_KL,12,1.6375095469811647e-05,-4.872784309384315e-08,7.409124602730799e-07
2048,2.4296570700244047e-05,5.00247399060072e-08,clamped_next_token_KL,12,1.6375095469811647e-05,0.0,7.409124602730799e-07
2048,2.4296570700244047e-05,5.00247399060072e-08,next_token_KL,12,1.6375095469811647e-05,-4.872784309384315e-08,7.409124602730799e-07
2048,6.084607775846962e-06,2.0514599796683797e-08,raw_next_token_JS,12,4.055860495100207e-06,1.1190068871513859e-09,2.0428602187649858e-07
2048,6.084607775846962e-06,2.0514599796683797e-08,clamped_next_token_JS,12,4.055860495100207e-06,1.1190068871513859e-09,2.0428602187649858e-07
2048,6.084607775846962e-06,2.0514599796683797e-08,next_token_JS,12,4.055860495100207e-06,1.1190068871513859e-09,2.0428602187649858e-07
2048,0.078125,0.0234375,logit_max_abs_diff,12,0.03125,0.015625,0.03125
2048,0.0,0.0,top1_disagreement,12,0.0,0.0,0.0
4096,0.003068686928600073,0.0021809630561619997,hidden_relative_L2,12,0.0027897810563445096,0.0020804437226615846,0.002267331234179437
4096,0.9999985694885254,0.9999974370002747,hidden_cosine,12,0.999998128414154,0.9999972581863403,0.9999976456165314
4096,0.003068686928600073,0.0021809630561619997,attention_output_relative_L2,12,0.0027897810563445096,0.0020804437226615846,0.002267331234179437
4096,2.494548971299082e-05,8.903035464413733e-08,raw_next_token_KL,12,1.3842383486917242e-05,4.7551916626531465e-08,4.475772328760286e-06
4096,2.494548971299082e-05,8.903035464413733e-08,clamped_next_token_KL,12,1.3842383486917242e-05,4.7551916626531465e-08,4.475772328760286e-06
4096,2.494548971299082e-05,8.903035464413733e-08,next_token_KL,12,1.3842383486917242e-05,4.7551916626531465e-08,4.475772328760286e-06
4096,6.131962436484173e-06,7.904854992801802e-09,raw_next_token_JS,12,3.4407698194627303e-06,4.249363361186198e-11,1.079847336882267e-06
4096,6.131962436484173e-06,7.904854992801802e-09,clamped_next_token_JS,12,3.4407698194627303e-06,4.249363361186198e-11,1.079847336882267e-06
4096,6.131962436484173e-06,7.904854992801802e-09,next_token_JS,12,3.4407698194627303e-06,4.249363361186198e-11,1.079847336882267e-06
4096,0.03125,0.0234375,logit_max_abs_diff,12,0.03125,0.0189208984375,0.02978515625
4096,0.0,0.0,top1_disagreement,12,0.0,0.0,0.0
