absolute_sequence_position,checkpoint,finite,metric_name,metric_value,prompt_token_count,source_commit,task_key,trajectory_sha256
192,128,true,next_token_KL,-1.4501259215649043e-07,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,128,true,next_token_JS,2.8194691026328655e-10,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,128,true,logit_max_abs_diff,0.01953125,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,128,true,logit_mean_abs_diff,0.0029374174773693085,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,128,true,top1_agreement,True,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,128,true,top1_disagreement,0.0,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,128,true,target_token_NLL_delta,-2.3841676011215895e-07,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,128,true,hidden_relative_L2,0.0020770307164639235,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,128,true,hidden_MAE,0.003241304773837328,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,128,true,hidden_cosine,0.9999977946281433,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,128,true,hidden_cosine_loss,2.205371856689453e-06,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,128,true,attention_output_relative_L2,0.0020770307164639235,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,128,true,attention_output_MAE,0.003241304773837328,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,128,true,post_WO_relative_L2,0.0020770307164639235,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,128,true,raw_next_token_KL,-1.4501259215649043e-07,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,128,true,raw_next_token_JS,2.8194691026328655e-10,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,128,true,clamped_next_token_KL,0.0,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,128,true,clamped_next_token_JS,2.8194691026328655e-10,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,512,true,next_token_KL,2.4548293708903657e-07,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,512,true,next_token_JS,4.233798023278723e-08,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,512,true,logit_max_abs_diff,0.0234375,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,512,true,logit_mean_abs_diff,0.003479019505903125,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,512,true,top1_agreement,True,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,512,true,top1_disagreement,0.0,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,512,true,target_token_NLL_delta,2.095277886837721e-05,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,512,true,hidden_relative_L2,0.0025696412194520235,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,512,true,hidden_MAE,0.0040167635306715965,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
576,512,true,hidden_cosine,0.999996542930603,64,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
