absolute_sequence_position,accumulation_gap,accumulation_metric_schema_version,attention_mask_alignment,checkpoint,config,generated_checkpoint,match_alignment_valid,matched_path_valid,metric,position_id_alignment,prompt_token_count,pseudo_error,pseudo_fp16_source,pseudo_quant_source,pseudo_reference_mode,reference_next_token_id,rope_position_alignment,static_error,static_fp16_source,static_quant_source,static_reference_mode,task_key,trajectory_sha256
248,2.980232238769531e-07,matched_path_accumulation_v1,same causal history,128,pattern_rolling_k2v2_s0_r128,128,true,true,hidden_cosine_loss,true,120,1.9669532775878906e-06,FP16_pseudo,pattern_rolling_k2v2_s0_r128_pseudo,pseudo,578,true,1.6689300537109375e-06,FP16_static,pattern_rolling_k2v2_s0_r128_static,static,aime24:p15:s1:seed15043,b3071fe4e912d14e31a543908143a991dbe648bfe13ea6a3db80285f3da15dab
248,-7.450697012245655e-06,matched_path_accumulation_v1,same causal history,128,pattern_rolling_k2v2_s0_r128,128,true,true,hidden_relative_L2,true,120,0.0017232559621334076,FP16_pseudo,pattern_rolling_k2v2_s0_r128_pseudo,pseudo,578,true,0.0017307066591456532,FP16_static,pattern_rolling_k2v2_s0_r128_static,static,aime24:p15:s1:seed15043,b3071fe4e912d14e31a543908143a991dbe648bfe13ea6a3db80285f3da15dab
248,-7.450697012245655e-06,matched_path_accumulation_v1,same causal history,128,pattern_rolling_k2v2_s0_r128,128,true,true,attention_output_relative_L2,true,120,0.0017232559621334076,FP16_pseudo,pattern_rolling_k2v2_s0_r128_pseudo,pseudo,578,true,0.0017307066591456532,FP16_static,pattern_rolling_k2v2_s0_r128_static,static,aime24:p15:s1:seed15043,b3071fe4e912d14e31a543908143a991dbe648bfe13ea6a3db80285f3da15dab
248,1.6154389754774456e-05,matched_path_accumulation_v1,same causal history,128,pattern_rolling_k2v2_s0_r128,128,true,true,next_token_KL,true,120,1.6758171113906428e-05,FP16_pseudo,pattern_rolling_k2v2_s0_r128_pseudo,pseudo,578,true,6.037813591319718e-07,FP16_static,pattern_rolling_k2v2_s0_r128_static,static,aime24:p15:s1:seed15043,b3071fe4e912d14e31a543908143a991dbe648bfe13ea6a3db80285f3da15dab
248,4.011736436382307e-06,matched_path_accumulation_v1,same causal history,128,pattern_rolling_k2v2_s0_r128,128,true,true,next_token_JS,true,120,4.157417606620584e-06,FP16_pseudo,pattern_rolling_k2v2_s0_r128_pseudo,pseudo,578,true,1.4568117023827654e-07,FP16_static,pattern_rolling_k2v2_s0_r128_static,static,aime24:p15:s1:seed15043,b3071fe4e912d14e31a543908143a991dbe648bfe13ea6a3db80285f3da15dab
248,-0.0024959146976470947,matched_path_accumulation_v1,same causal history,128,pattern_rolling_k2v2_s0_r128,128,true,true,target_token_NLL_delta,true,120,-0.0025550127029418945,FP16_pseudo,pattern_rolling_k2v2_s0_r128_pseudo,pseudo,578,true,-5.9098005294799805e-05,FP16_static,pattern_rolling_k2v2_s0_r128_static,static,aime24:p15:s1:seed15043,b3071fe4e912d14e31a543908143a991dbe648bfe13ea6a3db80285f3da15dab
248,0.0,matched_path_accumulation_v1,same causal history,128,pattern_rolling_k2v2_s0_r128,128,true,true,top1_disagreement,true,120,0.0,FP16_pseudo,pattern_rolling_k2v2_s0_r128_pseudo,pseudo,578,true,0.0,FP16_static,pattern_rolling_k2v2_s0_r128_static,static,aime24:p15:s1:seed15043,b3071fe4e912d14e31a543908143a991dbe648bfe13ea6a3db80285f3da15dab
248,0.0078125,matched_path_accumulation_v1,same causal history,128,pattern_rolling_k2v2_s0_r128,128,true,true,logit_max_abs_diff,true,120,0.0234375,FP16_pseudo,pattern_rolling_k2v2_s0_r128_pseudo,pseudo,578,true,0.015625,FP16_static,pattern_rolling_k2v2_s0_r128_static,static,aime24:p15:s1:seed15043,b3071fe4e912d14e31a543908143a991dbe648bfe13ea6a3db80285f3da15dab
632,0.1335378885269165,matched_path_accumulation_v1,same causal history,512,pattern_rolling_k2v2_s0_r128,512,true,true,hidden_cosine_loss,true,120,0.13354051113128662,FP16_pseudo,pattern_rolling_k2v2_s0_r128_pseudo,pseudo,356,true,2.6226043701171875e-06,FP16_static,pattern_rolling_k2v2_s0_r128_static,static,aime24:p15:s1:seed15043,b3071fe4e912d14e31a543908143a991dbe648bfe13ea6a3db80285f3da15dab
632,0.5613233784679323,matched_path_accumulation_v1,same causal history,512,pattern_rolling_k2v2_s0_r128,512,true,true,hidden_relative_L2,true,120,0.5634257793426514,FP16_pseudo,pattern_rolling_k2v2_s0_r128_pseudo,pseudo,356,true,0.0021024008747190237,FP16_static,pattern_rolling_k2v2_s0_r128_static,static,aime24:p15:s1:seed15043,b3071fe4e912d14e31a543908143a991dbe648bfe13ea6a3db80285f3da15dab
