bootstrap_median_delta_ci_high,bootstrap_median_delta_ci_low,delta_q1,delta_q3,improvement_fraction,median_auc_s0,median_auc_s16,median_delta,method_group,metric,paired_n,tasks_improved,tasks_regressed,ties
-0.8865705008502118,-1.1491396385245025,-1.0969571189489216,-0.8877157523238566,1.0,1.4843093160598073,0.5465083790186327,-0.9615185058210045,pattern,hidden_relative_L2,12,12,0,0
-0.21510258316993713,-0.3088470697402954,-0.28720542788505554,-0.21945083141326904,1.0,0.2781791388988495,0.04160486161708832,-0.23375853896141052,pattern,hidden_cosine_loss,12,12,0,0
-0.8865705008502118,-1.1491396385245025,-1.0969571189489216,-0.8877157523238566,1.0,1.4843093160598073,0.5465083790186327,-0.9615185058210045,pattern,attention_output_relative_L2,12,12,0,0
-0.09265617740857124,-0.4172876954707512,-0.39171175941130976,-0.10478034520110668,1.0,0.23696980700833947,0.0371508434605356,-0.17447546871147068,pattern,next_token_KL,12,12,0,0
-0.03248298058679211,-0.7513457989253425,-0.7495001078491725,-0.05033586352328712,0.75,0.42938198980709785,0.01096892401619698,-0.5772457927396317,pattern,target_token_NLL_delta,12,9,3,0
0.0,-0.75,-0.625,0.0,0.3333333333333333,0.0,0.0,0.0,pattern,top1_disagreement,12,4,0,8
-1.0068713038344868,-1.2658793808659539,-1.2423502813908271,-1.0098113876592834,1.0,1.7127258986001834,0.6169279780006036,-1.0693700152332895,kivi,hidden_relative_L2,12,12,0,0
-0.25680550932884216,-0.37836408615112305,-0.3783450424671173,-0.2633215934038162,1.0,0.3780619949102402,0.052941903471946716,-0.3230201005935669,kivi,hidden_cosine_loss,12,12,0,0
-1.0068713038344868,-1.2658793808659539,-1.2423502813908271,-1.0098113876592834,1.0,1.7127258986001834,0.6169279780006036,-1.0693700152332895,kivi,attention_output_relative_L2,12,12,0,0
-0.08433837907925978,-0.833331207781157,-0.7474352236831692,-0.08652760469464149,1.0,0.41569676094146846,0.05009116526083657,-0.3425638193266636,kivi,next_token_KL,12,12,0,0
0.01057233633036958,-0.6755036987792664,-0.6070810831154176,0.004745797381474404,0.75,0.4274388059711782,0.03858389717106547,-0.07048986811423674,kivi,target_token_NLL_delta,12,9,3,0
0.0,-0.75,-0.625,0.0,0.4166666666666667,0.0,0.0,0.0,kivi,top1_disagreement,12,5,1,6
