abs_diff,checkpoint,comparison_source,exact_equal,execution_mode,layer,left_config,left_value,method_group,metric_name,missing,numerically_equal,relative_diff,right_config,right_value,task_key
0.0,1024,metric,True,pseudo,final,patternkv_paper,0.41504010558128357,pattern,attention_output_relative_L2,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.41504010558128357,aime24:p0:s0:seed42
0.0,1024,metric,True,static,final,patternkv_paper,0.002322959480807185,pattern,attention_output_relative_L2,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.002322959480807185,aime24:p0:s0:seed42
0.0,1024,metric,True,pseudo,final,patternkv_paper,0.08114117383956909,pattern,hidden_cosine_loss,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.08114117383956909,aime24:p0:s0:seed42
0.0,1024,metric,True,static,final,patternkv_paper,2.9206275939941406e-06,pattern,hidden_cosine_loss,False,True,0.0,pattern_rolling_k2v2_s0_r128,2.9206275939941406e-06,aime24:p0:s0:seed42
0.0,1024,metric,True,pseudo,final,patternkv_paper,0.41504010558128357,pattern,hidden_relative_L2,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.41504010558128357,aime24:p0:s0:seed42
0.0,1024,metric,True,static,final,patternkv_paper,0.002322959480807185,pattern,hidden_relative_L2,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.002322959480807185,aime24:p0:s0:seed42
0.0,1024,metric,True,pseudo,final,patternkv_paper,3.84375,pattern,logit_max_abs_diff,False,True,0.0,pattern_rolling_k2v2_s0_r128,3.84375,aime24:p0:s0:seed42
0.0,1024,metric,True,static,final,patternkv_paper,0.01953125,pattern,logit_max_abs_diff,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.01953125,aime24:p0:s0:seed42
0.0,1024,metric,True,pseudo,final,patternkv_paper,0.011115023866295815,pattern,next_token_JS,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.011115023866295815,aime24:p0:s0:seed42
0.0,1024,metric,True,static,final,patternkv_paper,7.21155579697097e-10,pattern,next_token_JS,False,True,0.0,pattern_rolling_k2v2_s0_r128,7.21155579697097e-10,aime24:p0:s0:seed42
0.0,1024,metric,True,pseudo,final,patternkv_paper,0.033396165817976,pattern,next_token_KL,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.033396165817976,aime24:p0:s0:seed42
0.0,1024,metric,True,static,final,patternkv_paper,1.393399173821308e-07,pattern,next_token_KL,False,True,0.0,pattern_rolling_k2v2_s0_r128,1.393399173821308e-07,aime24:p0:s0:seed42
0.0,1024,metric,True,pseudo,final,patternkv_paper,0.03733353689312935,pattern,target_token_NLL_delta,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.03733353689312935,aime24:p0:s0:seed42
0.0,1024,metric,True,static,final,patternkv_paper,-1.6789999790489674e-05,pattern,target_token_NLL_delta,False,True,0.0,pattern_rolling_k2v2_s0_r128,-1.6789999790489674e-05,aime24:p0:s0:seed42
0.0,1024,metric,True,pseudo,final,patternkv_paper,0.0,pattern,top1_disagreement,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.0,aime24:p0:s0:seed42
0.0,1024,metric,True,static,final,patternkv_paper,0.0,pattern,top1_disagreement,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.0,aime24:p0:s0:seed42
0.0,128,metric,True,pseudo,final,patternkv_paper,0.3208223283290863,pattern,attention_output_relative_L2,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.3208223283290863,aime24:p0:s0:seed42
0.0,128,metric,True,static,final,patternkv_paper,0.0022037504240870476,pattern,attention_output_relative_L2,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.0022037504240870476,aime24:p0:s0:seed42
0.0,128,metric,True,pseudo,final,patternkv_paper,0.051254451274871826,pattern,hidden_cosine_loss,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.051254451274871826,aime24:p0:s0:seed42
0.0,128,metric,True,static,final,patternkv_paper,2.8014183044433594e-06,pattern,hidden_cosine_loss,False,True,0.0,pattern_rolling_k2v2_s0_r128,2.8014183044433594e-06,aime24:p0:s0:seed42
0.0,128,metric,True,pseudo,final,patternkv_paper,0.3208223283290863,pattern,hidden_relative_L2,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.3208223283290863,aime24:p0:s0:seed42
0.0,128,metric,True,static,final,patternkv_paper,0.0022037504240870476,pattern,hidden_relative_L2,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.0022037504240870476,aime24:p0:s0:seed42
0.0,128,metric,True,pseudo,final,patternkv_paper,3.9404296875,pattern,logit_max_abs_diff,False,True,0.0,pattern_rolling_k2v2_s0_r128,3.9404296875,aime24:p0:s0:seed42
0.0,128,metric,True,static,final,patternkv_paper,0.0234375,pattern,logit_max_abs_diff,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.0234375,aime24:p0:s0:seed42
0.0,128,metric,True,pseudo,final,patternkv_paper,0.09659600257873535,pattern,next_token_JS,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.09659600257873535,aime24:p0:s0:seed42
0.0,128,metric,True,static,final,patternkv_paper,3.1595328664479894e-07,pattern,next_token_JS,False,True,0.0,pattern_rolling_k2v2_s0_r128,3.1595328664479894e-07,aime24:p0:s0:seed42
0.0,128,metric,True,pseudo,final,patternkv_paper,0.369479238986969,pattern,next_token_KL,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.369479238986969,aime24:p0:s0:seed42
0.0,128,metric,True,static,final,patternkv_paper,1.1466302112239646e-06,pattern,next_token_KL,False,True,0.0,pattern_rolling_k2v2_s0_r128,1.1466302112239646e-06,aime24:p0:s0:seed42
0.0,128,metric,True,pseudo,final,patternkv_paper,0.6551814079284668,pattern,target_token_NLL_delta,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.6551814079284668,aime24:p0:s0:seed42
0.0,128,metric,True,static,final,patternkv_paper,-0.00012373924255371094,pattern,target_token_NLL_delta,False,True,0.0,pattern_rolling_k2v2_s0_r128,-0.00012373924255371094,aime24:p0:s0:seed42
0.0,128,metric,True,pseudo,final,patternkv_paper,1.0,pattern,top1_disagreement,False,True,0.0,pattern_rolling_k2v2_s0_r128,1.0,aime24:p0:s0:seed42
0.0,128,metric,True,static,final,patternkv_paper,0.0,pattern,top1_disagreement,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.0,aime24:p0:s0:seed42
0.0,2048,metric,True,pseudo,final,patternkv_paper,0.38022640347480774,pattern,attention_output_relative_L2,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.38022640347480774,aime24:p0:s0:seed42
0.0,2048,metric,True,static,final,patternkv_paper,0.0030400792602449656,pattern,attention_output_relative_L2,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.0030400792602449656,aime24:p0:s0:seed42
0.0,2048,metric,True,pseudo,final,patternkv_paper,0.07172447443008423,pattern,hidden_cosine_loss,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.07172447443008423,aime24:p0:s0:seed42
0.0,2048,metric,True,static,final,patternkv_paper,4.76837158203125e-06,pattern,hidden_cosine_loss,False,True,0.0,pattern_rolling_k2v2_s0_r128,4.76837158203125e-06,aime24:p0:s0:seed42
0.0,2048,metric,True,pseudo,final,patternkv_paper,0.38022640347480774,pattern,hidden_relative_L2,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.38022640347480774,aime24:p0:s0:seed42
0.0,2048,metric,True,static,final,patternkv_paper,0.0030400792602449656,pattern,hidden_relative_L2,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.0030400792602449656,aime24:p0:s0:seed42
0.0,2048,metric,True,pseudo,final,patternkv_paper,3.2890625,pattern,logit_max_abs_diff,False,True,0.0,pattern_rolling_k2v2_s0_r128,3.2890625,aime24:p0:s0:seed42
0.0,2048,metric,True,static,final,patternkv_paper,0.03125,pattern,logit_max_abs_diff,False,True,0.0,pattern_rolling_k2v2_s0_r128,0.03125,aime24:p0:s0:seed42
