case,batch,row,step,phase,state_ok,hidden_relative_l2,logit_relative_l2,logit_cosine,logit_max_abs,token_match,state_reason
b1_ctx512_d257,1,0,1,decode,True,0.0,0.0,1.0,0.0,True,
b1_ctx512_d257,1,0,2,decode,True,0.0,0.0,1.0,0.0,True,
b1_ctx512_d257,1,0,16,decode,True,0.0,0.0,0.9999999403953552,0.0,True,
b2_ctx512_d257,2,0,1,decode,False,0.032428938895463943,0.011877966113388538,0.9999300241470337,0.28515625,True,"{""component"": ""v_centroid_hash"", ""got"": ""952fcab69dfe274e58f63d980313b15aca51d3b7ed04563b44376654dd2ced41"", ""layer"": 0, ""ref"": ""da66160990fe293fbfa80b30c11fd1960537ff1f2d7430934509587f0a3bbf5b""}"
b2_ctx512_d257,2,1,1,decode,False,0.07259063422679901,0.03176391124725342,0.9994955658912659,0.853515625,True,"{""component"": ""v_centroid_hash"", ""got"": ""d81963d676be4c30e65067ab6b6037a6272dd1286c8109e1324f5fb6d68d562e"", ""layer"": 0, ""ref"": ""bd99db2a79c406ab1998fddac844b96287c0b020f9488ab68d8e1d0ab8995a25""}"
b2_ctx512_d257,2,0,2,decode,False,0.053014133125543594,0.019905580207705498,0.9998027086257935,0.41796875,True,"{""component"": ""v_centroid_hash"", ""got"": ""952fcab69dfe274e58f63d980313b15aca51d3b7ed04563b44376654dd2ced41"", ""layer"": 0, ""ref"": ""da66160990fe293fbfa80b30c11fd1960537ff1f2d7430934509587f0a3bbf5b""}"
b2_ctx512_d257,2,1,2,decode,False,0.032085828483104706,0.013093779794871807,0.9999145865440369,0.2685546875,True,"{""component"": ""v_centroid_hash"", ""got"": ""d81963d676be4c30e65067ab6b6037a6272dd1286c8109e1324f5fb6d68d562e"", ""layer"": 0, ""ref"": ""bd99db2a79c406ab1998fddac844b96287c0b020f9488ab68d8e1d0ab8995a25""}"
b2_ctx512_d257,2,0,16,decode,False,0.045271921902894974,0.016527874395251274,0.9998658895492554,0.3465576171875,True,"{""component"": ""v_centroid_hash"", ""got"": ""47422e094425bb0fd3830f73ae241c14528391eca8de911ff23ffa1fa4244771"", ""layer"": 0, ""ref"": ""2c66dd10cce8cc8e7d42421dd06cd81fcf92784e08eaace68d4b37c74e4e90bf""}"
b2_ctx512_d257,2,1,16,decode,False,0.08425138145685196,0.037021998316049576,0.9993339776992798,0.814453125,True,"{""component"": ""v_centroid_hash"", ""got"": ""6917e5c3f0add8704a522af53da0e7d3fa272970727f8cb72e0ffd0cec82caa5"", ""layer"": 0, ""ref"": ""874b2c5d19a90d5340476244c5ad2ed33fbcdafb0d9ca231e05a181f6332f129""}"
b4_ctx512_d257,4,0,1,decode,False,0.02802976779639721,0.011110604740679264,0.9999420642852783,0.255859375,True,"{""component"": ""v_centroid_hash"", ""got"": ""07a5e4402436797bece55eb0caad867bfd4da995d61eb407c81debd09de46caf"", ""layer"": 0, ""ref"": ""da66160990fe293fbfa80b30c11fd1960537ff1f2d7430934509587f0a3bbf5b""}"
b4_ctx512_d257,4,1,1,decode,False,0.07924359291791916,0.03496512025594711,0.9993937015533447,0.96630859375,True,"{""component"": ""v_centroid_hash"", ""got"": ""188bc14d6bd0a5c60b22b4da5fd94001c15d3547ce3632e3d899a2855482259a"", ""layer"": 0, ""ref"": ""bd99db2a79c406ab1998fddac844b96287c0b020f9488ab68d8e1d0ab8995a25""}"
b4_ctx512_d257,4,2,1,decode,False,0.07492972165346146,0.03791220858693123,0.9995057582855225,0.6796875,True,"{""component"": ""v_centroid_hash"", ""got"": ""aace96cf5f1d5046327a34a3fcf9fa74758ba5a0fd00327b3e3b68b474c16e96"", ""layer"": 0, ""ref"": ""9af21def51e26ef6e26a40c15345bb74b47ada998b94baeb1e65589b8c42ba23""}"
b4_ctx512_d257,4,3,1,decode,False,0.05485932156443596,0.028912123292684555,0.9996964335441589,0.517578125,True,"{""component"": ""v_centroid_hash"", ""got"": ""477b339462ac5f1b55437b398030e0b31dca74263f922cbdc1326b55af1fab66"", ""layer"": 0, ""ref"": ""d4686d114621139d8cc5a5e443dc1da9ca1226ef1b1ee333e367c54eadb0d261""}"
b4_ctx512_d257,4,0,2,decode,False,0.049267519265413284,0.02276310883462429,0.9998297095298767,0.4775390625,True,"{""component"": ""v_centroid_hash"", ""got"": ""07a5e4402436797bece55eb0caad867bfd4da995d61eb407c81debd09de46caf"", ""layer"": 0, ""ref"": ""da66160990fe293fbfa80b30c11fd1960537ff1f2d7430934509587f0a3bbf5b""}"
