kv_type,metric,layer,kv_head,count,contrib,weighted_mean
k,range_contraction,0,0,3241,1882.4764618175252,0.5808319845163608
k,range_contraction,0,1,3241,2600.619679082781,0.8024127365266218
k,range_contraction,0,2,3241,2453.5960279463843,0.7570490675551942
k,range_contraction,0,3,3241,2507.2494634488016,0.7736036604285103
k,range_contraction,0,4,3241,2532.2210573740986,0.7813085644474231
k,range_contraction,0,5,3241,2314.690629701665,0.7141902590872153
k,range_contraction,0,6,3241,2491.3091521158753,0.7686853292551297
k,range_contraction,0,7,3241,2779.052629442157,0.8574676425307488
k,range_contraction,1,0,3241,2505.52312075336,0.7730710030093676
k,range_contraction,1,1,3241,2225.742028208867,0.6867454576392678
k,range_contraction,1,2,3241,1778.8780700450577,0.548867037965152
k,range_contraction,1,3,3241,2384.294275808766,0.7356662375219889
k,range_contraction,1,4,3241,2336.642767799885,0.7209635198395202
k,range_contraction,1,5,3241,2467.655805038466,0.7613871660100173
k,range_contraction,1,6,3241,2282.5685645932767,0.7042791004607457
k,range_contraction,1,7,3241,2616.1764285833183,0.8072127209451769
k,range_contraction,2,0,3241,1829.5275713838334,0.5644947767305873
k,range_contraction,2,1,3241,1420.862904067933,0.4384026239024785
k,range_contraction,2,2,3241,2095.419169688466,0.6465347638656174
k,range_contraction,2,3,3241,1749.878599704263,0.5399193457896523
k,range_contraction,2,4,3241,2019.8511102725088,0.6232184851195646
k,range_contraction,2,5,3241,2671.7807992144108,0.8243692685018238
k,range_contraction,2,6,3241,1758.2721848765682,0.5425091591720359
k,range_contraction,2,7,3241,1582.4476391888525,0.48825906793855367
k,range_contraction,3,0,3241,1758.7349519467077,0.5426519444451428
k,range_contraction,3,1,3241,2439.796789209621,0.7527913573618084
k,range_contraction,3,2,3241,1741.7275546680196,0.5374043673767416
k,range_contraction,3,3,3241,1748.4272577399413,0.5394715389509229
k,range_contraction,3,4,3241,1288.1706901322125,0.3974608732280816
k,range_contraction,3,5,3241,1632.948517261137,0.5038409494789069
k,range_contraction,3,6,3241,2101.0413902784953,0.6482694817273975
k,range_contraction,3,7,3241,1454.2921155616007,0.4487170982911449
k,range_contraction,4,0,3241,2317.531780464611,0.7150668869066988
k,range_contraction,4,1,3241,2010.2440331266832,0.6202542527388717
k,range_contraction,4,2,3241,1955.847906845741,0.6034705050434251
k,range_contraction,4,3,3241,1684.8194429146304,0.5198455547407067
k,range_contraction,4,4,3241,1802.0932020290902,0.5560299913696668
k,range_contraction,4,5,3241,1783.5918508764255,0.5503214596965212
k,range_contraction,4,6,3241,1809.3506826757778,0.5582692633988824
k,range_contraction,4,7,3241,2106.478620714116,0.6499471214792089
k,range_contraction,5,0,3241,1663.7055568928276,0.513330933937929
k,range_contraction,5,1,3241,1801.0315683324234,0.5557024277483565
k,range_contraction,5,2,3241,2656.018296660559,0.8195057996484292
k,range_contraction,5,3,3241,1848.6580826534848,0.5703974337098071
k,range_contraction,5,4,3241,2088.9953855457775,0.6445527261788885
k,range_contraction,5,5,3241,1879.4437465886936,0.5798962501045027
k,range_contraction,5,6,3241,1492.1901625756568,0.46041041733281607
k,range_contraction,5,7,3241,1956.2651253463732,0.6035992364536789
k,range_contraction,6,0,3241,1940.2581341929279,0.5986603314387312
k,range_contraction,6,1,3241,1814.9408783614144,0.5599941000806585
k,range_contraction,6,2,3241,2102.0489663939366,0.6485803660579872
k,range_contraction,6,3,3241,2202.04188867641,0.6794328567344677
k,range_contraction,6,4,3241,1865.183649082897,0.5754963434381046
k,range_contraction,6,5,3241,1903.210271768447,0.5872293340846797
k,range_contraction,6,6,3241,1846.6476050241424,0.5697771073817163
k,range_contraction,6,7,3241,2128.0209410107836,0.6565939342828706
k,range_contraction,7,0,3241,1695.2563893261424,0.5230658405819631
k,range_contraction,7,1,3241,1601.6914483797675,0.4941966826225756
k,range_contraction,7,2,3241,1682.3016920648608,0.5190687109117127
k,range_contraction,7,3,3241,1746.850345944488,0.538984987949549
k,range_contraction,7,4,3241,1562.5882756009773,0.4821315259490828
k,range_contraction,7,5,3241,1757.4867614154996,0.5422668193198086
k,range_contraction,7,6,3241,1948.068039537065,0.6010700523101096
k,range_contraction,7,7,3241,1580.327236213164,0.4876048245026733
k,range_contraction,8,0,3241,2124.1391321967,0.6553962148092255
k,range_contraction,8,1,3241,2114.4971992503206,0.6524212277847333
k,range_contraction,8,2,3241,1951.4427399795609,0.6021113051464242
k,range_contraction,8,3,3241,1662.538543300869,0.5129708556929555
k,range_contraction,8,4,3241,1578.0506226196592,0.48690238278915743
k,range_contraction,8,5,3241,1861.1703400001538,0.5742580499846202
k,range_contraction,8,6,3241,2073.305781159115,0.6397117498176844
k,range_contraction,8,7,3241,2473.1753168897285,0.7630901934247851
k,range_contraction,9,0,3241,2000.662644649442,0.6172979465132497
k,range_contraction,9,1,3241,1639.241566016311,0.5057826491873838
