base_auc_median,comparison_type,error_type,hadamard_auc_median,median_delta,metric_name,mode,object_type,paired_n,region,statistic,tasks_improved,tasks_regressed,ties
0.5908144535496831,accumulation_auc,,0.5958866598084569,0.005072206258773804,attention_output_relative_L2,,,6,,,3,3,0
0.05328147113323212,accumulation_auc,,0.05165918171405792,-0.0024597495794296265,hidden_cosine_loss,,,6,,,4,2,0
0.5908144535496831,accumulation_auc,,0.5958866598084569,0.005072206258773804,hidden_relative_L2,,,6,,,3,3,0
0.024303330793353783,accumulation_auc,,0.01751583765533654,-0.00750564081907612,next_token_KL,,,6,,,5,1,0
0.003775035579565156,accumulation_auc,,0.0027239980299782474,-0.0010510375495869084,target_token_NLL_delta,,,6,,,4,2,0
0.6018020649207756,degradation_auc,,0.6068742711795494,0.005072206258773804,attention_output_relative_L2,pseudo,,6,,,3,3,0
0.05329589545726776,degradation_auc,,0.05167300999164581,-0.0024597495794296265,hidden_cosine_loss,pseudo,,6,,,4,2,0
0.6018020649207756,degradation_auc,,0.6068742711795494,0.005072206258773804,hidden_relative_L2,pseudo,,6,,,3,3,0
0.024368258834599033,degradation_auc,,0.01755389122621409,-0.00750564081907612,next_token_KL,pseudo,,6,,,5,1,0
0.007135927908166195,degradation_auc,,0.006084890358579287,-0.0010510375495869084,target_token_NLL_delta,pseudo,,6,,,4,2,0
0.01121939078439027,degradation_auc,,0.01121939078439027,0.0,attention_output_relative_L2,static,,6,,,0,0,6
1.4260411262512207e-05,degradation_auc,,1.4260411262512207e-05,0.0,hidden_cosine_loss,static,,6,,,0,0,6
0.01121939078439027,degradation_auc,,0.01121939078439027,0.0,hidden_relative_L2,static,,6,,,0,0,6
3.791229754615544e-05,degradation_auc,,3.791229754615544e-05,0.0,next_token_KL,static,,6,,,0,0,6
0.002999586861278658,degradation_auc,,0.002999586861278658,0.0,target_token_NLL_delta,static,,6,,,0,0,6
0.33065988642920274,norm_accumulation_auc,source_state_norm_drift,0.25735398272809107,-0.015096350573003292,abs_log_norm_ratio,,hidden,6,all_tokens,max,4,2,0
0.0129924203989663,norm_accumulation_auc,source_state_norm_drift,0.013173704925925477,0.00018128452695917625,abs_log_norm_ratio,,hidden,6,all_tokens,mean,3,3,0
0.006781253177905455,norm_accumulation_auc,source_state_norm_drift,0.006865353534522001,-6.767089507775381e-05,abs_log_norm_ratio,,hidden,6,all_tokens,p50,4,2,0
0.032369427836965774,norm_accumulation_auc,source_state_norm_drift,0.03325993862235919,0.0007364257238805291,abs_log_norm_ratio,,hidden,6,all_tokens,p90,2,4,0
0.04531958685547577,norm_accumulation_auc,source_state_norm_drift,0.04581468518590553,0.0004686599480919415,abs_log_norm_ratio,,hidden,6,all_tokens,p95,2,4,0
