context_tokens,packed_tokens,component,calls,total_us,mean_us_per_call,tokens,us_per_packed_token
8192,7936,mixed_v_fused_attention,100,106841.08746051788,1068.4108746051788,0,106841.08746051788
8192,7936,mixed_v_mapping_prepare,100,11827.48806476593,118.2748806476593,793600,0.014903588791287715
8192,7936,mixed_v_layout_prepare_v2,100,21127.583920955658,211.27583920955658,595200,0.03549661277042281
8192,7936,mixed_v_layout_prepare_v4,100,22240.255892276764,222.40255892276764,198400,0.11209806397316917
8192,7936,mixed_v_v2_compute,100,19141.632080078125,191.41632080078125,595200,0.03216000013453986
8192,7936,mixed_v_v4_compute,100,12680.19188940525,126.8019188940525,198400,0.06391225750708292
8192,7936,mixed_v_output_reduce,100,3083.2640435546637,30.832640435546637,0,3083.2640435546637
8192,7936,mixed_v_kernel_launches,200,0.0,0.0,0,0.0
8192,7936,mixed_v_wrapper_cpu_wall,100,110578.81568558514,1105.7881568558514,793600,0.13933822541026353
8192,7936,mixed_v_host_or_dispatch_estimate,100,3737.728225067258,37.37728225067258,793600,0.004709838993280315
16384,16128,mixed_v_fused_attention,100,116102.14471817017,1161.0214471817017,0,116102.14471817017
16384,16128,mixed_v_mapping_prepare,100,11824.415996670723,118.24415996670723,1612800,0.007331607140792859
16384,16128,mixed_v_layout_prepare_v2,100,20873.31199645996,208.7331199645996,1209600,0.017256375658449043
16384,16128,mixed_v_layout_prepare_v4,100,19155.96805512905,191.5596805512905,403200,0.047509841406570066
16384,16128,mixed_v_v2_compute,100,32200.70368051529,322.0070368051529,1209600,0.026620952116828116
16384,16128,mixed_v_v4_compute,100,16070.655912160873,160.70655912160873,403200,0.0398577775599228
16384,16128,mixed_v_output_reduce,100,495.6159978173673,4.956159978173673,0,495.6159978173673
16384,16128,mixed_v_kernel_launches,200,0.0,0.0,0,0.0
16384,16128,mixed_v_wrapper_cpu_wall,100,119788.73144835234,1197.8873144835234,1612800,0.07427376701906767
16384,16128,mixed_v_host_or_dispatch_estimate,100,3686.586730182171,36.86586730182171,1612800,0.0022858300658371595
32768,32512,mixed_v_fused_attention,100,149389.3119096756,1493.893119096756,0,149389.3119096756
32768,32512,mixed_v_mapping_prepare,100,12769.215986132622,127.69215986132622,3251200,0.00392753936581343
32768,32512,mixed_v_layout_prepare_v2,100,21032.48004615307,210.32480046153069,2438400,0.008625524953310806
32768,32512,mixed_v_layout_prepare_v4,100,19300.352051854134,193.00352051854134,812800,0.02374551187482054
32768,32512,mixed_v_v2_compute,100,55944.192945957184,559.4419294595718,2438400,0.02294299251392601
32768,32512,mixed_v_v4_compute,100,24897.535920143127,248.97535920143127,812800,0.030631810925372944
32768,32512,mixed_v_output_reduce,100,485.37599574774504,4.85375995747745,0,485.37599574774504
32768,32512,mixed_v_kernel_launches,200,0.0,0.0,0,0.0
32768,32512,mixed_v_wrapper_cpu_wall,100,152352.09674574435,1523.5209674574435,3251200,0.046860265977406605
32768,32512,mixed_v_host_or_dispatch_estimate,100,2962.7848360687494,29.627848360687494,3251200,0.0009112896272357128
