problem_id,method,value_precision_selector,is_correct,parsed_answer,reference_answer,generated_tokens,input_tokens,tokens_per_second,wall_time_seconds,stop_reason,physical_gpu_id,config_hash
12,importance_only_v4_25,importance_only_v4,False,12,13,690,108,9.3525,73.777,eos,1,f6547824af38e5e3
13,importance_only_v4_25,importance_only_v4,False,15,18,458,100,9.9631,45.9697,eos,1,f6547824af38e5e3
65,importance_only_v4_25,importance_only_v4,False,4,36,209,89,12.9837,16.0971,eos,1,f6547824af38e5e3
100,importance_only_v4_25,importance_only_v4,True,175,175,269,134,10.4822,25.6625,eos,1,f6547824af38e5e3
111,importance_only_v4_25,importance_only_v4,False,64,16,2048,111,8.8204,232.1882,length,1,f6547824af38e5e3
136,importance_only_v4_25,importance_only_v4,True,6,6,130,85,14.432,9.0078,eos,1,f6547824af38e5e3
140,importance_only_v4_25,importance_only_v4,True,20,20,176,79,14.3009,12.3069,eos,1,f6547824af38e5e3
162,importance_only_v4_25,importance_only_v4,False,538.66,92,1300,81,9.0155,144.1963,eos,1,f6547824af38e5e3
186,importance_only_v4_25,importance_only_v4,False,110,5,2048,154,8.7264,234.6895,length,1,f6547824af38e5e3
330,importance_only_v4_25,importance_only_v4,True,31,31,225,117,11.6036,19.3905,eos,1,f6547824af38e5e3
359,importance_only_v4_25,importance_only_v4,False,2,4,2048,106,8.8754,230.75,length,1,f6547824af38e5e3
371,importance_only_v4_25,importance_only_v4,True,50,50,220,126,11.3998,19.2987,eos,1,f6547824af38e5e3
412,importance_only_v4_25,importance_only_v4,False,30,5,190,111,12.5311,15.1623,eos,1,f6547824af38e5e3
427,importance_only_v4_25,importance_only_v4,False,51,150,683,112,9.3453,73.085,eos,1,f6547824af38e5e3
481,importance_only_v4_25,importance_only_v4,True,84,84,251,103,11.6089,21.6213,eos,1,f6547824af38e5e3
525,importance_only_v4_25,importance_only_v4,False,6.75,12,2048,129,8.7147,235.0064,length,1,f6547824af38e5e3
543,importance_only_v4_25,importance_only_v4,True,6,6,167,84,14.3283,11.6553,eos,1,f6547824af38e5e3
560,importance_only_v4_25,importance_only_v4,True,45,45,194,85,11.8837,16.3249,eos,1,f6547824af38e5e3
566,importance_only_v4_25,importance_only_v4,True,10,10,318,77,11.1481,28.525,eos,1,f6547824af38e5e3
607,importance_only_v4_25,importance_only_v4,False,20,10,491,96,9.9068,49.562,eos,1,f6547824af38e5e3
637,importance_only_v4_25,importance_only_v4,True,17,17,143,84,14.3642,9.9553,eos,1,f6547824af38e5e3
660,importance_only_v4_25,importance_only_v4,True,15,15,504,86,9.9872,50.4647,eos,1,f6547824af38e5e3
672,importance_only_v4_25,importance_only_v4,True,2,2,315,122,8.7417,36.0342,eos,1,f6547824af38e5e3
692,importance_only_v4_25,importance_only_v4,True,32,32,209,134,11.3059,18.4859,eos,1,f6547824af38e5e3
714,importance_only_v4_25,importance_only_v4,True,10,10,212,98,12.4684,17.003,eos,1,f6547824af38e5e3
731,importance_only_v4_25,importance_only_v4,False,2,1,513,104,8.3522,61.421,eos,1,f6547824af38e5e3
740,importance_only_v4_25,importance_only_v4,True,25,25,356,102,10.5704,33.6789,eos,1,f6547824af38e5e3
