batch,context,hidden_cosine,hidden_exact,hidden_max_abs,hidden_mean_abs,hidden_relative_l2,logit_argmax_same,logit_cosine,logit_exact,logit_got_top1,logit_max_abs,logit_mean_abs,logit_ref_top1,logit_relative_l2,logit_top1_margin,logit_top5_overlap,request,row,variant
B2,512,0.999997079372406,False,0.03125,0.003415808081626892,0.0024280948015894654,True,0.9999997019767761,False,374,0.01953125,0.002937671961262822,374,0.0009481772159638072,10.8828125,5,A,0,p1
B2,512,0.9999969005584717,False,0.03125,0.0036097788251936436,0.0025122686498464343,True,0.9999996423721313,False,426,0.021484375,0.0037389309145510197,426,0.0011080175855351054,11.0234375,5,B,1,p1
B2,512,0.9999978542327881,False,0.03125,0.003416492370888591,0.002077417680923952,True,0.999998152256012,False,13,0.021484375,0.003208921989426017,13,0.002040720200232855,0.46875,5,C,0,p1
B2,512,0.999996542930603,False,0.03125,0.003788518253713846,0.002638877091225789,True,0.999999463558197,False,423,0.01953125,0.0034311278723180294,423,0.0010535991044613668,10.3359375,5,D,1,p1
B4,512,0.9999978542327881,False,0.03125,0.0029504862613976,0.0021013634101632174,True,0.9999997615814209,False,374,0.016357421875,0.0025700461119413376,374,0.0008383333403758885,10.875,5,A,0,p1
B4,512,0.9999967217445374,False,0.03125,0.003706681542098522,0.00257708229625865,True,0.9999995827674866,False,426,0.02734375,0.00457724928855896,426,0.0013187270014064052,11.015625,5,B,1,p1
B4,512,0.9999982118606567,False,0.03125,0.00307443761266768,0.0018622574636555482,True,0.9999985694885254,False,13,0.0185546875,0.002675124444067478,13,0.0017149894095911328,0.46875,5,C,2,p1
B4,512,0.9999959468841553,False,0.03125,0.004069186747074127,0.002820685236057226,True,0.999999463558197,False,423,0.0234375,0.0036300865467637777,423,0.0011065679421921406,10.3359375,5,D,3,p1
B2,512,0.9999972581863403,False,0.03125,0.003316753078252077,0.0023564755763723186,True,0.9999996423721313,False,374,0.0234375,0.0029566737357527018,374,0.0009561654898489962,10.8828125,5,A,0,p2
B2,512,0.9999966025352478,False,0.02734375,0.0037238234654068947,0.0025919929375672873,True,0.9999996423721313,False,426,0.0205078125,0.0031432758551090956,426,0.0009577496945452828,11.0234375,5,B,1,p2
B2,512,0.9999983906745911,False,0.0234375,0.0029147996101528406,0.001783093107151508,True,0.9999986886978149,False,13,0.015625,0.002561595058068633,13,0.0016506726150258375,0.46875,5,C,0,p2
B2,512,0.9999962449073792,False,0.03125,0.003993963822722435,0.0027364031017284604,True,0.9999995827674866,False,423,0.03515625,0.0034439093433320522,423,0.0010582402000029036,10.3359375,5,D,1,p2
B4,512,0.9999977946281433,False,0.02734375,0.0030122841708362103,0.0021489335118114253,True,0.9999997615814209,False,374,0.01953125,0.003051684470847249,374,0.0009683158708274723,10.875,5,A,0,p2
B4,512,0.9999971389770508,False,0.03125,0.0034507750533521175,0.0023905759454887223,True,0.9999996423721313,False,426,0.01953125,0.002976304618641734,426,0.0009115206511287557,11.015625,5,B,1,p2
B4,512,0.9999983310699463,False,0.015625,0.0029719730373471975,0.0017962050705133733,True,0.9999988079071045,False,13,0.015625,0.0025502387434244156,13,0.0016378114697624122,0.46875,5,C,2,p2
B4,512,0.9999967813491821,False,0.03125,0.003684169612824917,0.002529089103166023,True,0.9999997615814209,False,423,0.02734375,0.00327363726682961,423,0.0010076031972084377,10.34375,5,D,3,p2
