acc_auc,config,metric_name,mode,n_available,task_key
0.6224790374399163,pattern_rolling_k2v2_s16_r128,attention_output_relative_L2,gap,5,aime24:p0:s0:seed42
0.0528046190738678,pattern_rolling_k2v2_s16_r128,hidden_cosine_loss,gap,5,aime24:p0:s0:seed42
0.6224790374399163,pattern_rolling_k2v2_s16_r128,hidden_relative_L2,gap,5,aime24:p0:s0:seed42
0.03793209435789524,pattern_rolling_k2v2_s16_r128,next_token_KL,gap,5,aime24:p0:s0:seed42
0.22098115588778455,pattern_rolling_k2v2_s16_r128,target_token_NLL_delta,gap,5,aime24:p0:s0:seed42
0.5582302967668511,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,attention_output_relative_L2,gap,5,aime24:p0:s0:seed42
0.04026287794113159,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,hidden_cosine_loss,gap,5,aime24:p0:s0:seed42
0.5582302967668511,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,hidden_relative_L2,gap,5,aime24:p0:s0:seed42
0.00993631490929292,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,next_token_KL,gap,5,aime24:p0:s0:seed42
-0.1123196943435687,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,target_token_NLL_delta,gap,5,aime24:p0:s0:seed42
0.5875786610413343,pattern_rolling_k2v2_s16_r128,attention_output_relative_L2,gap,5,aime24:p11:s1:seed11043
0.0554332435131073,pattern_rolling_k2v2_s16_r128,hidden_cosine_loss,gap,5,aime24:p11:s1:seed11043
0.5875786610413343,pattern_rolling_k2v2_s16_r128,hidden_relative_L2,gap,5,aime24:p11:s1:seed11043
0.09721517152761389,pattern_rolling_k2v2_s16_r128,next_token_KL,gap,5,aime24:p11:s1:seed11043
0.1475047990679741,pattern_rolling_k2v2_s16_r128,target_token_NLL_delta,gap,5,aime24:p11:s1:seed11043
0.5824630700517446,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,attention_output_relative_L2,gap,5,aime24:p11:s1:seed11043
0.06286004185676575,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,hidden_cosine_loss,gap,5,aime24:p11:s1:seed11043
0.5824630700517446,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,hidden_relative_L2,gap,5,aime24:p11:s1:seed11043
0.04157320440071838,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,next_token_KL,gap,5,aime24:p11:s1:seed11043
0.1834199801087344,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,target_token_NLL_delta,gap,5,aime24:p11:s1:seed11043
0.7405673852190375,pattern_rolling_k2v2_s16_r128,attention_output_relative_L2,gap,5,aime24:p15:s1:seed15043
0.07624834775924683,pattern_rolling_k2v2_s16_r128,hidden_cosine_loss,gap,5,aime24:p15:s1:seed15043
0.7405673852190375,pattern_rolling_k2v2_s16_r128,hidden_relative_L2,gap,5,aime24:p15:s1:seed15043
0.0004463293750429642,pattern_rolling_k2v2_s16_r128,next_token_KL,gap,5,aime24:p15:s1:seed15043
0.0010367742779635591,pattern_rolling_k2v2_s16_r128,target_token_NLL_delta,gap,5,aime24:p15:s1:seed15043
0.7525908527895808,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,attention_output_relative_L2,gap,5,aime24:p15:s1:seed15043
0.07522940635681152,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,hidden_cosine_loss,gap,5,aime24:p15:s1:seed15043
0.7525908527895808,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,hidden_relative_L2,gap,5,aime24:p15:s1:seed15043
0.0002256219283278682,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,next_token_KL,gap,5,aime24:p15:s1:seed15043
7.3687131589395e-05,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,target_token_NLL_delta,gap,5,aime24:p15:s1:seed15043
0.4938569418154657,pattern_rolling_k2v2_s16_r128,attention_output_relative_L2,gap,5,aime24:p17:s0:seed17042
0.03311985731124878,pattern_rolling_k2v2_s16_r128,hidden_cosine_loss,gap,5,aime24:p17:s0:seed17042
0.4938569418154657,pattern_rolling_k2v2_s16_r128,hidden_relative_L2,gap,5,aime24:p17:s0:seed17042
0.01223706902353161,pattern_rolling_k2v2_s16_r128,next_token_KL,gap,5,aime24:p17:s0:seed17042
-0.047398407750051774,pattern_rolling_k2v2_s16_r128,target_token_NLL_delta,gap,5,aime24:p17:s0:seed17042
0.4965123883448541,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,attention_output_relative_L2,gap,5,aime24:p17:s0:seed17042
0.03475382924079895,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,hidden_cosine_loss,gap,5,aime24:p17:s0:seed17042
0.4965123883448541,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,hidden_relative_L2,gap,5,aime24:p17:s0:seed17042
9.438727478716658e-06,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,next_token_KL,gap,5,aime24:p17:s0:seed17042
-0.00356682877941239,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,target_token_NLL_delta,gap,5,aime24:p17:s0:seed17042
0.5940502460580319,pattern_rolling_k2v2_s16_r128,attention_output_relative_L2,gap,5,aime24:p6:s0:seed6042
0.053758323192596436,pattern_rolling_k2v2_s16_r128,hidden_cosine_loss,gap,5,aime24:p6:s0:seed6042
0.5940502460580319,pattern_rolling_k2v2_s16_r128,hidden_relative_L2,gap,5,aime24:p6:s0:seed6042
0.001849232310756399,pattern_rolling_k2v2_s16_r128,next_token_KL,gap,5,aime24:p6:s0:seed6042
0.006513296881166752,pattern_rolling_k2v2_s16_r128,target_token_NLL_delta,gap,5,aime24:p6:s0:seed6042
0.6465719628613442,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,attention_output_relative_L2,gap,5,aime24:p6:s0:seed6042
0.06809744238853455,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,hidden_cosine_loss,gap,5,aime24:p6:s0:seed6042
0.6465719628613442,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,hidden_relative_L2,gap,5,aime24:p6:s0:seed6042
0.0007578963143073381,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,next_token_KL,gap,5,aime24:p6:s0:seed6042
0.0013519121930585243,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,target_token_NLL_delta,gap,5,aime24:p6:s0:seed6042
0.40470453834859654,pattern_rolling_k2v2_s16_r128,attention_output_relative_L2,gap,5,aime24:p6:s1:seed6043
0.026136130094528198,pattern_rolling_k2v2_s16_r128,hidden_cosine_loss,gap,5,aime24:p6:s1:seed6043
0.40470453834859654,pattern_rolling_k2v2_s16_r128,hidden_relative_L2,gap,5,aime24:p6:s1:seed6043
0.036369592563175956,pattern_rolling_k2v2_s16_r128,next_token_KL,gap,5,aime24:p6:s1:seed6043
-0.46242149993486237,pattern_rolling_k2v2_s16_r128,target_token_NLL_delta,gap,5,aime24:p6:s1:seed6043
0.467998425650876,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,attention_output_relative_L2,gap,5,aime24:p6:s1:seed6043
0.03890502452850342,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,hidden_cosine_loss,gap,5,aime24:p6:s1:seed6043
0.467998425650876,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,hidden_relative_L2,gap,5,aime24:p6:s1:seed6043
0.0642816455062416,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,next_token_KL,gap,5,aime24:p6:s1:seed6043
-0.59761950163238,pattern_rolling_k2v2_s16_varn_k2v2_s16_r128,target_token_NLL_delta,gap,5,aime24:p6:s1:seed6043
