context_tokens,decode_tokens,backend,mutation_us_per_token,torch_cat_events_per_token,old_bytes_copied_per_token,new_bytes_written_per_token,recent_roll_copy_bytes_per_token,historical_append_copy_bytes_per_token,metadata_copy_bytes_per_token,page_allocations,page_crossings,peak_allocated_bytes,peak_reserved_bytes,fragmentation_bytes,round,mutation_us_mean,mutation_us_p90,round_cv,stability
2048,128,paged,99.5850859908387,0.0,4096.0,4409.0,4096.0,0,0,96,90,1990144,2097152,5008,0,,,,
2048,128,paged,99.6718281385256,0.0,4096.0,4409.0,4096.0,0,0,96,90,1990144,2097152,5008,1,,,,
2048,128,paged,100.81034270115197,0.0,4096.0,4409.0,4096.0,0,0,96,90,1990144,2097152,5008,2,,,,
2048,128,paged,98.57853910943959,0.0,4096.0,4409.0,4096.0,0,0,96,90,1990144,2097152,5008,3,,,,
2048,128,paged,98.40532766247634,0.0,4096.0,4409.0,4096.0,0,0,96,90,1990144,2097152,5008,4,,,,
2048,128,paged,99.5850859908387,0.0,4096.0,4409.0,4096.0,0,0,96,90,1990144,2097152,5008,summary,99.41022472048644,100.81034270115197,0.009753997966103285,STABLE
4096,128,paged,100.39541302830912,0.0,4096.0,4409.0,4096.0,0,0,192,186,3278336,4194304,5008,0,,,,
4096,128,paged,98.57899203780107,0.0,4096.0,4409.0,4096.0,0,0,192,186,3278336,4194304,5008,1,,,,
4096,128,paged,99.60516399587505,0.0,4096.0,4409.0,4096.0,0,0,192,186,3278336,4194304,5008,2,,,,
4096,128,paged,99.13896792568266,0.0,4096.0,4409.0,4096.0,0,0,192,186,3278336,4194304,5008,3,,,,
4096,128,paged,98.27000030782074,0.0,4096.0,4409.0,4096.0,0,0,192,186,3278336,4194304,5008,4,,,,
4096,128,paged,99.13896792568266,0.0,4096.0,4409.0,4096.0,0,0,192,186,3278336,4194304,5008,summary,99.19770745909773,100.39541302830912,0.008505386778233724,STABLE
8192,128,paged,100.14495455834549,0.0,4096.0,4409.0,4096.0,0,0,384,378,5854720,25165824,5008,0,,,,
8192,128,paged,101.03060230903793,0.0,4096.0,4409.0,4096.0,0,0,384,378,5854720,25165824,5008,1,,,,
8192,128,paged,105.50072693149559,0.0,4096.0,4409.0,4096.0,0,0,384,378,5854720,25165824,5008,2,,,,
8192,128,paged,104.30371003167238,0.0,4096.0,4409.0,4096.0,0,0,384,378,5854720,25165824,5008,3,,,,
8192,128,paged,99.6225298877107,0.0,4096.0,4409.0,4096.0,0,0,384,378,5854720,25165824,5008,4,,,,
8192,128,paged,101.03060230903793,0.0,4096.0,4409.0,4096.0,0,0,384,378,5854720,25165824,5008,summary,102.12050474365242,105.50072693149559,0.025686431027146843,STABLE
16384,128,paged,99.0438747976441,0.0,4096.0,4409.0,4096.0,0,0,768,762,11007488,29360128,5008,0,,,,
16384,128,paged,98.89015564112924,0.0,4096.0,4409.0,4096.0,0,0,768,762,11007488,29360128,5008,1,,,,
16384,128,paged,98.4771795629058,0.0,4096.0,4409.0,4096.0,0,0,768,762,11007488,29360128,5008,2,,,,
16384,128,paged,98.87755550153088,0.0,4096.0,4409.0,4096.0,0,0,768,762,11007488,29360128,5008,3,,,,
16384,128,paged,100.18800821853802,0.0,4096.0,4409.0,4096.0,0,0,768,762,11007488,29360128,5008,4,,,,
16384,128,paged,98.89015564112924,0.0,4096.0,4409.0,4096.0,0,0,768,762,11007488,29360128,5008,summary,99.0953547443496,100.18800821853802,0.006516945515308538,STABLE
32768,128,paged,98.4780472208513,0.0,4096.0,4409.0,4096.0,0,0,1536,1530,21313024,35651584,5008,0,,,,
32768,128,paged,98.85567124001682,0.0,4096.0,4409.0,4096.0,0,0,1536,1530,21313024,35651584,5008,1,,,,
32768,128,paged,99.07769526762422,0.0,4096.0,4409.0,4096.0,0,0,1536,1530,21313024,35651584,5008,2,,,,
32768,128,paged,98.31513307290152,0.0,4096.0,4409.0,4096.0,0,0,1536,1530,21313024,35651584,5008,3,,,,
32768,128,paged,98.48904664977454,0.0,4096.0,4409.0,4096.0,0,0,1536,1530,21313024,35651584,5008,4,,,,
32768,128,paged,98.48904664977454,0.0,4096.0,4409.0,4096.0,0,0,1536,1530,21313024,35651584,5008,summary,98.64311869023368,99.07769526762422,0.0031759711792149993,STABLE
