absolute_nll_difference,backend,decode_position,logits_cosine,logits_max_abs_error,logits_relative_mse,problem_id,sample_id,task_key,teacher_target_nll_legacy,teacher_target_nll_segmented,teacher_target_token,top1_agreement,top1_legacy,top1_segmented,top5_overlap
8.82138874658267e-06,production,128,0.98165363073349,3.2890625,0.03759437054395676,12,0,aime24:p12:s0:seed12042,1.5616295058862306e-05,6.794906312279636e-06,1144,True,1144,1144,3
0.44317397475242615,production,256,0.994482696056366,2.197265625,0.01125552598387003,12,0,aime24:p12:s0:seed12042,0.7487460970878601,0.30557212233543396,1205,True,1205,1205,5
0.044062986969947815,production,512,0.9940802454948425,2.8515625,0.01275243703275919,12,0,aime24:p12:s0:seed12042,0.2695615291595459,0.22549854218959808,779,True,779,779,5
0.001316276378929615,production,1024,0.997478723526001,0.6796875,0.0051875244826078415,12,0,aime24:p12:s0:seed12042,0.0040281834080815315,0.0027119070291519165,8,True,8,8,5
0.00018215365707874298,production,2048,0.9888517260551453,1.1044921875,0.02236943505704403,12,0,aime24:p12:s0:seed12042,0.021450312808156013,0.02126815915107727,3677,True,3677,3677,5
,production,4096,0.9935827851295471,1.84375,0.013151096180081367,12,0,aime24:p12:s0:seed12042,,,,True,489,489,4
0.03440181910991669,production,128,0.9818829894065857,3.984375,0.035938188433647156,14,0,aime24:p14:s0:seed14042,0.00863177701830864,0.04303359612822533,374,True,374,374,3
0.01023171842098236,production,256,0.998928964138031,0.962646484375,0.0021536878775805235,14,0,aime24:p14:s0:seed14042,0.04253321513533592,0.05276493355631828,3424,True,3424,3424,4
0.027948424220085144,production,512,0.9868593215942383,1.614501953125,0.02613438107073307,14,0,aime24:p14:s0:seed14042,0.22663019597530365,0.2545786201953888,2100,True,2100,2100,5
1.9073413568548858e-06,production,1024,0.9911556243896484,2.4296875,0.022090228274464607,14,0,aime24:p14:s0:seed14042,4.887569048150908e-06,2.9802276912960224e-06,17,True,17,17,5
0.010028868913650513,production,2048,0.998634397983551,1.1767578125,0.0028026571962982416,14,0,aime24:p14:s0:seed14042,0.2775503993034363,0.2875792682170868,13605,True,13605,13605,5
,production,4096,0.9870250225067139,2.466796875,0.029135210439562798,14,0,aime24:p14:s0:seed14042,,,,True,20,20,4
