path,sha256,record_count,v_prefill_record_count
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0007_oracle_seed0.json,f21be98e396bd9c1532b41a82abc10a016a9cdc1bf7ad131868f1a4ab0422e25,1536,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0008_oracle_seed0.json,dca2519216cf7ae255c1898f2f0723e6905d187ef7e8c46600530692f6e51d23,3968,2368
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0021_oracle_seed0.json,881907579685a575af18558199ed27cc4624bcb4e4d1ad870e3aa1c52aeae095,1536,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0027_oracle_seed0.json,1b2e19236667e6f7d0ae33615864ab5cf3b0b0a2646c8e3ce19abca1408ab509,1024,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0086_oracle_seed0.json,0524ef97f131368543987f5ac50538f6f6792d2d93d20dce3ae93f308b61dfd7,3968,2368
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0089_oracle_seed0.json,69a74f6ff9356695808f944005b95c2e9c9bac65abd08a23236c40002df2d266,1024,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0092_oracle_seed0.json,4bd63782dea55c4c385975c69ad39d49206bc194d602b11b85ac32c6b3f32024,512,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0111_oracle_seed0.json,7746b7cd610b6d167ce2f7cc32f732ca5c833f1a414470593178bff8e78178d4,1536,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0124_oracle_seed0.json,537aac5b67bce19957126e3092427dcdca6b2019f9f287c678c82c15ffd38f7e,4096,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0182_oracle_seed0.json,9c9a4ef8b2245424d5e4864384babf6d6fa615456cf8533b7beefbaa6738370c,1024,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0186_oracle_seed0.json,04a56bcc12098875c98496c854984ffa3a43df8d8ca7e15504c5de9a7a91d713,4096,2368
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0189_oracle_seed0.json,eb6a6244997530ed4c4a77cf51d224ec082ff95ae3e25e9d16e5df95833a8ed4,1024,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0212_oracle_seed0.json,d6248f60964aa19799f4952daa5060cc3394361d868aaeb1d33289e7af8392c7,1024,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0214_oracle_seed0.json,1d8e1f6c0ac773b21e4ee483ca4d078cb43e0aef220cc25107edd7591febf03d,2048,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0216_oracle_seed0.json,cb4696abce93e6f86c3802e4dbb8b3d9a8771442e0dab319cfa23c26eb9e823e,4096,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0241_oracle_seed0.json,bfd0ab48f1194e5678c23d7a59a0e4bf43822d995ff3f2734e5191177d87aa8d,1024,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0250_oracle_seed0.json,896355650571dbf122188ebd63f6d9fc62fe285b56a9da14cad9a98d73cb13f3,1536,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0301_oracle_seed0.json,cd39593fb76622b231505dde36252bad5dd2ebb9bf363afced0c148395c8b583,1024,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0303_oracle_seed0.json,541a1e8d025e961178d2410e12e363d81817bb34c56a3e078247cf713156848a,1536,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0304_oracle_seed0.json,6fb054010fba6c3bd00cd2f9537241ee1f78f1efe2efde62674eb53813880318,1024,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0352_oracle_seed0.json,9a1cef0e1071e21567d5bd5899f3c9eecdf226d2607d32f60ae4dba2af15e7af,1536,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0353_oracle_seed0.json,282c1b8544d9abf49ffc90620e8282e1bc06f94f0247db87340e681bd1d42cfe,2048,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0356_oracle_seed0.json,f9f8c0495847ed32f6e6b8b836fb83b3e9a5717d3f5e17724238dc014b24c9a6,1024,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0357_oracle_seed0.json,1aefc49a59b5d934012dc77811ab74e57007209506f6ad17409a7b3b33d2bba0,4096,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0368_oracle_seed0.json,c7da9f1c3ebd0a469def1949558c22aefaf7b2efdd61aebab061d6c5106dcf2c,512,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0443_oracle_seed0.json,22dc448dc103cc5f7b8017c57db3bc448ab152d4ac25929aa0833b8512552639,1536,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0501_oracle_seed0.json,02697b2bf86f1c2df9ba156d18e4d3569160c3e3c8c0488593c881f27967c3c0,1024,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0508_oracle_seed0.json,d673be6f5e9366abad2750ccebb068fa052371ae7bbd5be1991ce8edf0cbc7ee,1024,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0509_oracle_seed0.json,e85d12a1163fa303640c47065d02582d46b1b1e7215ba71764c20e8749945a36,1024,0
/tmp/patternkv-insight-wave-a-4090-runtime6c88/results/insight_v2/wave_a_4090_single/observer/gsm8k/gsm8k/p0520_oracle_seed0.json,163c1bd6b2e22c3da6fb50682de9e277f4c230f1487cfaee7e6c0af49cc3aa64,3456,2368
