task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,std,min,max
dureader,prefill,v,0,0,first,relative_benefit,33,0.30367249507135946,0.28234463301294105,0.0,0.9851245076780352
dureader,prefill,v,0,0,last,relative_benefit,35,0.43578219550871017,0.26887237432917926,-0.011166478420206016,0.9996667476283542
dureader,prefill,v,0,0,middle,relative_benefit,28,0.48435708823426504,0.2928923136732463,0.0,0.9999999964884054
dureader,prefill,v,0,1,first,relative_benefit,34,0.10273196417786255,0.2071523867530562,-0.2446031931667955,0.6774245801854046
dureader,prefill,v,0,1,last,relative_benefit,26,0.11247311641261223,0.20603406686960082,0.0,0.8938211375703191
dureader,prefill,v,0,1,middle,relative_benefit,36,0.1314985032816295,0.21388557879451903,0.0,0.9857371936258684
dureader,prefill,v,0,2,first,relative_benefit,34,0.317066392441888,0.2951941714049805,0.0,0.9995750118502206
dureader,prefill,v,0,2,last,relative_benefit,30,0.4025152509828756,0.3388353939131809,0.0,0.9999999972269799
dureader,prefill,v,0,2,middle,relative_benefit,32,0.392465115224943,0.28780937489089653,0.0,0.9998951214572489
dureader,prefill,v,0,3,first,relative_benefit,26,0.10282509267111561,0.27420503475148256,0.0,0.9999999980572681
dureader,prefill,v,0,3,last,relative_benefit,35,0.04192049911713784,0.17021219817713826,0.0,0.999999997096957
dureader,prefill,v,0,3,middle,relative_benefit,35,0.01816430978561431,0.07415183499142876,0.0,0.3487438559585591
dureader,prefill,v,0,4,first,relative_benefit,31,0.20122358186461292,0.3417282974379449,0.0,0.9999999943996938
dureader,prefill,v,0,4,last,relative_benefit,39,0.2123649445515088,0.2620728221778073,0.0,0.9678546215414037
dureader,prefill,v,0,4,middle,relative_benefit,26,0.1219557533771855,0.2310905757692862,0.0,0.9999999939270531
dureader,prefill,v,0,5,first,relative_benefit,32,0.6422080730185569,0.24232696958028282,0.0,0.9491394636112399
dureader,prefill,v,0,5,last,relative_benefit,36,0.7052148886754785,0.15296007059886366,0.3878821072677458,0.999999998344848
dureader,prefill,v,0,5,middle,relative_benefit,28,0.6838498037924964,0.14421849304259013,0.33986643418630463,0.9290855859362668
dureader,prefill,v,0,6,first,relative_benefit,35,0.5262976021583124,0.24372949783075007,0.0,0.9166615505748018
dureader,prefill,v,0,6,last,relative_benefit,28,0.45146517982800755,0.2931601234255106,0.0,0.8988879370339206
dureader,prefill,v,0,6,middle,relative_benefit,33,0.4493252317169662,0.22579545701205025,0.0,0.7857665059153015
dureader,prefill,v,0,7,first,relative_benefit,38,0.8690556134046368,0.17158987230145942,0.0,0.9999999609918383
dureader,prefill,v,0,7,last,relative_benefit,30,0.83190781558949,0.22009908977948364,0.0,0.9999999609918383
dureader,prefill,v,0,7,middle,relative_benefit,28,0.881116219540951,0.07357794946806745,0.7149687460868941,0.9999999609918383
dureader,prefill,v,1,0,first,relative_benefit,26,0.35704273513422735,0.35791704678407293,0.0,0.9671177626794856
dureader,prefill,v,1,0,last,relative_benefit,38,0.4712609219650872,0.28343367576524126,0.0,0.9783274669014894
dureader,prefill,v,1,0,middle,relative_benefit,32,0.47993645723497813,0.27022882197737474,0.0,0.9583307033617655
dureader,prefill,v,1,1,first,relative_benefit,28,0.2401422503516967,0.26486473311428627,0.0,0.9256467668193392
