label,context_tokens,component,backend,tile_tokens,round,median_us,mean_us,p90_us,round_cv,stability
s2b3,8192,mixed_v,gqa4_cta,128,0,932.8640103340149,942.2336009144783,960.5119824409485,,
s2b3,8192,mixed_v,gqa4_cta,128,1,907.263994216919,914.7033578157425,943.1040287017822,,
s2b3,8192,mixed_v,gqa4_cta,128,2,904.1919708251953,909.3529564142227,939.0079975128174,,
s2b3,8192,mixed_v,gqa4_cta,128,3,906.2399864196777,929.9916762113571,954.367995262146,,
s2b3,8192,mixed_v,gqa4_cta,128,4,901.1200070381165,902.3999974131584,909.3120098114014,,
s2b3,16384,mixed_v,gqa4_cta,128,0,1227.776050567627,1224.8268800973892,1259.5200538635254,,
s2b3,16384,mixed_v,gqa4_cta,128,1,1200.6399631500244,1206.860797405243,1232.8959703445435,,
s2b3,16384,mixed_v,gqa4_cta,128,2,1220.6079959869385,1222.108160853386,1256.4480304718018,,
s2b3,16384,mixed_v,gqa4_cta,128,3,1216.5119647979736,1220.848644375801,1251.3279914855957,,
s2b3,16384,mixed_v,gqa4_cta,128,4,1200.1279592514038,1206.1184042692184,1236.9920015335083,,
s2b3,32768,mixed_v,gqa4_cta,128,0,1715.7119512557983,1725.2761614322662,1755.1360130310059,,
s2b3,32768,mixed_v,gqa4_cta,128,1,1720.8319902420044,1728.6246407032013,1759.2320442199707,,
s2b3,32768,mixed_v,gqa4_cta,128,2,1718.2719707489014,1723.8630414009094,1745.919942855835,,
s2b3,32768,mixed_v,gqa4_cta,128,3,1713.1520509719849,1716.7513597011566,1737.7279996871948,,
s2b3,32768,mixed_v,gqa4_cta,128,4,1734.6559762954712,1732.7359974384308,1757.1840286254883,,
s2b3,8192,mixed_v,gqa4_cta,128,summary,906.2399864196777,910.3359937667847,932.8640103340149,0.01407199561801776,STABLE
s2b3,16384,mixed_v,gqa4_cta,128,summary,1216.5119647979736,1213.1327867507935,1227.776050567627,0.010153762800618391,STABLE
s2b3,32768,mixed_v,gqa4_cta,128,summary,1718.2719707489014,1720.524787902832,1734.6559762954712,0.004883448005489153,STABLE
