q_head,expected_kv_head,max_abs_error,passed,context_tokens,assignment,mask_density,kv_head
0,0,0.0,True,,,,
1,0,0.0,True,,,,
2,0,0.0,True,,,,
3,0,0.0,True,,,,
4,1,0.0,True,,,,
5,1,0.0,True,,,,
6,1,0.0,True,,,,
7,1,0.0,True,,,,
8,2,0.0,True,,,,
9,2,0.0,True,,,,
10,2,0.0,True,,,,
11,2,0.0,True,,,,
12,3,0.0,True,,,,
13,3,0.0,True,,,,
14,3,0.0,True,,,,
15,3,0.0,True,,,,
16,4,0.0,True,,,,
17,4,0.0,True,,,,
18,4,0.0,True,,,,
19,4,0.0,True,,,,
20,5,0.0,True,,,,
21,5,0.0,True,,,,
22,5,0.0,True,,,,
23,5,0.0,True,,,,
24,6,0.0,True,,,,
25,6,0.0,True,,,,
26,6,0.0,True,,,,
27,6,0.0,True,,,,
28,7,0.0,True,,,,
29,7,0.0,True,,,,
30,7,0.0,True,,,,
31,7,0.0,True,,,,
0,,0.0,True,8192,normal,0.0,0
1,,0.0,True,8192,normal,0.0,0
2,,2.384185791015625e-07,True,8192,normal,0.0,0
3,,0.0,True,8192,normal,0.0,0
4,,0.0,True,8192,normal,0.0,1
5,,0.0,True,8192,normal,0.0,1
6,,5.960464477539063e-08,True,8192,normal,0.0,1
7,,0.0,True,8192,normal,0.0,1
8,,9.5367431640625e-07,True,8192,normal,0.0,2
9,,0.0,True,8192,normal,0.0,2
10,,0.0,True,8192,normal,0.0,2
11,,0.0,True,8192,normal,0.0,2
12,,0.0,True,8192,normal,0.0,3
13,,0.0,True,8192,normal,0.0,3
14,,0.0,True,8192,normal,0.0,3
15,,0.0,True,8192,normal,0.0,3
16,,2.384185791015625e-07,True,8192,normal,0.0,4
17,,1.9073486328125e-06,True,8192,normal,0.0,4
18,,0.0,True,8192,normal,0.0,4
19,,9.5367431640625e-07,True,8192,normal,0.0,4
20,,0.0,True,8192,normal,0.0,5
21,,0.0,True,8192,normal,0.0,5
22,,0.0,True,8192,normal,0.0,5
23,,0.0,True,8192,normal,0.0,5
24,,0.0,True,8192,normal,0.0,6
25,,0.0,True,8192,normal,0.0,6
26,,0.0,True,8192,normal,0.0,6
27,,0.0,True,8192,normal,0.0,6
28,,0.0,True,8192,normal,0.0,7
29,,0.0,True,8192,normal,0.0,7
30,,0.0,True,8192,normal,0.0,7
31,,0.0,True,8192,normal,0.0,7
0,,0.0,True,8192,normal,0.25,0
1,,0.0,True,8192,normal,0.25,0
2,,0.0,True,8192,normal,0.25,0
3,,0.0,True,8192,normal,0.25,0
4,,0.0,True,8192,normal,0.25,1
5,,0.0,True,8192,normal,0.25,1
6,,0.0,True,8192,normal,0.25,1
7,,0.0,True,8192,normal,0.25,1
8,,0.0,True,8192,normal,0.25,2
9,,0.0,True,8192,normal,0.25,2
10,,0.0,True,8192,normal,0.25,2
11,,0.0,True,8192,normal,0.25,2
12,,3.814697265625e-06,True,8192,normal,0.25,3
13,,0.0,True,8192,normal,0.25,3
14,,4.76837158203125e-07,True,8192,normal,0.25,3
15,,0.0,True,8192,normal,0.25,3
16,,0.0,True,8192,normal,0.25,4
17,,0.0,True,8192,normal,0.25,4
18,,0.0,True,8192,normal,0.25,4
19,,2.384185791015625e-07,True,8192,normal,0.25,4
20,,0.0,True,8192,normal,0.25,5
21,,0.0,True,8192,normal,0.25,5
22,,0.0,True,8192,normal,0.25,5
23,,0.0,True,8192,normal,0.25,5
24,,0.0,True,8192,normal,0.25,6
25,,0.0,True,8192,normal,0.25,6
26,,0.0,True,8192,normal,0.25,6
27,,0.0,True,8192,normal,0.25,6
28,,0.0,True,8192,normal,0.25,7
29,,0.0,True,8192,normal,0.25,7
30,,0.0,True,8192,normal,0.25,7
31,,0.0,True,8192,normal,0.25,7
0,,0.0,True,8192,normal,0.5,0
1,,3.814697265625e-06,True,8192,normal,0.5,0
2,,0.0,True,8192,normal,0.5,0
3,,0.0,True,8192,normal,0.5,0
4,,0.0,True,8192,normal,0.5,1
5,,0.0,True,8192,normal,0.5,1
6,,0.0,True,8192,normal,0.5,1
7,,0.0,True,8192,normal,0.5,1
8,,0.0,True,8192,normal,0.5,2
9,,0.0,True,8192,normal,0.5,2
10,,0.0,True,8192,normal,0.5,2
11,,0.0,True,8192,normal,0.5,2
12,,0.0,True,8192,normal,0.5,3
13,,1.52587890625e-05,True,8192,normal,0.5,3
14,,0.0,True,8192,normal,0.5,3
15,,0.0,True,8192,normal,0.5,3
16,,0.0,True,8192,normal,0.5,4
17,,0.0,True,8192,normal,0.5,4
18,,0.0,True,8192,normal,0.5,4
19,,0.0,True,8192,normal,0.5,4
20,,0.0,True,8192,normal,0.5,5
21,,0.0,True,8192,normal,0.5,5
22,,0.0,True,8192,normal,0.5,5
23,,0.0,True,8192,normal,0.5,5
24,,0.0,True,8192,normal,0.5,6
25,,0.0,True,8192,normal,0.5,6
26,,0.0,True,8192,normal,0.5,6
