problem_id,FP16_mean_correct,PATTERN_BASE_mean_correct,RANDOM_V4_25_mean_correct,CAUSAL_V4_25_mean_correct,causal_minus_random,causal_minus_base
0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.33333333333333337,0.6666666666666667
1,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
5,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
6,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,-0.6666666666666667,-0.3333333333333333
7,1.0,1.0,1.0,1.0,0.0,0.0
8,1.0,1.0,1.0,1.0,0.0,0.0
9,1.0,1.0,1.0,1.0,0.0,0.0
10,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
11,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666667,0.33333333333333337
12,1.0,1.0,0.6666666666666666,1.0,0.33333333333333337,0.0
13,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
14,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
15,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333
16,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
17,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
18,1.0,0.3333333333333333,1.0,1.0,0.0,0.6666666666666667
19,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,-0.33333333333333337,0.0
20,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
21,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
23,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
24,1.0,1.0,0.6666666666666666,1.0,0.33333333333333337,0.0
25,0.3333333333333333,0.0,0.3333333333333333,0.0,-0.3333333333333333,0.0
26,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333
27,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
