base_median_auc,bootstrap_ci_high,bootstrap_ci_low,median_delta,method,method_median_auc,metric,tasks_compared,tasks_improved
0.4048141173989279,-0.005784425884485245,-0.008749768137931824,-0.006664164364337921,V_DIR,0.39883066042966675,static_stored_v_direction,6,6
0.28950556728523225,0.01910209166817367,-0.006657411344349384,0.0035652383230626583,V_DIR,0.2990083998301998,value_only,6,2
0.294276682427153,0.009325666818767786,-0.006949356757104397,0.0005019376985728741,V_DIR,0.2981469377409667,attention_output,6,3
0.5516381371417083,0.029620449990034103,-0.020651210099458694,-0.00910149421542883,V_DIR,0.5523250258120243,hidden,6,4
0.07337281958848507,0.007130985322874039,-0.014291198982391506,-0.0001512514427304268,V_DIR,0.06153706369173051,future_v_source_direction,6,4
0.4048141173989279,-0.004242789000272751,-0.006349969655275345,-0.004782358184456825,V_HYBRID,0.4003722246707184,static_stored_v_direction,6,6
0.28950556728523225,0.013344229897484183,-0.01420310977846384,-0.00443971948698163,V_HYBRID,0.29499126540031284,value_only,6,4
0.294276682427153,0.00631668558344245,-0.014802915509790182,-0.0023008245043456554,V_HYBRID,0.29570501181297004,attention_output,6,4
0.5516381371417083,0.017152784392237663,-0.020889137871563435,-0.010932981967926025,V_HYBRID,0.5531355893763248,hidden,6,4
0.07337281958848507,0.006501134019345045,-0.015001951425801963,0.0011472896148916334,V_HYBRID,0.06317609939674185,future_v_source_direction,6,2
