absolute_nll_difference,backend,decode_position,logits_cosine,logits_max_abs_error,logits_relative_mse,problem_id,sample_id,task_key,teacher_target_nll_legacy,teacher_target_nll_segmented,teacher_target_token,top1_agreement,top1_legacy,top1_segmented,top5_overlap
0.0,reference,128,0.9999936819076538,0.0,0.0,12,0,aime24:p12:s0:seed12042,0.013099093921482563,0.013099093921482563,1144,True,1144,1144,5
0.0,reference,256,0.9999945163726807,0.0,0.0,12,0,aime24:p12:s0:seed12042,0.36230599880218506,0.36230599880218506,1205,True,1205,1205,5
0.0,reference,512,0.9999950528144836,0.0,0.0,12,0,aime24:p12:s0:seed12042,0.06962249428033829,0.06962249428033829,779,True,779,779,5
0.0,reference,1024,0.9999945759773254,0.0,0.0,12,0,aime24:p12:s0:seed12042,0.41327160596847534,0.41327160596847534,8,True,8,8,5
0.0,reference,2048,0.9999963641166687,0.0,0.0,12,0,aime24:p12:s0:seed12042,0.04364089295268059,0.04364089295268059,3677,True,3677,3677,5
,reference,4096,0.9999947547912598,0.0,0.0,12,0,aime24:p12:s0:seed12042,,,,True,489,489,5
0.0,reference,128,0.9999955296516418,0.0,0.0,14,0,aime24:p14:s0:seed14042,0.18314877152442932,0.18314877152442932,374,True,374,374,5
0.0,reference,256,0.9999949932098389,0.0,0.0,14,0,aime24:p14:s0:seed14042,0.4092826843261719,0.4092826843261719,3424,True,3424,3424,5
0.0,reference,512,0.9999948740005493,0.0,0.0,14,0,aime24:p14:s0:seed14042,0.22025299072265625,0.22025299072265625,2100,True,2100,2100,5
0.0,reference,1024,0.9999954700469971,0.0,0.0,14,0,aime24:p14:s0:seed14042,0.0007063039811328053,0.0007063039811328053,17,True,17,17,5
0.0,reference,2048,0.9999938607215881,0.0,0.0,14,0,aime24:p14:s0:seed14042,0.4267900288105011,0.4267900288105011,13605,True,13605,13605,5
,reference,4096,0.9999952912330627,0.0,0.0,14,0,aime24:p14:s0:seed14042,,,,True,20,20,5
