task_key,method,config,outcome_class,checkpoint,E16_mass,E16_enrichment,E32_mass,E32_enrichment,comparison,first_divergence_token,common_prefix_length
aime24:p11:s0:seed11042,PatternKV,pattern_rolling_k2v2_s0_r128,NOT_SELECTED,512,0.26298218965530396,9.648159980773926,0.2671685218811035,4.900873184204102,S0_vs_S16,41,40
aime24:p11:s1:seed11043,PatternKV,pattern_rolling_k2v2_s0_r128,RESCUE,512,0.31842631101608276,11.682266235351562,0.32178354263305664,5.902717113494873,S0_vs_S16,96,95
aime24:p12:s0:seed12042,PatternKV,pattern_rolling_k2v2_s0_r128,NOT_SELECTED,512,0.25118201971054077,9.042552947998047,0.2564930319786072,4.616874694824219,S0_vs_S16,200,199
aime24:p12:s1:seed12043,PatternKV,pattern_rolling_k2v2_s0_r128,NOT_SELECTED,512,0.39673423767089844,14.282432556152344,0.4021821618080139,7.239278793334961,S0_vs_S16,209,208
aime24:p14:s0:seed14042,PatternKV,pattern_rolling_k2v2_s0_r128,RESCUE,512,0.26785627007484436,10.31246566772461,0.2712589204311371,5.221734523773193,S0_vs_S16,162,161
aime24:p15:s0:seed15042,PatternKV,pattern_rolling_k2v2_s0_r128,REGRESSION,512,0.25688931345939636,10.147127151489258,0.2649214267730713,5.2321977615356445,S0_vs_S16,143,142
aime24:p15:s1:seed15043,PatternKV,pattern_rolling_k2v2_s0_r128,RESCUE,512,0.27500274777412415,10.862607955932617,0.28289684653282166,5.587212085723877,S0_vs_S16,127,126
aime24:p16:s0:seed16042,PatternKV,pattern_rolling_k2v2_s0_r128,REGRESSION,512,0.1603430211544037,5.872562885284424,0.16550549864768982,3.030819892883301,S0_vs_S16,193,192
aime24:p17:s0:seed17042,PatternKV,pattern_rolling_k2v2_s0_r128,RESCUE,512,0.28367823362350464,10.886152267456055,0.2884240746498108,5.53413724899292,S0_vs_S16,158,157
aime24:p6:s0:seed6042,PatternKV,pattern_rolling_k2v2_s0_r128,NOT_SELECTED,512,0.28774356842041016,11.311919212341309,0.2909499704837799,5.718985080718994,S0_vs_S16,148,147
aime24:p11:s0:seed11042,KIVI,kivi_rolling_k2v2_s0_r128,RESCUE,512,0.16063445806503296,5.893276691436768,0.16566643118858337,3.0389435291290283,S0_vs_S16,41,40
aime24:p11:s1:seed11043,KIVI,kivi_rolling_k2v2_s0_r128,NOT_SELECTED,512,0.2678848206996918,9.828024864196777,0.2719246745109558,4.9881181716918945,S0_vs_S16,96,95
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,RESCUE,512,0.2851048707962036,10.263776779174805,0.29079973697662354,5.2343950271606445,S0_vs_S16,201,200
aime24:p12:s1:seed12043,KIVI,kivi_rolling_k2v2_s0_r128,RESCUE,512,0.29667454957962036,10.68028450012207,0.3027888238430023,5.450198650360107,S0_vs_S16,194,193
aime24:p14:s0:seed14042,KIVI,kivi_rolling_k2v2_s0_r128,NOT_SELECTED,512,0.2936933636665344,11.3071928024292,0.2975998520851135,5.72879695892334,S0_vs_S16,162,161
aime24:p15:s0:seed15042,KIVI,kivi_rolling_k2v2_s0_r128,NOT_SELECTED,512,0.22748559713363647,8.98568058013916,0.23510634899139404,4.643349647521973,S0_vs_S16,143,142
aime24:p15:s1:seed15043,KIVI,kivi_rolling_k2v2_s0_r128,NOT_SELECTED,512,0.25199103355407715,9.953645706176758,0.26021450757980347,5.139235973358154,S0_vs_S16,127,126
aime24:p16:s0:seed16042,KIVI,kivi_rolling_k2v2_s0_r128,NOT_SELECTED,512,0.3269979953765869,11.976301193237305,0.33003267645835876,6.0437235832214355,S0_vs_S16,190,189
aime24:p17:s0:seed17042,KIVI,kivi_rolling_k2v2_s0_r128,NOT_SELECTED,512,0.2005268931388855,7.695219993591309,0.20652681589126587,3.962733268737793,S0_vs_S16,158,157
aime24:p6:s0:seed6042,KIVI,kivi_rolling_k2v2_s0_r128,RESCUE,512,0.3316189646720886,13.036771774291992,0.33452314138412476,6.575470447540283,S0_vs_S16,142,141
aime24:p11:s0:seed11042,KIVI,kivi_rolling_k2v2_s0_r128,RESCUE,512,0.16063445806503296,5.893276691436768,0.16566643118858337,3.0389435291290283,S0_vs_S128,187,186
aime24:p11:s1:seed11043,KIVI,kivi_rolling_k2v2_s0_r128,NOT_SELECTED,512,0.2678848206996918,9.828024864196777,0.2719246745109558,4.9881181716918945,S0_vs_S128,96,95
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,RESCUE,512,0.2851048707962036,10.263776779174805,0.29079973697662354,5.2343950271606445,S0_vs_S128,201,200
aime24:p12:s1:seed12043,KIVI,kivi_rolling_k2v2_s0_r128,RESCUE,512,0.29667454957962036,10.68028450012207,0.3027888238430023,5.450198650360107,S0_vs_S128,194,193
aime24:p14:s0:seed14042,KIVI,kivi_rolling_k2v2_s0_r128,NOT_SELECTED,512,0.2936933636665344,11.3071928024292,0.2975998520851135,5.72879695892334,S0_vs_S128,162,161
aime24:p15:s0:seed15042,KIVI,kivi_rolling_k2v2_s0_r128,NOT_SELECTED,512,0.22748559713363647,8.98568058013916,0.23510634899139404,4.643349647521973,S0_vs_S128,60,59
aime24:p15:s1:seed15043,KIVI,kivi_rolling_k2v2_s0_r128,NOT_SELECTED,512,0.25199103355407715,9.953645706176758,0.26021450757980347,5.139235973358154,S0_vs_S128,156,155
aime24:p16:s0:seed16042,KIVI,kivi_rolling_k2v2_s0_r128,NOT_SELECTED,512,0.3269979953765869,11.976301193237305,0.33003267645835876,6.0437235832214355,S0_vs_S128,190,189
aime24:p17:s0:seed17042,KIVI,kivi_rolling_k2v2_s0_r128,NOT_SELECTED,512,0.2005268931388855,7.695219993591309,0.20652681589126587,3.962733268737793,S0_vs_S128,158,157
aime24:p6:s0:seed6042,KIVI,kivi_rolling_k2v2_s0_r128,RESCUE,512,0.3316189646720886,13.036771774291992,0.33452314138412476,6.575470447540283,S0_vs_S128,142,141
aime24:p11:s0:seed11042,KIVI,kivi_rolling_k2v2_s16_r128,RESCUE,512,0.1589924544095993,5.833035469055176,0.16358332335948944,3.0007314682006836,S16_vs_S128,41,40
aime24:p11:s1:seed11043,KIVI,kivi_rolling_k2v2_s16_r128,NOT_SELECTED,512,0.2823465168476105,10.358588218688965,0.28564193844795227,5.239744186401367,S16_vs_S128,205,204
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s16_r128,RESCUE,512,0.2168702930212021,7.807330131530762,0.2232641577720642,4.018754959106445,S16_vs_S128,221,220
aime24:p12:s1:seed12043,KIVI,kivi_rolling_k2v2_s16_r128,RESCUE,512,0.337993323802948,12.16775894165039,0.3429427742958069,6.172969818115234,S16_vs_S128,209,208
aime24:p14:s0:seed14042,KIVI,kivi_rolling_k2v2_s16_r128,NOT_SELECTED,512,0.3185487985610962,12.264128684997559,0.32071805000305176,6.173821926116943,S16_vs_S128,222,221
aime24:p15:s0:seed15042,KIVI,kivi_rolling_k2v2_s16_r128,NOT_SELECTED,512,0.24791598320007324,9.792681694030762,0.2550228536128998,5.03670072555542,S16_vs_S128,60,59
aime24:p15:s1:seed15043,KIVI,kivi_rolling_k2v2_s16_r128,NOT_SELECTED,512,0.3573058843612671,14.113580703735352,0.36429208517074585,7.194768905639648,S16_vs_S128,127,126
aime24:p16:s0:seed16042,KIVI,kivi_rolling_k2v2_s16_r128,NOT_SELECTED,512,0.2693767845630646,9.865924835205078,0.27291175723075867,4.997696876525879,S16_vs_S128,217,216
aime24:p17:s0:seed17042,KIVI,kivi_rolling_k2v2_s16_r128,NOT_SELECTED,512,0.31974339485168457,12.270155906677246,0.3233797550201416,6.204849720001221,S16_vs_S128,182,181
aime24:p6:s0:seed6042,KIVI,kivi_rolling_k2v2_s16_r128,RESCUE,512,0.24848349392414093,9.76850700378418,0.25276705622673035,4.968452453613281,S16_vs_S128,156,155
