method,comparison,task_key,left_config,right_config,first_divergence_token,common_prefix_length,left_generated_tokens,right_generated_tokens,left_stop_reason,right_stop_reason,left_strict_correct,right_strict_correct
PatternKV,S0_vs_S16,aime24:p11:s0:seed11042,pattern_rolling_k2v2_s0_r128,pattern_rolling_k2v2_s16_r128,41,40,5289,6837,eos,eos,True,True
PatternKV,S0_vs_S16,aime24:p11:s1:seed11043,pattern_rolling_k2v2_s0_r128,pattern_rolling_k2v2_s16_r128,96,95,512,512,unknown,unknown,False,False
PatternKV,S0_vs_S16,aime24:p12:s0:seed12042,pattern_rolling_k2v2_s0_r128,pattern_rolling_k2v2_s16_r128,200,199,7170,3645,eos,eos,True,True
PatternKV,S0_vs_S16,aime24:p12:s1:seed12043,pattern_rolling_k2v2_s0_r128,pattern_rolling_k2v2_s16_r128,209,208,13944,16902,eos,eos,False,True
PatternKV,S0_vs_S16,aime24:p14:s0:seed14042,pattern_rolling_k2v2_s0_r128,pattern_rolling_k2v2_s16_r128,162,161,12677,23267,eos,eos,False,False
PatternKV,S0_vs_S16,aime24:p15:s0:seed15042,pattern_rolling_k2v2_s0_r128,pattern_rolling_k2v2_s16_r128,143,142,14840,16722,eos,eos,False,False
PatternKV,S0_vs_S16,aime24:p15:s1:seed15043,pattern_rolling_k2v2_s0_r128,pattern_rolling_k2v2_s16_r128,127,126,15659,16994,eos,eos,False,False
PatternKV,S0_vs_S16,aime24:p16:s0:seed16042,pattern_rolling_k2v2_s0_r128,pattern_rolling_k2v2_s16_r128,193,192,13689,5713,eos,eos,False,True
PatternKV,S0_vs_S16,aime24:p17:s0:seed17042,pattern_rolling_k2v2_s0_r128,pattern_rolling_k2v2_s16_r128,158,157,17240,12383,eos,eos,False,False
PatternKV,S0_vs_S16,aime24:p6:s0:seed6042,pattern_rolling_k2v2_s0_r128,pattern_rolling_k2v2_s16_r128,148,147,8752,20121,eos,eos,False,True
KIVI,S0_vs_S16,aime24:p11:s0:seed11042,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s16_r128,41,40,11758,6403,eos,eos,False,False
KIVI,S0_vs_S16,aime24:p11:s1:seed11043,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s16_r128,96,95,4433,5174,eos,eos,False,True
KIVI,S0_vs_S16,aime24:p12:s0:seed12042,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s16_r128,201,200,11050,8038,eos,eos,False,True
KIVI,S0_vs_S16,aime24:p12:s1:seed12043,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s16_r128,194,193,5991,4341,eos,eos,True,True
KIVI,S0_vs_S16,aime24:p14:s0:seed14042,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s16_r128,162,161,14768,10912,eos,eos,False,False
KIVI,S0_vs_S16,aime24:p15:s0:seed15042,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s16_r128,143,142,19556,16406,eos,eos,False,False
KIVI,S0_vs_S16,aime24:p15:s1:seed15043,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s16_r128,127,126,32768,14991,length,eos,False,True
KIVI,S0_vs_S16,aime24:p16:s0:seed16042,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s16_r128,190,189,15042,5526,eos,eos,False,True
KIVI,S0_vs_S16,aime24:p17:s0:seed17042,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s16_r128,158,157,17235,17823,eos,eos,False,True
KIVI,S0_vs_S16,aime24:p6:s0:seed6042,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s16_r128,142,141,5334,11816,eos,eos,True,True
KIVI,S0_vs_S128,aime24:p11:s0:seed11042,kivi_rolling_k2v2_s0_r128,kivi_rolling_k2v2_s128_r128,187,186,11758,3118,eos,eos,False,True
