method,seed,problem,timing_type,confidence,seconds,generated_tokens,tokens_per_second,reason
importance_only25,seed42,p00,ESTIMATED_FROM_COMPLETION_TIMESTAMPS_NOT_PAPER_GRADE,INVALID,,7031,,first completion has no prior end timestamp
importance_only25,seed42,p01,ESTIMATED_FROM_COMPLETION_TIMESTAMPS_NOT_PAPER_GRADE,MEDIUM,27330.88904595375,32768,1.1989364833651905,same method worker inferred from uninterrupted consecutive completion timestamps
importance_only25,seed42,p02,ESTIMATED_FROM_COMPLETION_TIMESTAMPS_NOT_PAPER_GRADE,MEDIUM,7388.555642127991,14032,1.899153323011129,same method worker inferred from uninterrupted consecutive completion timestamps
importance_only25,seed42,p03,ESTIMATED_FROM_COMPLETION_TIMESTAMPS_NOT_PAPER_GRADE,MEDIUM,7940.91379904747,14812,1.8652765128588515,same method worker inferred from uninterrupted consecutive completion timestamps
importance_only25,seed42,p04,ESTIMATED_FROM_COMPLETION_TIMESTAMPS_NOT_PAPER_GRADE,MEDIUM,2486.897787809372,6214,2.498695374800149,same method worker inferred from uninterrupted consecutive completion timestamps
importance_only25,seed42,p05,ESTIMATED_FROM_COMPLETION_TIMESTAMPS_NOT_PAPER_GRADE,MEDIUM,2125.025549173355,5382,2.532675431640633,same method worker inferred from uninterrupted consecutive completion timestamps
importance_only25,seed42,p06,ESTIMATED_FROM_COMPLETION_TIMESTAMPS_NOT_PAPER_GRADE,MEDIUM,7712.306541919708,14319,1.8566430058465735,same method worker inferred from uninterrupted consecutive completion timestamps
importance_only25,seed42,p07,ESTIMATED_FROM_COMPLETION_TIMESTAMPS_NOT_PAPER_GRADE,MEDIUM,5848.91304397583,12025,2.055937557899808,same method worker inferred from uninterrupted consecutive completion timestamps
importance_only25,seed42,p08,ESTIMATED_FROM_COMPLETION_TIMESTAMPS_NOT_PAPER_GRADE,MEDIUM,1130.5677690505981,3254,2.8781998647746416,same method worker inferred from uninterrupted consecutive completion timestamps
importance_only25,seed42,p09,ESTIMATED_FROM_COMPLETION_TIMESTAMPS_NOT_PAPER_GRADE,MEDIUM,933.2200028896332,2747,2.9435717103085635,same method worker inferred from uninterrupted consecutive completion timestamps
importance_only25,seed42,p10,ESTIMATED_FROM_COMPLETION_TIMESTAMPS_NOT_PAPER_GRADE,MEDIUM,2011.9774870872498,5361,2.664542736887751,same method worker inferred from uninterrupted consecutive completion timestamps
