any_correct,benchmark,correct_count,eos_stop_count,length_stop_count,majority_correct,method,problem_id,total
True,aime24,2,3,0,True,KIVI_PAPER_G128,0,3
False,aime24,0,3,0,False,KIVI_PAPER_G128,1,3
False,aime24,0,3,0,False,KIVI_PAPER_G128,2,3
False,aime24,0,3,0,False,KIVI_PAPER_G128,3,3
True,aime24,1,3,0,False,KIVI_PAPER_G128,4,3
False,aime24,0,3,0,False,KIVI_PAPER_G128,5,3
False,aime24,0,3,0,False,KIVI_PAPER_G128,6,3
True,aime24,1,3,0,False,KIVI_PAPER_G128,7,3
True,aime24,1,3,0,False,KIVI_PAPER_G128,8,3
True,aime24,3,3,0,True,KIVI_PAPER_G128,9,3
True,aime24,1,3,0,False,KIVI_PAPER_G128,10,3
True,aime24,1,2,1,False,KIVI_PAPER_G128,11,3
True,aime24,1,3,0,False,KIVI_PAPER_G128,12,3
False,aime24,0,3,0,False,KIVI_PAPER_G128,13,3
False,aime24,0,3,0,False,KIVI_PAPER_G128,14,3
False,aime24,0,2,1,False,KIVI_PAPER_G128,15,3
False,aime24,0,3,0,False,KIVI_PAPER_G128,16,3
False,aime24,0,3,0,False,KIVI_PAPER_G128,17,3
False,aime24,0,3,0,False,KIVI_PAPER_G128,18,3
False,aime24,0,1,2,False,KIVI_PAPER_G128,19,3
False,aime24,0,3,0,False,KIVI_PAPER_G128,20,3
False,aime24,0,1,2,False,KIVI_PAPER_G128,21,3
False,aime24,0,3,0,False,KIVI_PAPER_G128,22,3
False,aime24,0,0,3,False,KIVI_PAPER_G128,23,3
False,aime24,0,3,0,False,KIVI_PAPER_G128,24,3
False,aime24,0,2,1,False,KIVI_PAPER_G128,25,3
False,aime24,0,2,1,False,KIVI_PAPER_G128,26,3
False,aime24,0,3,0,False,KIVI_PAPER_G128,27,3
False,aime24,0,2,1,False,KIVI_PAPER_G128,28,3
False,aime24,0,3,0,False,KIVI_PAPER_G128,29,3
