name,count,self_cpu_us,self_cuda_us,cuda_us,cpu_us
cudaLaunchKernel,4449,32965.77599999853,0.0,0.0,32965.77599999853
cudaEventRecord,3942,10955.344000000545,0.0,0.0,10955.344000000545
aten::slice,2712,10231.012999998638,0.0,0.0,12383.08499999894
aten::copy_,1135,8549.677000000103,0.0,0.0,16503.94999999986
aten::nonzero,162,8004.438999999149,0.0,0.0,16705.718999999845
cudaMemcpyAsync,933,7566.827000000036,0.0,0.0,7566.827000000036
aten::bmm,162,6827.28800000057,0.0,0.0,8549.178000000207
aten::index,324,6719.268999999657,0.0,0.0,27698.24699999999
aten::mul,486,5486.244999999834,0.0,0.0,8489.539999999985
aten::empty,975,5347.62699999966,0.0,0.0,5347.62699999966
aten::empty_strided,811,4928.020000000062,0.0,0.0,4928.020000000062
aten::as_strided,6365,4922.835000000862,0.0,0.0,4922.835000000862
cudaStreamSynchronize,933,4497.602999999184,0.0,0.0,4497.602999999184
aten::_to_copy,811,4364.623000000371,0.0,0.0,22063.886000000115
aten::select,1059,4278.69499999995,0.0,0.0,4935.793999999834
aten::_local_scalar_dense,771,4149.69100000071,0.0,0.0,12959.512999999559
aten::unsqueeze,972,3430.536999999103,0.0,0.0,4275.517999999547
aten::add,324,3426.4809999999025,0.0,0.0,5411.8149999999805
aten::arange,648,3050.95200000101,0.0,0.0,12332.74600000011
aten::gather,162,3040.978999999802,0.0,0.0,4511.870999999874
aten::expand,810,2543.832000001088,0.0,0.0,3196.572000001
aten::bitwise_and,162,2459.018000000111,0.0,0.0,3420.3560000000357
aten::reshape,1137,2372.516000000174,0.0,0.0,10211.007000000096
aten::remainder,162,2322.896000000117,0.0,0.0,3334.6339999998554
aten::floor_divide,162,1976.1059999996987,0.0,0.0,3800.167999999676
aten::matmul,162,1949.0549999996447,0.0,0.0,12933.19999999993
aten::gt,128,1910.1049999996908,0.0,0.0,3479.8929999997868
aten::__rshift__,162,1763.443999999833,0.0,0.0,3565.539999999878
aten::view,975,1736.8849999997335,0.0,0.0,1736.8849999997335
aten::resize_,486,1711.6259999996728,0.0,0.0,1711.6259999996728
aten::add_,162,1583.5840000002818,0.0,0.0,2924.480999999896
aten::to,1101,1339.985999999657,0.0,0.0,23403.87199999977
aten::bitwise_not,105,1232.3899999999248,0.0,0.0,2020.2669999998275
aten::fill_,163,1180.9759999997937,0.0,0.0,2899.3779999999915
aten::item,771,967.2500000006564,0.0,0.0,13926.763000000214
aten::zeros,163,729.381000000393,0.0,0.0,5459.141999999985
aten::clone,162,713.486999999875,0.0,0.0,5814.144000000042
aten::set_,162,556.1689999999371,0.0,0.0,556.1689999999371
aten::zero_,163,538.2779999999088,0.0,0.0,3437.6559999999
aten::_unsafe_view,324,525.909000000087,0.0,0.0,525.909000000087
