kv_type,metric,layer_block,layer_head_count,count,weighted_gain,task_macro_gain,positive_contribution,negative_contribution,harmful_fraction,stable_negative_layer_head_count
k,range_contraction,0,64,207424,0.6155751666836562,0.6340867202666121,127685.0633741907,0.0,0.0,0
k,range_contraction,1,64,207424,0.598947820343701,0.6074031602341113,124236.15268697184,0.0,0.0,0
k,range_contraction,2,64,207424,0.5716924197320233,0.579541287481974,118582.7284704952,0.0,0.0,0
k,range_contraction,3,64,207424,0.5299441067145957,0.5437832649041997,109923.12639116829,0.0,0.0,0
k,relative_benefit,0,64,207424,0.051002073752452165,0.10571755253436828,10579.054146028639,0.0,0.03125,0
k,relative_benefit,1,64,207424,0.05035889888707465,0.12223837924483212,10445.644242752573,0.0,0.0,0
k,relative_benefit,2,64,207424,0.04034275298060698,0.11347048126391705,8368.055194249422,0.0,0.0,0
k,relative_benefit,3,64,207424,0.03790793228197122,0.10494386849673071,7863.014945655598,0.0,0.0,0
v,relative_candidate_benefit,0,64,35840,-7.404323047223072,-7.390705184946714,0.0,-265370.9380124749,0.828125,41
v,relative_candidate_benefit,1,64,35840,-0.5446192206409997,-0.5392824293999028,0.0,-19519.152867773428,0.53125,26
v,relative_candidate_benefit,2,64,35840,-4.012188104640462,-4.0639983973945215,0.0,-143796.82167031415,0.953125,57
v,relative_candidate_benefit,3,64,35840,-4.44169664513325,-4.503461387043663,0.0,-159190.40776157568,0.953125,54
